trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
10000010,G2,4,OUTBOUND-CARNEGIE,,0,G2  -338,shp-G2-51,1,1
1000020,51,1,INBOUND-DOWNTOWN,,1,51 -279,shp-51-08,1,1
10001020,69,1,INBOUND-DOWNTOWN,,1,P68 -821,shp-69-09,1,1
10002020,61A,1,OUTBOUND-NORTH BRADDOCK,,0,61A-435,shp-61A-51,1,1
10003020,71D,1,INBOUND-OAKLAND,,1,71C-585,shp-71D-02,1,1
10004020,16,1,OUTBOUND-AVALON LOOP,,0,16 -112,shp-16-51,1,1
10005080,71D,3,INBOUND-OAKLAND,,1,71C-262,shp-71D-02,1,1
10006070,64,2,INBOUND-LAWRENCEVILLE,,1,64 -297,shp-64-01,1,1
10007010,89,4,INBOUND-EAST LIBERTY,,1,89 -320,shp-89-02,1,1
100080,89,3,INBOUND-EAST LIBERTY,,1,89 -322,shp-89-02,1,1
10008080,79,3,OUTBOUND-WILKINSBURG STATION,,0,79 -285,shp-79-52,1,1
10009010,15,4,OUTBOUND-SUMMER HILL,,0,1 -004,shp-15-51,1,1
10010,17,4,OUTBOUND-ROSS,,0,17 -062,shp-17-52,1,1
10010020,61C,1,OUTBOUND-MCKEESPORT,,0,61C-463,shp-61C-51,1,1
1001080,Y49,3,INBOUND-DOWNTOWN,,1,51 -135,shp-Y49-01,1,1
10011020,22,1,OUTBOUND-KENNEDY CENTER,,0,22 -151,shp-22-55,1,1
10012020,75,1,OUTBOUND-O'HARA,,0,75 -630,shp-75-55,1,1
10013020,67,1,INBOUND-DOWNTOWN,,1,67 -523,shp-67-16,1,1
10014080,36,3,OUTBOUND-SOUTH HILLS VILLAGE,,0,36 -104,shp-36-51,1,1
10015080,67,3,INBOUND-DOWNTOWN,,1,75 -269,shp-67-15,1,1
10016020,39,1,OUTBOUND-BROOKLINE,,0,22 -151,shp-39-51,1,1
10017080,P1,3,INBOUND-DOWNTOWN,,1,P1  -346,shp-P1-01,1,1
10018020,P1,1,INBOUND-DOWNTOWN,,1,71C-596,shp-P1-01,1,1
10019010,54,4,OUTBOUND-BON AIR,,0,2 -010,shp-54-51,1,1
10020080,69,3,INBOUND-WILKINSBURGH,,1,69 -245,shp-69-10,1,1
1002020,28X,1,INBOUND-DOWNTOWN,,1,28X-200,shp-28X-01,1,1
10021020,17,1,OUTBOUND-ROSS,,0,1 -013,shp-17-52,1,1
10022020,75,1,INBOUND-SOUTH SIDE WORKS,,1,75 -629,shp-75-01,1,1
10023080,41,3,OUTBOUND-BRIDGEVILLE,,0,48 -127,shp-41-51,1,1
10024080,71A,3,OUTBOUND-HIGHLAND PARK,,0,71A-250,shp-71A-51,1,1
10025020,44,1,OUTBOUND-NORTH BALDWIN,,0,44 -267,shp-44-51,1,1
10026080,61A,3,OUTBOUND-BRADDOCK HILLS SHOPPING CENTER,,0,61A-204,shp-61A-52,1,1
10027020,51,1,OUTBOUND-WEST MIFFLIN,,0,Y46 -853,shp-51-58,1,1
10028070,Y47,2,INBOUND-DOWNTOWN,,1,93 -426,shp-Y47-52,1,1
10029020,29,1,OUTBOUND-CCAC WEST,,0,29 -202,shp-29-53,1,1
10030010,71C,4,OUTBOUND-WILKINSBURG STATION,,0,82 -301,shp-71C-N4,1,1
1003020,71A,1,OUTBOUND-HIGHLAND PARK,,0,28X-200,shp-71A-51,1,1
10031070,28X,2,INBOUND-DOWNTOWN,,1,P1  -439,shp-28X-01,1,1
10033070,60,2,INBOUND-OLYMPIA SHOPPING CENTER,,1,60 -229,shp-60-16,1,1
10034080,71D,3,OUTBOUND-WILKINSBURG,,0,P1  -347,shp-71D-52,1,1
