OBJECTID,routes,route_name,route_filter,route_sort,mode,direction,trip_headsign,shape_id,svc_days,trips_wd,trips_sa,trips_su,trips_7d,agency,feed_version,start_date,end_date,from_gtfs,change_log,comments,empty_feat,Shape__Length
10152,1,Freeport Road,All Routes,00,BUS,IB,Inbound-(IF)-FREEPORT ROAD TO DOWNTOWN,10081,"WD,SA,SU",33,19,19,203,PRT,2510,10/19/2025 6:00:00 AM,2/22/2026 6:00:00 AM,1,,,0,0.405432872674548
10153,1,Freeport Road,All Routes,00,BUS,OB,Outbound-(OF)-FREEPORT ROAD TO TARENTUM,10088,"WD,SA,SU",33,19,19,203,PRT,2510,10/19/2025 6:00:00 AM,2/22/2026 6:00:00 AM,1,,,0,0.408827504135604
10154,11,Fineview,All Routes,00,BUS,OB,Outbound-(OA)-FINEVIEW TO DOWNTOWN,110055,"WD,SA,SU",25,16,9,150,PRT,2510,10/19/2025 6:00:00 AM,2/22/2026 6:00:00 AM,1,,,0,0.102371506477671
10155,12,McKnight,All Routes,00,BUS,IB,Inbound-(IA)-MCKNIGHT TO DOWNTOWN,120091,"WD,SA,SU",6,5,6,41,PRT,2510,10/19/2025 6:00:00 AM,2/22/2026 6:00:00 AM,1,,,0,0.256673037103007
10156,12,McKnight,All Routes,00,BUS,IB,Inbound-(IY)-McKNIGHT DOWNTOWN VIA ROSS PK MALL,120092,"WD,SA,SU",18,21,11,122,PRT,2510,10/19/2025 6:00:00 AM,2/22/2026 6:00:00 AM,1,,,0,0.27015901264837
10157,12,McKnight,All Routes,00,BUS,OB,Outbound-(OA)-MCKNIGHT TO McCANDLESS PNR,120107,"WD,SA,SU",6,6,5,41,PRT,2510,10/19/2025 6:00:00 AM,2/22/2026 6:00:00 AM,1,,,0,0.254039053384445
10158,12,McKnight,All Routes,00,BUS,OB,Outbound-(OY)-McKNIGHT MCCANDLESS P-N-R VIA ROSS PK ML,120108,"WD,SA,SU",19,21,11,127,PRT,2510,10/19/2025 6:00:00 AM,2/22/2026 6:00:00 AM,1,,,0,0.267384398993448
10159,13,Bellevue,All Routes,00,BUS,IB,Inbound-(I)-BELLEVUE TO DOWNTOWN,130050,"WD,SA,SU",39,37,21,253,PRT,2510,10/19/2025 6:00:00 AM,2/22/2026 6:00:00 AM,1,,,0,0.156720507754173
10160,13,Bellevue,All Routes,00,BUS,OB,Outbound-(O)-BELLEVUE TO WEST VIEW,130056,"WD,SA,SU",39,37,21,253,PRT,2510,10/19/2025 6:00:00 AM,2/22/2026 6:00:00 AM,1,,,0,0.157523399452541
10161,14,Ohio Valley,All Routes,00,BUS,IB,Inbound-(IN)-OHIO VALLEY TO ALLEGHENY STATION,140037,"WD,SA,SU",24,17,15,152,PRT,2510,10/19/2025 6:00:00 AM,2/22/2026 6:00:00 AM,1,,,0,0.280557039937024
10162,14,Ohio Valley,All Routes,00,BUS,OB,Outbound-(ON)-OHIO VALLEY TO AMBRIDGE,140038,"WD,SA,SU",24,17,15,152,PRT,2510,10/19/2025 6:00:00 AM,2/22/2026 6:00:00 AM,1,,,0,0.279620963077962
10163,15,Charles,All Routes,00,BUS,IB,Inbound-(IA)-CHARLES TO DOWNTOWN,150053,"WD,SA,SU",35,29,20,224,PRT,2510,10/19/2025 6:00:00 AM,2/22/2026 6:00:00 AM,1,,,0,0.112628499059932
10164,15,Charles,All Routes,00,BUS,OB,Outbound-(OA)-CHARLES TO SUMMER HILL,150061,"WD,SA,SU",33,29,18,212,PRT,2510,10/19/2025 6:00:00 AM,2/22/2026 6:00:00 AM,1,,,0,0.110453562336036
10165,16,Brighton,All Routes,00,BUS,IB,Inbound-(I)-BRIGHTON TO DOWNTOWN,160023,"WD,SA,SU",55,46,36,357,PRT,2510,10/19/2025 6:00:00 AM,2/22/2026 6:00:00 AM,1,,,0,0.115601416721444
10166,16,Brighton,All Routes,00,BUS,OB,Outbound-(O)-BRIGHTON TO AVALON LOOP,160030,"WD,SA,SU",55,46,36,357,PRT,2510,10/19/2025 6:00:00 AM,2/22/2026 6:00:00 AM,1,,,0,0.120903451801854
10167,17,Shadeland,All Routes,00,BUS,IB,Inbound-(I)-SHADELAND TO DOWNTOWN,170018,"WD,SA,SU",33,18,22,205,PRT,2510,10/19/2025 6:00:00 AM,2/22/2026 6:00:00 AM,1,,,0,0.145491255362932
10168,17,Shadeland,All Routes,00,BUS,OB,Outbound-(O)-SHADELAND TO ROSS,170029,"WD,SA,SU",33,18,22,205,PRT,2510,10/19/2025 6:00:00 AM,2/22/2026 6:00:00 AM,1,,,0,0.1538687003834
10169,18,Manchester,All Routes,00,BUS,IB,Inbound-(IN)-MANCHESTER TO ALLEGHENY STATION,180001,WD,12,0,0,60,PRT,2510,10/19/2025 6:00:00 AM,2/22/2026 6:00:00 AM,1,,,0,0.0428304457755357
10170,18,Manchester,All Routes,00,BUS,OB,Outbound-(ON)-MANCHESTER TO MANCHESTER,180008,WD,11,0,0,55,PRT,2510,10/19/2025 6:00:00 AM,2/22/2026 6:00:00 AM,1,,,0,0.0578159179107558
10171,19L,Emsworth Limited,All Routes,00,BUS,IB,Inbound-(IN)-EMSWORTH LIMITED TO DOWNTOWN,19L0036,WD,7,0,0,35,PRT,2510,10/19/2025 6:00:00 AM,2/22/2026 6:00:00 AM,1,,,0,0.159439863407065
10172,19L,Emsworth Limited,All Routes,00,BUS,OB,Outbound-(ON)-EMSWORTH LIMITED TO EMSWORTH,19L0044,WD,6,0,0,30,PRT,2510,10/19/2025 6:00:00 AM,2/22/2026 6:00:00 AM,1,,,0,0.158858544240846
10173,20,Kennedy,All Routes,00,BUS,IB,Inbound-(I)-KENNEDY TO DOWNTOWN,200047,"WD,SA,SU",18,13,9,112,PRT,2510,10/19/2025 6:00:00 AM,2/22/2026 6:00:00 AM,1,,,0,0.244089340811744
10174,20,Kennedy,All Routes,00,BUS,OB,Outbound-(O)-KENNEDY TO KENNEDY CENTER,200048,"WD,SA,SU",18,13,9,112,PRT,2510,10/19/2025 6:00:00 AM,2/22/2026 6:00:00 AM,1,,,0,0.244173587699805
10175,2,Mount Royal,All Routes,00,BUS,IB,Inbound-(IY)-MOUNT ROYAL DOWNTOWN VIA ROSS PK MALL,20086,"WD,SA,SU",11,8,7,70,PRT,2510,10/19/2025 6:00:00 AM,2/22/2026 6:00:00 AM,1,,,0,0.308684820698055
10176,2,Mount Royal,All Routes,00,BUS,IB,Inbound-(IA)-MOUNT ROYAL TO DOWNTOWN,20087,WD,7,0,0,35,PRT,2510,10/19/2025 6:00:00 AM,2/22/2026 6:00:00 AM,1,,,0,0.295339475089053
10177,2,Mount Royal,All Routes,00,BUS,OB,Outbound-(OY)-MOUNT ROYAL N HILLS VILLAGE VIA MILLVALE-ROSS PK ML,20099,"WD,SA,SU",14,8,7,85,PRT,2510,10/19/2025 6:00:00 AM,2/22/2026 6:00:00 AM,1,,,0,0.300608950260164
10178,2,Mount Royal,All Routes,00,BUS,OB,Outbound-(OA)-MOUNT ROYAL N HILLS VILLAGE VIA MILLVALE,20100,WD,4,0,0,20,PRT,2510,10/19/2025 6:00:00 AM,2/22/2026 6:00:00 AM,1,,,0,0.287122974714801
10179,21,Coraopolis,All Routes,00,BUS,IB,Inbound-(IZ)-CORAOPOLIS TO SEWICKLEY,210062,WD,1,0,0,5,PRT,2510,10/19/2025 6:00:00 AM,2/22/2026 6:00:00 AM,1,,,0,0.00437854226053373
10180,21,Coraopolis,All Routes,00,BUS,OB,Outbound-(OU)-CORAOPOLIS-MOON TO UNIVERSITY BLVD PARK-AND-RIDE,210064,"WD,SA,SU",15,9,9,93,PRT,2510,10/19/2025 6:00:00 AM,2/22/2026 6:00:00 AM,1,,,0,0.293251304000419
10181,21,Coraopolis,All Routes,00,BUS,OB,Outbound-(OS)-CORAOPOLIS-SEWICKLEY TO SEWICKLEY,210065,"WD,SA,SU",15,10,10,95,PRT,2510,10/19/2025 6:00:00 AM,2/22/2026 6:00:00 AM,1,,,0,0.25273560948992
10182,21,Coraopolis,All Routes,00,BUS,IB,Inbound-(IU)-CORAOPOLIS TO DOWNTOWN,210066,"WD,SA,SU",15,9,9,93,PRT,2510,10/19/2025 6:00:00 AM,2/22/2026 6:00:00 AM,1,,,0,0.291286444336293
10183,21,Coraopolis,All Routes,00,BUS,IB,Inbound-(IS)-CORAOPOLIS TO DOWNTOWN,210067,"WD,SA,SU",14,10,10,90,PRT,2510,10/19/2025 6:00:00 AM,2/22/2026 6:00:00 AM,1,,,0,0.239466464758278
10184,22,McCoy,All Routes,00,BUS,OB,Outbound-(O)-McCOY TO KENNEDY CENTER,220042,"WD,SA,SU",26,19,8,157,PRT,2510,10/19/2025 6:00:00 AM,2/22/2026 6:00:00 AM,1,,,0,0.149288333606537
10185,22,McCoy,All Routes,00,BUS,IB,Inbound-(I)-McCOY TO DOWNTOWN,220049,"WD,SA,SU",26,19,8,157,PRT,2510,10/19/2025 6:00:00 AM,2/22/2026 6:00:00 AM,1,,,0,0.148981343753562
10186,24,West Park,All Routes,00,BUS,OB,Outbound-(O)-WEST PARK MALL AT ROBINSON,240077,"WD,SA,SU",31,17,16,188,PRT,2510,10/19/2025 6:00:00 AM,2/22/2026 6:00:00 AM,1,,,0,0.263379492392191
10187,24,West Park,All Routes,00,BUS,IB,Inbound-(I)-WEST PARK TO DOWNTOWN,240078,"WD,SA,SU",31,17,16,188,PRT,2510,10/19/2025 6:00:00 AM,2/22/2026 6:00:00 AM,1,,,0,0.260803267720827
10188,26,Chartiers,All Routes,00,BUS,IB,Inbound-(IB)-CHARTIERS TO DOWNTOWN,260049,"WD,SA,SU",31,18,14,187,PRT,2510,10/19/2025 6:00:00 AM,2/22/2026 6:00:00 AM,1,,,0,0.119231450664611
10189,26,Chartiers,All Routes,00,BUS,OB,Outbound-(OB)-CHARTIERS CRAFTON-INGRAM SHOPPING CENTER,260050,"WD,SA,SU",31,18,14,187,PRT,2510,10/19/2025 6:00:00 AM,2/22/2026 6:00:00 AM,1,,,0,0.118684540650731
10190,27,Fairywood,All Routes,00,BUS,OB,Outbound-(OB)-FAIRYWOOD CRAFTON-INGRAM SHOPPING CENTER,270052,"WD,SA,SU",30,17,16,183,PRT,2510,10/19/2025 6:00:00 AM,2/22/2026 6:00:00 AM,1,,,0,0.143222783633917
10191,27,Fairywood,All Routes,00,BUS,IB,Inbound-(IB)-FAIRYWOOD TO DOWNTOWN,270053,"WD,SA,SU",30,17,16,183,PRT,2510,10/19/2025 6:00:00 AM,2/22/2026 6:00:00 AM,1,,,0,0.14376974572771
10192,28X,Airport Flyer,All Routes,00,BUS,OB,Outbound-(ON)-AIRPORT FLYER TO AIRPORT VIA ROBINSON,28X0097,"WD,SA,SU",34,37,36,243,PRT,2510,10/19/2025 6:00:00 AM,2/22/2026 6:00:00 AM,1,,,0,0.479709343885025
10193,28X,Airport Flyer,All Routes,00,BUS,IB,Inbound-(IN)-AIRPORT FLYER TO DOWNTOWN & OAKLAND,28X0106,"WD,SA,SU",34,37,36,243,PRT,2510,10/19/2025 6:00:00 AM,2/22/2026 6:00:00 AM,1,,,0,0.480123059892687
10194,29,Robinson,All Routes,00,BUS,OB,Outbound-(OC)-ROBINSON TO CCAC WEST,290077,"WD,SA,SU",21,15,8,128,PRT,2510,10/19/2025 6:00:00 AM,2/22/2026 6:00:00 AM,1,,,0,0.288366866072444
10195,29,Robinson,All Routes,00,BUS,IB,Inbound-(IC)-ROBINSON TO DOWNTOWN,290078,"WD,SA,SU",22,15,8,133,PRT,2510,10/19/2025 6:00:00 AM,2/22/2026 6:00:00 AM,1,,,0,0.284069035658009
10196,31,Bridgeville,All Routes,00,BUS,OB,Outbound-(OB)-BRIDGEVILLE TO BRIDGEVILLE,310081,"WD,SA,SU",28,14,15,169,PRT,2510,10/19/2025 6:00:00 AM,2/22/2026 6:00:00 AM,1,,,0,0.200388682783668
10197,31,Bridgeville,All Routes,00,BUS,IB,Inbound-(I)-BRIDGEVILLE TO DOWNTOWN,310088,"WD,SA,SU",28,14,15,169,PRT,2510,10/19/2025 6:00:00 AM,2/22/2026 6:00:00 AM,1,,,0,0.195388820021487
10198,36,Banksville,All Routes,00,BUS,IB,Inbound-(I)-BANKSVILLE TO DOWNTOWN,360032,"WD,SA,SU",20,9,7,116,PRT,2510,10/19/2025 6:00:00 AM,2/22/2026 6:00:00 AM,1,,,0,0.150984163016313
10199,36,Banksville,All Routes,00,BUS,OB,Outbound-(O)-BANKSVILLE SOUTH HILLS VILLAGE,360036,"WD,SA,SU",20,9,7,116,PRT,2510,10/19/2025 6:00:00 AM,2/22/2026 6:00:00 AM,1,,,0,0.178428458413417
10200,38,Green Tree,All Routes,00,BUS,OB,Outbound-(OM)-GREEN TREE TO MT LEBANON STATION,380086,"WD,SA,SU",15,7,6,88,PRT,2510,10/19/2025 6:00:00 AM,2/22/2026 6:00:00 AM,1,,,0,0.140058611290699
