OBJECTID,stop_id,stop_code,stop_name,stop_source,public_stop,hastus_lat,hastus_lon,mode,mode_type,fguideway,fgwy_name,fgwy_lat,fgwy_lon,wkshd_lat,wkshd_lon,first_served,last_served,end_date,start_date,GEOIDFQ,county,muni,hood,name_full,name_disp,F1503,F1506,F1509,F1511,F1603,F1606,F1609,F1611,F1703,F1706,F1709,F1711,F1803,F1806,F1809,F1811,F1903,F1906,F1909,F1911,F2003,F2009,F2103,F2106,F2109,F2111,F2203,F2206,F2209,F2211,F2302,F2306,F2310,F2402,F2406,F2410,F2502,F2506,F2510,F2602,F2606,F2610,F2702,F2706,F2710
1,WP0003,98876,28X INBOUND ROUTING,2510_gtfs,no,40.4467,-80.167724,BUS,BUS,no,,,,40.4467,-80.167724,1711,2510,2026/02/21 06:00:00+00,2017/11/19 06:00:00+00,1000000US420034592012018,"Allegheny County, PA","Robinson township (Allegheny, PA)",,"Robinson twp, Allegheny County",Robinson twp,,,,,,,,,,,,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,
2,W00325,20474,4TH AVE AT FERREE ST (CORAOPOLIS BRIDGE),1503_gtfs,yes,40.514594,-80.15328,BUS,BUS,no,,,,40.514594,-80.15328,1503,1503,2015/06/14 06:00:00+00,2015/03/15 06:00:00+00,1000000US420034507001004,"Allegheny County, PA","Coraopolis borough (Allegheny, PA)",,"Coraopolis bgh, Allegheny County",Coraopolis bgh,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,E70770,20434,5TH AVE AT ANTISBURY ST,1506_gtfs,yes,40.413449,-79.879075,BUS,BUS,no,,,,40.413449,-79.879075,1503,1506,2015/09/06 06:00:00+00,2015/03/15 06:00:00+00,1000000US420035140002002,"Allegheny County, PA","Rankin borough (Allegheny, PA)",,"Rankin bgh, Allegheny County",Rankin bgh,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,E70771,20435,5TH AVE AT DUQUESNE ST,1506_gtfs,yes,40.412537,-79.877184,BUS,BUS,no,,,,40.412537,-79.877184,1503,1506,2015/09/06 06:00:00+00,2015/03/15 06:00:00+00,1000000US420035140002019,"Allegheny County, PA","Rankin borough (Allegheny, PA)",,"Rankin bgh, Allegheny County",Rankin bgh,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,E70769,20433,5TH AVE AT HAWKINS AVE,1506_gtfs,yes,40.413782,-79.880447,BUS,BUS,no,,,,40.413782,-79.880447,1503,1506,2015/09/06 06:00:00+00,2015/03/15 06:00:00+00,1000000US420035140002022,"Allegheny County, PA","Rankin borough (Allegheny, PA)",,"Rankin bgh, Allegheny County",Rankin bgh,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,S70290,20410,5TH AVE AT HUEY ST,1609_gtfs,yes,40.351344,-79.859698,BUS,BUS,no,,,,40.351344,-79.859698,1503,1609,2016/11/20 06:00:00+00,2015/03/15 06:00:00+00,1000000US420035519001072,"Allegheny County, PA","McKeesport city (Allegheny, PA)",,"McKeesport city, Allegheny County",McKeesport city,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,S70289,10281,5TH AVE AT LOCUST ST (MCKEESPORT),1609_gtfs,yes,40.351116,-79.863284,BUS,BUS,no,,,,40.351116,-79.863284,1503,1609,2016/11/20 06:00:00+00,2015/03/15 06:00:00+00,1000000US420035519001082,"Allegheny County, PA","McKeesport city (Allegheny, PA)",,"McKeesport city, Allegheny County",McKeesport city,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,W00610,18792,5TH AVE AT MILL ST FS,1809_gtfs,yes,40.517195,-80.164006,BUS,BUS,no,,,,40.517195,-80.164006,1503,1809,2018/11/18 06:00:00+00,2015/03/15 06:00:00+00,1000000US420034507002003,"Allegheny County, PA","Coraopolis borough (Allegheny, PA)",,"Coraopolis bgh, Allegheny County",Coraopolis bgh,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,W00620,18791,5TH AVE AT MONTOUR ST,1906_gtfs,yes,40.514151,-80.155914,BUS,BUS,no,,,,40.514151,-80.155914,1503,1906,2019/09/01 06:00:00+00,2015/03/15 06:00:00+00,1000000US420034507001014,"Allegheny County, PA","Coraopolis borough (Allegheny, PA)",,"Coraopolis bgh, Allegheny County",Coraopolis bgh,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,S02090,20905,5TH AVE OPP #1673,1511_gtfs,yes,40.353357,-79.845274,BUS,BUS,no,,,,40.353357,-79.845274,1503,1511,2016/03/27 06:00:00+00,2015/03/15 06:00:00+00,1000000US420035509001000,"Allegheny County, PA","McKeesport city (Allegheny, PA)",,"McKeesport city, Allegheny County",McKeesport city,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,E70776,7292,6TH ST AT BRADDOCK AVE,1609_gtfs,yes,40.403355,-79.868565,BUS,BUS,no,,,,40.403355,-79.868565,1511,1609,2016/11/20 06:00:00+00,2015/11/22 06:00:00+00,1000000US420035138002021,"Allegheny County, PA","Braddock borough (Allegheny, PA)",,"Braddock bgh, Allegheny County",Braddock bgh,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,P00760,1411,6TH ST AT FT DUQUESNE BLVD,2103_gtfs,yes,40.443906,-80.002613,BUS,BUS,no,,,,40.443906,-80.002613,1503,2103,2021/06/20 06:00:00+00,2015/03/15 06:00:00+00,1000000US420030201002011,"Allegheny County, PA","Pittsburgh city (Allegheny, PA)",Central Business District,"Central Business District, Pittsburgh",Central Business District,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
13,E70775,7291,6TH ST AT MARGARETTA ST,1609_gtfs,yes,40.404332,-79.866876,BUS,BUS,no,,,,40.404332,-79.866876,1511,1609,2016/11/20 06:00:00+00,2015/11/22 06:00:00+00,1000000US420035138001018,"Allegheny County, PA","Braddock borough (Allegheny, PA)",,"Braddock bgh, Allegheny County",Braddock bgh,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,E70589,20937,7TH ST AT BRADDOCK AVE,2203_gtfs,yes,40.402311,-79.867416,BUS,BUS,no,,,,40.402311,-79.867416,1503,2203,2022/06/26 06:00:00+00,2015/03/15 06:00:00+00,1000000US420035138002059,"Allegheny County, PA","Braddock borough (Allegheny, PA)",,"Braddock bgh, Allegheny County",Braddock bgh,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,
15,WP0002,98877,"8;O1 ROUTING",2510_gtfs,no,40.508987,-80.028702,BUS,BUS,no,,,,40.508987,-80.028702,1711,2510,2026/02/21 06:00:00+00,2017/11/19 06:00:00+00,1000000US420034291002016,"Allegheny County, PA","Ross township (Allegheny, PA)",,"Ross twp, Allegheny County",Ross twp,,,,,,,,,,,,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,
16,S35020,10972,8TH AVE AT HILLTOP ST,2111_gtfs,yes,40.407771,-79.891939,BUS,BUS,no,,,,40.407771,-79.891939,1503,2111,2022/04/24 06:00:00+00,2015/03/15 06:00:00+00,1000000US420034843002003,"Allegheny County, PA","Munhall borough (Allegheny, PA)",,"Munhall bgh, Allegheny County",Munhall bgh,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,
17,S34965,10899,8TH AVE OPP HILLTOP ST,2203_gtfs,yes,40.407807,-79.891635,BUS,BUS,no,,,,40.407807,-79.891635,1503,2203,2022/06/26 06:00:00+00,2015/03/15 06:00:00+00,1000000US420034843001005,"Allegheny County, PA","Munhall borough (Allegheny, PA)",,"Munhall bgh, Allegheny County",Munhall bgh,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,
18,WP0033,22816,10TH STREET DOWNTOWN WAYPOINT,2510_gtfs,no,40.446298,-79.997213,BUS,BUS,no,,,,40.446298,-79.997213,2406,2510,2026/02/21 06:00:00+00,2024/06/16 06:00:00+00,1000000US420030201005005,"Allegheny County, PA","Pittsburgh city (Allegheny, PA)",Central Business District,"Central Business District, Pittsburgh",Central Business District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,,,,,,
19,N04230,12657,9TH ST AT CENTRAL CITY PLAZA,1511_gtfs,yes,40.565045,-79.76701,BUS,BUS,no,,,,40.565045,-79.76701,1503,1511,2016/03/27 06:00:00+00,2015/03/15 06:00:00+00,1000000US421298007001015,"Westmoreland County, PA","New Kensington city (Westmoreland, PA)",,"New Kensington city, Westmoreland County",New Kensington city,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,S03980,2516,ALICE ST AT TARRAGONNA ST,1609_gtfs,yes,40.410162,-79.99674,BUS,BUS,no,,,,40.410162,-79.99674,1503,1609,2016/11/20 06:00:00+00,2015/03/15 06:00:00+00,1000000US420033001004014,"Allegheny County, PA","Pittsburgh city (Allegheny, PA)",Knoxville,"Knoxville, Pittsburgh",Knoxville,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,S03990,2528,ALICE ST AT TARRAGONNA ST,1609_gtfs,yes,40.410074,-79.997114,BUS,BUS,no,,,,40.410074,-79.997114,1503,1609,2016/11/20 06:00:00+00,2015/03/15 06:00:00+00,1000000US420035624001018,"Allegheny County, PA","Pittsburgh city (Allegheny, PA)",Bon Air,"Bon Air, Pittsburgh",Bon Air,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,WP0028,22802,AMITY ST,2510_gtfs,no,40.410605,-79.912972,BUS,BUS,no,,,,40.410605,-79.912972,2402,2510,2026/02/21 06:00:00+00,2024/02/18 06:00:00+00,1000000US420034838002003,"Allegheny County, PA","Homestead borough (Allegheny, PA)",,"Homestead bgh, Allegheny County",Homestead bgh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,,,,,,
23,N05880,15720,ANDERSON ST AT UNDERPASS (STOCKTON),1709_gtfs,yes,40.450507,-80.001169,BUS,BUS,no,,,,40.450507,-80.001169,1611,1709,2017/11/19 06:00:00+00,2016/11/20 06:00:00+00,1000000US420035632021026,"Allegheny County, PA","Pittsburgh city (Allegheny, PA)",East Allegheny,"East Allegheny, Pittsburgh",East Allegheny,,,,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,N05850,15719,ANDERSON ST OPP ISABELLA ST,1709_gtfs,yes,40.4482,-80.000381,BUS,BUS,no,,,,40.4482,-80.000381,1611,1709,2017/11/19 06:00:00+00,2016/11/20 06:00:00+00,1000000US420035632011023,"Allegheny County, PA","Pittsburgh city (Allegheny, PA)",North Shore,"North Shore, Pittsburgh",North Shore,,,,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,N06020,2599,ARCH ST OPP NORTH SHORE FAMILY HEALTH,1803_gtfs,yes,40.454299,-80.008977,BUS,BUS,no,,,,40.454299,-80.008977,1503,1803,2018/06/17 06:00:00+00,2015/03/15 06:00:00+00,1000000US420035627002002,"Allegheny County, PA","Pittsburgh city (Allegheny, PA)",Allegheny Center,"Allegheny Center, Pittsburgh",Allegheny Center,1,1,1,1,1,1,1,1,1,1,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,S04530,4874,ARLINGTON AVE AT #1849,1911_gtfs,yes,40.417753,-79.980926,BUS,BUS,no,,,,40.417753,-79.980926,1503,1911,2020/03/15 06:00:00+00,2015/03/15 06:00:00+00,1000000US420031706002001,"Allegheny County, PA","Pittsburgh city (Allegheny, PA)",South Side Slopes,"South Side Slopes, Pittsburgh",South Side Slopes,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
27,S04270,4775,ARLINGTON AVE AT AMANDA ST,2009_gtfs,yes,40.418578,-79.988521,BUS,BUS,no,,,,40.418578,-79.988521,1503,2009,2020/11/22 06:00:00+00,2015/03/15 06:00:00+00,1000000US420031803003035,"Allegheny County, PA","Pittsburgh city (Allegheny, PA)",Allentown,"Allentown, Pittsburgh",Allentown,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,
28,S04390,4869,ARLINGTON AVE AT ELEANOR ST,1911_gtfs,yes,40.417509,-79.972631,BUS,BUS,no,,,,40.417509,-79.972631,1503,1911,2020/03/15 06:00:00+00,2015/03/15 06:00:00+00,1000000US420031608002018,"Allegheny County, PA","Pittsburgh city (Allegheny, PA)",South Side Slopes,"South Side Slopes, Pittsburgh",South Side Slopes,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
29,S04510,4872,ARLINGTON AVE AT MARENGO ST STEPS,1911_gtfs,yes,40.41785,-79.977208,BUS,BUS,no,,,,40.41785,-79.977208,1503,1911,2020/03/15 06:00:00+00,2015/03/15 06:00:00+00,1000000US420031608001045,"Allegheny County, PA","Pittsburgh city (Allegheny, PA)",South Side Slopes,"South Side Slopes, Pittsburgh",South Side Slopes,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
30,S04520,4787,ARLINGTON AVE AT RINNE ST STEPS,1911_gtfs,yes,40.417352,-79.968631,BUS,BUS,no,,,,40.417352,-79.968631,1503,1911,2020/03/15 06:00:00+00,2015/03/15 06:00:00+00,1000000US420031610001006,"Allegheny County, PA","Pittsburgh city (Allegheny, PA)",Arlington-Arlington Heights,"Arlington-Arlington Heights, Pittsburgh",Arlington-Arlington Heights,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
31,S04770,4778,ARLINGTON AVE OPP #1849,1911_gtfs,yes,40.417662,-79.981069,BUS,BUS,no,,,,40.417662,-79.981069,1503,1911,2020/03/15 06:00:00+00,2015/03/15 06:00:00+00,1000000US420031610001015,"Allegheny County, PA","Pittsburgh city (Allegheny, PA)",Arlington-Arlington Heights,"Arlington-Arlington Heights, Pittsburgh",Arlington-Arlington Heights,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
32,S04280,2669,ARLINGTON AVE OPP AMANDA ST,2009_gtfs,yes,40.418559,-79.98821,BUS,BUS,no,,,,40.418559,-79.98821,1503,2009,2020/11/22 06:00:00+00,2015/03/15 06:00:00+00,1000000US420031803003022,"Allegheny County, PA","Pittsburgh city (Allegheny, PA)",Allentown,"Allentown, Pittsburgh",Allentown,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,
33,S04750,4780,ARLINGTON AVE OPP MARENGO ST STEPS,1911_gtfs,yes,40.417768,-79.977213,BUS,BUS,no,,,,40.417768,-79.977213,1503,1911,2020/03/15 06:00:00+00,2015/03/15 06:00:00+00,1000000US420031610001017,"Allegheny County, PA","Pittsburgh city (Allegheny, PA)",Arlington-Arlington Heights,"Arlington-Arlington Heights, Pittsburgh",Arlington-Arlington Heights,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
34,S04760,4866,ARLINGTON AVE OPP RINNE ST STEPS,1911_gtfs,yes,40.417346,-79.968432,BUS,BUS,no,,,,40.417346,-79.968432,1503,1911,2020/03/15 06:00:00+00,2015/03/15 06:00:00+00,1000000US420031610001006,"Allegheny County, PA","Pittsburgh city (Allegheny, PA)",Arlington-Arlington Heights,"Arlington-Arlington Heights, Pittsburgh",Arlington-Arlington Heights,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
35,N06500,1042,BABCOCK BLVD AT HAHN RD,1609_gtfs,yes,40.508056,-79.990017,BUS,BUS,no,,,,40.508056,-79.990017,1503,1609,2016/11/20 06:00:00+00,2015/03/15 06:00:00+00,1000000US420034292022015,"Allegheny County, PA","Ross township (Allegheny, PA)",,"Ross twp, Allegheny County",Ross twp,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,N06490,426,BABCOCK BLVD OPP HAHN RD,1609_gtfs,yes,40.507999,-79.990405,BUS,BUS,no,,,,40.507999,-79.990405,1503,1609,2016/11/20 06:00:00+00,2015/03/15 06:00:00+00,1000000US420034291001000,"Allegheny County, PA","Ross township (Allegheny, PA)",,"Ross twp, Allegheny County",Ross twp,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,E70774,20449,BALDRIDGE AVE AT 6TH ST,1609_gtfs,yes,40.405597,-79.863413,BUS,BUS,no,,,,40.405597,-79.863413,1511,1609,2016/11/20 06:00:00+00,2015/11/22 06:00:00+00,1000000US420035130001013,"Allegheny County, PA","North Braddock borough (Allegheny, PA)",,"North Braddock bgh, Allegheny County",North Braddock bgh,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,X00780,19274,BANKSVILLE RD AT #2857,2111_gtfs,yes,40.404403,-80.039258,BUS,BUS,no,,,,40.404403,-80.039258,1503,2111,2022/04/24 06:00:00+00,2015/03/15 06:00:00+00,1000000US420032023003012,"Allegheny County, PA","Pittsburgh city (Allegheny, PA)",Banksville,"Banksville, Pittsburgh",Banksville,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,
39,X00630,20780,BANKSVILLE RD AT JIFFY LUBE,2111_gtfs,yes,40.404616,-80.039198,BUS,BUS,no,,,,40.404616,-80.039198,1503,2111,2022/04/24 06:00:00+00,2015/03/15 06:00:00+00,1000000US420032023003008,"Allegheny County, PA","Pittsburgh city (Allegheny, PA)",Banksville,"Banksville, Pittsburgh",Banksville,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,
40,S05540,19385,BAUSMAN ST AT KNOX AVE FS,1611_gtfs,yes,40.414268,-79.99029,BUS,BUS,no,,,,40.414268,-79.99029,1503,1611,2017/03/19 06:00:00+00,2015/03/15 06:00:00+00,1000000US420033001002020,"Allegheny County, PA","Pittsburgh city (Allegheny, PA)",Knoxville,"Knoxville, Pittsburgh",Knoxville,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
