week_start,status,applicants
2026-03-29,Eligible,
2026-03-22,Eligible,
2026-03-15,Eligible,74
2026-03-08,Eligible,138
2026-03-01,Eligible,114
2026-02-22,Eligible,95
2026-02-15,Eligible,122
2026-02-08,Eligible,110
2026-02-01,Eligible,144
2026-01-25,Eligible,106
2026-01-18,Eligible,112
2026-03-22,Eligible,93
2026-01-11,Eligible,108
2026-01-04,Eligible,104
2025-12-28,Eligible,139
2025-12-21,Eligible,78
2025-12-14,Eligible,141
2026-03-22,Eligible,157
2025-12-07,Eligible,172
2025-11-30,Eligible,201
2025-11-23,Eligible,140
2025-11-16,Eligible,146
2025-11-09,Eligible,115
2025-11-02,Eligible,166
2025-10-26,Eligible,132
2025-10-19,Eligible,204
2025-10-12,Eligible,195
2025-10-12,Eligible,280
2025-10-05,Eligible,209
2025-09-28,Eligible,206
2025-09-21,Eligible,178
2025-09-14,Eligible,188
2025-09-07,Eligible,224
2025-12-14,Eligible,184
2025-08-31,Eligible,162
2025-08-24,Eligible,169
2025-08-17,Eligible,431
2025-08-10,Eligible,207
2025-08-03,Eligible,321
2025-07-27,Eligible,287
2025-07-20,Eligible,284
2025-07-13,Eligible,129
2025-07-06,Eligible,145
2025-06-29,Eligible,77
2025-06-22,Eligible,143
2025-06-15,Eligible,155
2026-03-29,Eligible,91
2025-06-08,Eligible,53
2025-06-01,Eligible,72
2025-05-25,Eligible,229
2025-05-18,Eligible,189
2025-05-11,Eligible,196
2025-12-21,Eligible,111
2025-05-04,Eligible,116
2025-04-27,Eligible,81
2025-04-20,Eligible,71
2025-04-13,Eligible,137
2025-04-06,Eligible,64
2025-03-30,Eligible,90
2025-03-23,Eligible,117
2026-02-08,Eligible,59
2025-03-16,Eligible,97
2025-03-09,Eligible,255
2025-03-02,Eligible,79
2025-02-23,Eligible,67
2025-05-25,Eligible,62
2025-02-16,Eligible,94
2025-02-09,Eligible,92
2025-02-02,Eligible,96
2025-12-14,Eligible,100
2025-01-26,Eligible,124
2025-01-19,Eligible,164
2025-01-12,Eligible,266
2026-03-29,Eligible,237
2025-01-05,Eligible,221
2024-12-29,Eligible,181
2025-03-16,Eligible,227
2026-03-08,Eligible,194
2024-12-22,Eligible,356
2024-12-15,Eligible,371
2026-02-22,Eligible,382
2024-12-08,Eligible,486
2024-12-01,Eligible,160
2025-10-19,Eligible,66
2024-11-24,Eligible,85
2024-11-17,Eligible,63
2024-11-10,Eligible,109
2024-11-03,Eligible,88
2024-12-01,Eligible,75
2024-10-27,Eligible,68
2024-10-20,Eligible,113
2024-10-13,Eligible,82
2024-10-06,Eligible,80
2024-10-06,Eligible,31
2024-09-29,Eligible,107
2024-09-22,Eligible,76
2024-09-15,Eligible,86
2024-09-08,Eligible,142
2025-12-14,Eligible,84
2025-01-12,Ineligible,
2025-05-11,Ineligible,
2024-09-01,Ineligible,74
2024-08-25,Ineligible,138
2024-08-18,Ineligible,114
2025-01-26,Ineligible,95
2024-08-11,Ineligible,122
2024-08-04,Ineligible,110
2024-08-11,Ineligible,144
2024-07-28,Ineligible,106
2024-07-21,Ineligible,112
2024-07-14,Ineligible,93
2024-07-28,Ineligible,108
2024-07-07,Ineligible,104
2024-06-30,Ineligible,139
2024-07-28,Ineligible,78
2024-06-23,Ineligible,141
2024-06-16,Ineligible,157
2024-06-09,Ineligible,172
2024-06-02,Ineligible,201
2024-05-26,Ineligible,140
2026-03-08,Ineligible,146
2025-02-09,Ineligible,115
2026-02-22,Ineligible,166
2026-02-08,Ineligible,132
2025-11-09,Ineligible,204
2026-02-15,Ineligible,195
2026-03-01,Ineligible,280
2025-09-14,Ineligible,209
2024-05-19,Ineligible,206
2026-02-15,Ineligible,178
2024-05-12,Ineligible,188
2025-12-21,Ineligible,224
2026-03-01,Ineligible,184
2025-09-07,Ineligible,169
2025-06-08,Ineligible,207
2025-11-16,Ineligible,287
2025-10-05,Ineligible,284
2025-06-29,Ineligible,145
2026-03-01,Ineligible,77
2025-01-26,Ineligible,143
2025-06-22,Ineligible,155
2025-06-15,Ineligible,53
2026-03-29,Ineligible,72
2026-03-29,Ineligible,229
2024-12-08,Ineligible,189
2025-03-23,Ineligible,116
2026-03-29,Ineligible,81
2025-02-09,Ineligible,71
2025-01-19,Ineligible,137
2025-02-16,Ineligible,31
2025-01-12,Ineligible,76
