week_start,enrollment_type,count
2026-03-29,Ready2Ride,24
2026-03-22,Ready2Ride,17
2026-03-15,Ready2Ride,27
2026-03-08,Ready2Ride,34
2026-03-01,Ready2Ride,34
2026-02-22,Ready2Ride,32
2026-02-15,Ready2Ride,51
2026-02-08,Ready2Ride,37
2026-02-01,Ready2Ride,33
2026-01-25,Ready2Ride,29
2026-01-18,Ready2Ride,70
2026-01-11,Ready2Ride,13
2026-01-04,Ready2Ride,44
2025-12-28,Ready2Ride,21
2025-12-21,Ready2Ride,26
2025-12-14,Ready2Ride,57
2025-12-07,Ready2Ride,49
2025-11-30,Ready2Ride,63
2025-11-23,Ready2Ride,37
2025-11-16,Ready2Ride,43
2025-11-09,Ready2Ride,49
2025-11-02,Ready2Ride,38
2025-10-26,Ready2Ride,45
2025-10-19,Ready2Ride,44
2025-10-12,Ready2Ride,43
2025-10-05,Ready2Ride,53
2025-09-28,Ready2Ride,90
2025-09-21,Ready2Ride,34
2025-09-14,Ready2Ride,104
2025-09-07,Ready2Ride,52
2025-08-31,Ready2Ride,42
2025-08-24,Ready2Ride,56
2025-08-17,Ready2Ride,46
2025-08-10,Ready2Ride,46
2025-08-03,Ready2Ride,34
2025-07-27,Ready2Ride,58
2025-07-20,Ready2Ride,60
2025-07-13,Ready2Ride,64
2025-07-06,Ready2Ride,106
2025-06-29,Ready2Ride,65
2025-06-22,Ready2Ride,54
2025-06-15,Ready2Ride,79
2025-06-08,Ready2Ride,63
2025-06-01,Ready2Ride,30
2025-05-25,Ready2Ride,26
2025-05-18,Ready2Ride,28
2025-05-11,Ready2Ride,25
2025-05-04,Ready2Ride,53
2025-04-27,Ready2Ride,65
2025-04-20,Ready2Ride,21
2025-04-13,Ready2Ride,39
2025-04-06,Ready2Ride,35
2025-03-30,Ready2Ride,83
2025-03-23,Ready2Ride,33
2025-03-16,Ready2Ride,54
2025-03-09,Ready2Ride,58
2025-03-02,Ready2Ride,77
2025-02-23,Ready2Ride,49
2025-02-16,Ready2Ride,11
2025-02-09,Ready2Ride,82
2025-02-02,Ready2Ride,83
2025-01-26,Ready2Ride,129
2025-01-19,Ready2Ride,41
2025-01-12,Ready2Ride,133
2025-01-05,Ready2Ride,120
