week_start,rides,riders
2024-05-12,262,23
2024-05-19,745,70
2024-05-26,1068,134
2024-06-02,1843,269
2024-06-09,3774,481
2024-06-16,4008,578
2024-06-23,6756,796
2024-06-30,9621,1167
2024-07-07,12818,1346
2024-07-14,14011,1523
2024-07-21,15298,1584
2024-07-28,15432,1672
2024-08-04,15988,1763
2024-08-11,17608,1858
2024-08-18,19197,2019
2024-08-25,19940,2078
2024-09-01,19324,2145
2024-09-08,22014,2255
2024-09-15,22603,2289
2024-09-22,22922,2326
2024-09-29,23040,2395
2024-10-06,24170,2450
2024-10-13,23032,2459
2024-10-20,24881,2505
2024-10-27,25334,2562
2024-11-03,25463,2618
2024-11-10,23904,2562
2024-11-17,24528,2584
2024-11-24,19885,2465
2024-12-01,23007,2577
2024-12-08,24211,2663
2024-12-15,38334,2659
2024-12-22,36141,2394
2024-12-29,30506,2461
2025-01-05,35629,2601
2025-01-12,23168,2689
2025-01-19,18533,2428
2025-01-26,25437,2793
2025-02-02,26131,2804
2025-02-09,25272,2798
2025-02-16,22616,2687
2025-02-23,25581,2847
2025-03-02,24595,2774
2025-03-09,26450,2816
2025-03-16,25701,2801
2025-03-23,26067,2812
2025-03-30,26207,2876
2025-04-06,26089,2819
2025-04-13,42002,2815
2025-04-20,31695,2845
2025-04-27,26809,2930
2025-05-04,28926,2992
2025-05-11,28032,2946
2025-05-18,27496,2975
2025-05-25,20726,2763
2025-06-01,29195,3056
2025-06-08,29196,3058
2025-06-15,27844,3005
2025-06-22,20940,2911
2025-06-29,20410,2980
2025-07-06,22079,2992
2025-07-13,21906,3022
2025-07-20,24980,3146
2025-07-27,24342,3118
2025-08-03,25868,3153
2025-08-10,27762,3203
2025-08-17,30121,3293
2025-08-24,26339,3264
2025-08-31,25716,3261
2025-09-07,24534,3266
2025-09-14,24491,3291
2025-09-21,22415,3207
2025-09-28,23179,3354
2025-10-05,25546,3406
2025-10-12,19302,3211
2025-10-19,30983,3421
2025-10-26,31807,3440
2025-11-02,33554,3447
2025-11-09,32755,3427
2025-11-16,27478,3334
2025-11-23,21448,3073
2025-11-30,30368,3375
2025-12-07,32013,3380
2025-12-14,30772,3367
2025-12-21,19347,2886
2025-12-28,24011,3024
2026-01-04,32156,3411
2026-01-11,30440,3277
2026-01-18,25984,3124
2026-01-25,19448,2787
2026-02-01,25677,3194
2026-02-08,31135,3342
2026-02-15,31576,3362
2026-02-22,30918,3373
2026-03-01,31079,3375
2026-03-08,30429,3304
