route_id,route_name,mode,months,mean_otp,std_otp,min_otp,max_otp,recent_mean_otp,slope,slope_stderr,slope_ci_lo,slope_ci_hi,slope_significant,slope_months,obs_span_months,stop_count,limited_data,high_volatility,rank_avg,rank_slope,rank_volatility,mode_rank
G2,WEST BUSWAY,BUS,82,0.8168280487804878,0.05983972270515376,0.5165,0.9106,0.8839833333333331,0.021928584643848288,0.003993009271669781,0.014102286471375517,0.02975488281632106,1.0,47,47,24,false,false,1.0,6.0,40.0,1.0
18,MANCHESTER,BUS,83,0.8840963855421686,0.06118470725116303,0.619,0.9781,0.87485,0.009078260869565216,0.007010066420056499,-0.0046614693137455206,0.022817991052875953,0.0,47,47,43,false,false,2.0,23.0,43.0,2.0
P1,EAST BUSWAY-ALL STOPS,BUS,83,0.8454204819277108,0.05098694658161177,0.5813,0.9025,0.8388333333333332,-0.013379555966697508,0.004762805715877201,-0.02271465516981682,-0.004044456763578194,1.0,47,47,24,false,false,3.0,54.0,22.0,3.0
39,BROOKLINE,BUS,81,0.789404938271605,0.07328159370066022,0.4,0.9023,0.8264900000000001,0.031889746362398656,0.011609309574292244,0.009135499596785859,0.05464399312801145,1.0,45,47,69,false,false,4.0,4.0,65.0,4.0
43,BAILEY,BUS,80,0.79543875,0.03523964788739877,0.7193,0.8688,0.81777,0.00498635724410728,0.004982939281943913,-0.0047802037485027895,0.014752918236717349,0.0,45,47,65,false,false,5.0,31.0,2.0,5.0
G31,BRIDGEVILLE FLYER,BUS,82,0.7341548780487804,0.0709528658578477,0.4974,0.8571,0.8129583333333333,0.02619671600370027,0.005023996783800888,0.01634968230745053,0.036043749699950015,1.0,47,47,78,false,false,6.0,5.0,61.0,6.0
21,CORAOPOLIS,BUS,83,0.7360734939759036,0.04790842912834536,0.6069,0.8338,0.8022,0.019748242368177616,0.004721087920878185,0.010494910043256374,0.02900157469309886,1.0,47,47,133,false,false,7.0,8.0,18.0,7.0
P3,EAST BUSWAY-OAKLAND,BUS,83,0.8470578313253012,0.05023990766381606,0.7106,0.9335,0.7973583333333334,-0.024688112858464388,0.005396747307167006,-0.03526573758051172,-0.014110488136417057,1.0,47,47,40,false,false,8.0,71.0,20.0,8.0
SLVR,Libary via Overbrook,RAIL,80,0.84659375,0.09009636380326137,0.3483,0.9369,0.78835,-0.033392192790280835,0.013929517005270408,-0.060694046120610835,-0.0060903394599508345,1.0,45,47,58,false,false,9.0,76.0,80.0,1.0
41,BOWER HILL,BUS,80,0.76378875,0.0605584203633048,0.5463,0.9375,0.78096,0.0009371144590801332,0.007648896942653884,-0.01405472354852148,0.015928952466681745,0.0,45,47,138,false,false,10.0,36.0,41.0,9.0
60,MCKEESPORT - WALNUT,BUS,83,0.7833819277108435,0.0667450265701376,0.5499,0.9052,0.7760666666666666,0.005406660499537459,0.010376600137586347,-0.01493147577013178,0.0257447967692067,0.0,47,47,88,false,false,11.0,29.0,53.0,10.0
BLUE,SouthHills Village via Overbrook,RAIL,81,0.8507283950617285,0.07110455547039143,0.4447,0.9284,0.7743090909090907,-0.03739968866105692,0.009845936870940174,-0.05669772492809966,-0.018101652394014178,1.0,46,47,45,false,false,12.0,79.0,62.0,2.0
4,TROY HILL,BUS,83,0.7532843373493976,0.03888432652432936,0.6573,0.8297,0.7707499999999999,0.009183302497687326,0.004927560029299113,-0.00047471515973893444,0.018841320155113587,0.0,47,47,96,false,false,13.0,22.0,5.0,11.0
G3,MOON FLYER,BUS,82,0.7420414634146342,0.04792646103112336,0.6326,0.8451,0.7686333333333334,0.01226350601295097,0.0057594266435972,0.0009750297915004594,0.023551982234401483,1.0,47,47,34,false,false,14.0,17.0,19.0,12.0
O1,ROSS FLYER,BUS,83,0.7058060240963855,0.0617965255740467,0.5687,0.8296,0.7670416666666666,0.033769426456984275,0.006403794843030194,0.021217988564645095,0.046320864349323455,1.0,47,47,7,false,false,15.0,3.0,47.0,13.0
36,BANKSVILLE,BUS,80,0.7328187500000001,0.04027066996186197,0.6468,0.8262,0.7665200000000001,0.005364134399354558,0.00507854113789025,-0.004589806230910333,0.015318075029619448,0.0,45,47,78,false,false,16.0,30.0,6.0,14.0
48,ARLINGTON,BUS,83,0.7499313253012049,0.045157763905059385,0.5977,0.848,0.7621666666666668,0.010383580018501388,0.004930083765096402,0.0007206158389124404,0.020046544198090335,1.0,47,47,89,false,false,17.0,20.0,13.0,15.0
14,OHIO VALLEY,BUS,83,0.7563674698795181,0.040784293092226295,0.6292,0.8266,0.7612333333333333,0.013387604070305276,0.005666842541857673,0.002280592688264237,0.024494615452346317,1.0,47,47,138,false,false,18.0,14.0,7.0,16.0
20,KENNEDY,BUS,82,0.698530487804878,0.08300467142740492,0.45,0.8329,0.7594583333333333,0.01690740055504162,0.011531956805506251,-0.005695234783750634,0.039510035893833874,0.0,47,47,92,false,false,19.0,10.0,74.0,17.0
P7,MCKEESPORT FLYER,BUS,83,0.7169891566265061,0.08324192337888772,0.4,0.8369,0.7576583333333334,0.011882469935245145,0.008765868204273657,-0.005298631745131222,0.029063571615621512,0.0,47,47,101,false,false,20.0,18.0,75.0,18.0
8,PERRYSVILLE,BUS,83,0.7659469879518073,0.05352459962678069,0.5438,0.8393,0.7555000000000001,-0.002468547641073077,0.004675484348551433,-0.011632496964233886,0.006695401682087731,0.0,47,47,119,false,false,21.0,42.0,28.0,19.0
38,GREEN TREE,BUS,81,0.713946913580247,0.04357453696374684,0.6083,0.81,0.75518,0.014017906467282605,0.005313032584676187,0.003604362601317279,0.02443145033324793,1.0,45,47,131,false,false,22.0,13.0,12.0,20.0
31,BRIDGEVILLE,BUS,81,0.6748740740740741,0.06148184646254894,0.5077,0.7965,0.75358,0.014020182314282035,0.00703108937441096,0.00023924714043655447,0.027801117488127518,1.0,45,47,128,false,false,23.0,12.0,44.0,21.0
26,CHARTIERS,BUS,80,0.80436125,0.04291288937332333,0.684,0.8748,0.7492600000000001,-0.02348705703064157,0.004887044264214737,-0.03306566378850245,-0.013908450272780686,1.0,45,47,81,false,false,24.0,69.0,10.0,22.0
51L,CARRICK LIMITED,BUS,83,0.7352228915662651,0.056921367082680585,0.5325,0.8451,0.7477,0.0045553654024051765,0.006738950140443861,-0.00865297687286479,0.017763707677675145,0.0,47,47,50,false,false,25.0,32.0,35.0,23.0
22,MCCOY,BUS,81,0.7232444444444445,0.06261680684927967,0.5069,0.8331,0.74542,-0.0014865382137234343,0.009476577175614839,-0.020060629477928516,0.01708755305048165,0.0,45,47,65,false,false,26.0,41.0,48.0,24.0
44,VIA KNOXVILLE,BUS,80,0.72646625,0.061566337472762855,0.4809,0.8306,0.7418777777777777,-0.0008320337969011273,0.009787879685307505,-0.020016277980103837,0.018352210386301582,0.0,44,47,133,false,false,27.0,40.0,46.0,25.0
11,FINEVIEW,BUS,83,0.7557734939759037,0.051574556698229225,0.6123,0.8281,0.7353916666666667,-0.0067959296947271135,0.0069704325677572366,-0.0204579775275313,0.00686611813807707,0.0,47,47,55,false,false,28.0,47.0,23.0,26.0
24,WEST PARK,BUS,81,0.6971098765432099,0.05658121509153515,0.5748,0.8054,0.7319599999999999,0.008035292997092158,0.008350787067754715,-0.008332249655707082,0.0244028356498914,0.0,45,47,98,false,false,29.0,25.0,34.0,27.0
RED,Castle Shannon via Beechview,RAIL,81,0.827620987654321,0.10204334828401285,0.4062,0.9396,0.7275,-0.014179483522640455,0.01591554785052418,-0.04537395730966785,0.01701499026438694,0.0,45,47,59,false,false,30.0,55.0,88.0,3.0
27,FAIRYWOOD,BUS,81,0.7843629629629629,0.05351198801307154,0.6559,0.8682,0.72688,-0.03306556926990246,0.006328534180154279,-0.045469496263004845,-0.02066164227680007,1.0,45,47,105,false,false,31.0,75.0,27.0,28.0
O5,THOMPSON RUN FLYER VIA 279,BUS,83,0.6921698795180723,0.0784546206180794,0.4348,0.8534,0.7265583333333333,0.006614153561517111,0.009510745901071196,-0.012026908404582433,0.025255215527616656,0.0,47,47,127,false,false,32.0,26.0,71.0,29.0
