hood,muni,county,weighted_otp,route_count,stop_count,total_trips_7d,unweighted_otp,otp_gap,bus_weighted_otp,bus_route_count
Regent Square,"Pittsburgh city (Allegheny, PA)","Allegheny County, PA",0.587508489365712,4,10,3520,0.6412151680797262,-0.053706678714014244,0.587508489365712,4
Bluff,"Pittsburgh city (Allegheny, PA)","Allegheny County, PA",0.5921432745343042,16,27,24028,0.6222298884109155,-0.03008661387661138,0.5921432745343042,16
Crawford-Roberts,"Pittsburgh city (Allegheny, PA)","Allegheny County, PA",0.61411064391953,7,41,24814,0.6087374291591453,0.005373214760384659,0.61411064391953,7
Squirrel Hill North,"Pittsburgh city (Allegheny, PA)","Allegheny County, PA",0.6159629448324648,12,76,48226,0.6185044127730434,-0.0025414679405785234,0.6159629448324648,12
Highland Park,"Pittsburgh city (Allegheny, PA)","Allegheny County, PA",0.6194717967955042,5,24,10002,0.6478766676461946,-0.028404870850690322,0.6194717967955042,5
Point Breeze,"Pittsburgh city (Allegheny, PA)","Allegheny County, PA",0.6194844439001453,11,39,15202,0.6354140535864407,-0.01592960968629531,0.6194844439001453,11
Homewood North,"Pittsburgh city (Allegheny, PA)","Allegheny County, PA",0.6235288889596933,5,30,6539,0.6282040023508669,-0.0046751133911736575,0.6235288889596933,5
Homewood West,"Pittsburgh city (Allegheny, PA)","Allegheny County, PA",0.6253005748186214,6,21,7646,0.6304752791654423,-0.00517470434682088,0.6253005748186214,6
Middle Hill,"Pittsburgh city (Allegheny, PA)","Allegheny County, PA",0.6273681139948044,3,26,8668,0.6437443628171221,-0.016376248822317696,0.6273681139948044,3
Friendship,"Pittsburgh city (Allegheny, PA)","Allegheny County, PA",0.6298008349878214,8,15,8616,0.6307751854980899,-0.0009743505102685068,0.6298008349878214,8
West Oakland,"Pittsburgh city (Allegheny, PA)","Allegheny County, PA",0.6309157426913456,18,33,34734,0.6401795188885624,-0.009263776197216744,0.6309157426913456,18
Squirrel Hill South,"Pittsburgh city (Allegheny, PA)","Allegheny County, PA",0.6310207225345217,11,72,35713,0.6372638558009652,-0.006243133266443546,0.6310207225345217,11
Central Oakland,"Pittsburgh city (Allegheny, PA)","Allegheny County, PA",0.6319172736409622,19,12,18002,0.6388576598697362,-0.00694038622877402,0.6319172736409622,19
East Liberty,"Pittsburgh city (Allegheny, PA)","Allegheny County, PA",0.6335939433502249,11,63,39567,0.6383034488285737,-0.004709505478348808,0.6335939433502249,11
Greenfield,"Pittsburgh city (Allegheny, PA)","Allegheny County, PA",0.6341950297038293,8,71,23750,0.6405580816264154,-0.006363051922586016,0.6341950297038293,8
North Oakland,"Pittsburgh city (Allegheny, PA)","Allegheny County, PA",0.6389303600209999,20,46,58001,0.6344451491331178,0.004485210887882118,0.6389303600209999,20
Upper Hill,"Pittsburgh city (Allegheny, PA)","Allegheny County, PA",0.6397092177231016,2,22,4712,0.6310430502497796,0.00866616747332205,0.6397092177231016,2
South Oakland,"Pittsburgh city (Allegheny, PA)","Allegheny County, PA",0.6401445082884363,21,23,18643,0.6410568156136397,-0.0009123073252034208,0.6401445082884363,21
Point Breeze North,"Pittsburgh city (Allegheny, PA)","Allegheny County, PA",0.6412117734575848,19,17,9084,0.6740780454008303,-0.03286627194324543,0.6412117734575848,19
Lincoln-Lemington-Belmar,"Pittsburgh city (Allegheny, PA)","Allegheny County, PA",0.6416745129946209,8,86,26881,0.6573446609609168,-0.015670147966295955,0.6416745129946209,8
Terrace Village,"Pittsburgh city (Allegheny, PA)","Allegheny County, PA",0.646646417824646,3,35,7847,0.6437443628171221,0.0029020550075239404,0.646646417824646,3
Bloomfield,"Pittsburgh city (Allegheny, PA)","Allegheny County, PA",0.6509317305004454,11,92,37426,0.6564565423556755,-0.005524811855230127,0.6509317305004454,11
Larimer,"Pittsburgh city (Allegheny, PA)","Allegheny County, PA",0.6509377647605751,23,52,20640,0.6702736853860594,-0.019335920625484282,0.6509377647605751,23
Strip District,"Pittsburgh city (Allegheny, PA)","Allegheny County, PA",0.6512412433590501,5,23,21419,0.65220269174258,-0.0009614483835299614,0.6512412433590501,5
Shadyside,"Pittsburgh city (Allegheny, PA)","Allegheny County, PA",0.6521960516730257,26,76,47161,0.6665175278767771,-0.014321476203751349,0.6521960516730257,26
