hood,muni,county,bus_weighted_otp,bus_route_count
Regent Square,"Pittsburgh city (Allegheny, PA)","Allegheny County, PA",0.587508489365712,4
Bluff,"Pittsburgh city (Allegheny, PA)","Allegheny County, PA",0.5921432745343042,16
Crawford-Roberts,"Pittsburgh city (Allegheny, PA)","Allegheny County, PA",0.61411064391953,7
Squirrel Hill North,"Pittsburgh city (Allegheny, PA)","Allegheny County, PA",0.6159629448324648,12
Highland Park,"Pittsburgh city (Allegheny, PA)","Allegheny County, PA",0.6194717967955042,5
Point Breeze,"Pittsburgh city (Allegheny, PA)","Allegheny County, PA",0.6194844439001453,11
Homewood North,"Pittsburgh city (Allegheny, PA)","Allegheny County, PA",0.6235288889596933,5
Homewood West,"Pittsburgh city (Allegheny, PA)","Allegheny County, PA",0.6253005748186214,6
Middle Hill,"Pittsburgh city (Allegheny, PA)","Allegheny County, PA",0.6273681139948044,3
Friendship,"Pittsburgh city (Allegheny, PA)","Allegheny County, PA",0.6298008349878214,8
West Oakland,"Pittsburgh city (Allegheny, PA)","Allegheny County, PA",0.6309157426913456,18
Squirrel Hill South,"Pittsburgh city (Allegheny, PA)","Allegheny County, PA",0.6310207225345217,11
Central Oakland,"Pittsburgh city (Allegheny, PA)","Allegheny County, PA",0.6319172736409622,19
East Liberty,"Pittsburgh city (Allegheny, PA)","Allegheny County, PA",0.6335939433502249,11
Greenfield,"Pittsburgh city (Allegheny, PA)","Allegheny County, PA",0.6341950297038293,8
North Oakland,"Pittsburgh city (Allegheny, PA)","Allegheny County, PA",0.6389303600209999,20
Upper Hill,"Pittsburgh city (Allegheny, PA)","Allegheny County, PA",0.6397092177231016,2
South Oakland,"Pittsburgh city (Allegheny, PA)","Allegheny County, PA",0.6401445082884363,21
Point Breeze North,"Pittsburgh city (Allegheny, PA)","Allegheny County, PA",0.6412117734575848,19
Lincoln-Lemington-Belmar,"Pittsburgh city (Allegheny, PA)","Allegheny County, PA",0.6416745129946209,8
Terrace Village,"Pittsburgh city (Allegheny, PA)","Allegheny County, PA",0.646646417824646,3
Bloomfield,"Pittsburgh city (Allegheny, PA)","Allegheny County, PA",0.6509317305004454,11
Larimer,"Pittsburgh city (Allegheny, PA)","Allegheny County, PA",0.6509377647605751,23
Strip District,"Pittsburgh city (Allegheny, PA)","Allegheny County, PA",0.6512412433590501,5
Shadyside,"Pittsburgh city (Allegheny, PA)","Allegheny County, PA",0.6521960516730257,26
Homewood South,"Pittsburgh city (Allegheny, PA)","Allegheny County, PA",0.6525650788569157,15
Lower Lawrenceville,"Pittsburgh city (Allegheny, PA)","Allegheny County, PA",0.653922704228483,7
Central Lawrenceville,"Pittsburgh city (Allegheny, PA)","Allegheny County, PA",0.6541234895303851,6
Bedford Dwellings,"Pittsburgh city (Allegheny, PA)","Allegheny County, PA",0.6541397590361445,1
Upper Lawrenceville,"Pittsburgh city (Allegheny, PA)","Allegheny County, PA",0.6569558945768097,3
Lincoln Place,"Pittsburgh city (Allegheny, PA)","Allegheny County, PA",0.6571831634284628,2
Hazelwood,"Pittsburgh city (Allegheny, PA)","Allegheny County, PA",0.6574515417447228,10
