route_id,route_name,mode,month,otp,rolling_mean,rolling_std,z_score,known_event
1,FREEPORT ROAD,BUS,2020-03,0.7002,0.6256583333333333,0.03325962494549736,2.241205870144909,COVID-19 shutdown begins
1,FREEPORT ROAD,BUS,2020-04,0.7201,0.6271,0.03621042039875463,2.5683214659169904,COVID-19 reduced service
1,FREEPORT ROAD,BUS,2021-11,0.6128,0.6579,0.0186341816904505,-2.4202833668361476,
1,FREEPORT ROAD,BUS,2022-01,0.7104,0.658525,0.021294050598913396,2.4361264550882162,
1,FREEPORT ROAD,BUS,2022-10,0.5507,0.6642916666666667,0.030013465412387762,-3.784690141771597,
1,FREEPORT ROAD,BUS,2023-09,0.4783,0.5778416666666667,0.04382378885601973,-2.271407134460795,
1,FREEPORT ROAD,BUS,2024-01,0.6317,0.5575249999999999,0.03571124409125915,2.0770768951775476,
11,FINEVIEW,BUS,2020-10,0.8016,0.7653916666666668,0.016935087746146948,2.138065882863303,
11,FINEVIEW,BUS,2020-11,0.8201,0.7666583333333333,0.019081664608791973,2.800681584249374,
11,FINEVIEW,BUS,2021-11,0.7622,0.8107666666666667,0.01552091453100597,-3.1291111467462582,
11,FINEVIEW,BUS,2022-02,0.7629,0.806575,0.020029483949236728,-2.18053546015919,
11,FINEVIEW,BUS,2022-06,0.7501,0.8024416666666666,0.02341582442138943,-2.2353117159033093,
11,FINEVIEW,BUS,2022-11,0.7255,0.7790333333333334,0.02473791103598374,-2.1640199633454817,
11,FINEVIEW,BUS,2023-03,0.6203,0.7565833333333333,0.03263661728609117,-4.175779987817963,
11,FINEVIEW,BUS,2023-04,0.6421,0.7404166666666666,0.046536629430888855,-2.1126727025358774,
11,FINEVIEW,BUS,2023-05,0.6123,0.7291666666666666,0.052763612346756306,-2.2149102661628355,
11,FINEVIEW,BUS,2025-05,0.6573,0.7382833333333334,0.02784332246806344,-2.9085369903761333,
12,MCKNIGHT,BUS,2019-08,0.6672,0.5919714285714285,0.025905836812432435,2.9039236205050396,
12,MCKNIGHT,BUS,2020-09,0.7134,0.6648916666666667,0.015104030668143668,3.2116151244080595,
12,MCKNIGHT,BUS,2020-10,0.7362,0.6695833333333333,0.020310446632809995,3.279921307050553,
12,MCKNIGHT,BUS,2021-11,0.6107,0.6742750000000001,0.02441222216245526,-2.604228307317927,
12,MCKNIGHT,BUS,2022-09,0.5953,0.6603833333333333,0.019999446962050613,-3.2542566530379724,
12,MCKNIGHT,BUS,2022-12,0.5994,0.6626916666666667,0.023592813171246153,-2.6826672261281517,
12,MCKNIGHT,BUS,2024-02,0.742,0.6499833333333334,0.03131812816110123,2.9381279172666583,
12,MCKNIGHT,BUS,2025-10,0.6946,0.6457333333333334,0.02205939640373203,2.215231358660353,
13,BELLEVUE,BUS,2021-03,0.7805,0.7222916666666667,0.02530150762066916,2.3005875462449557,
13,BELLEVUE,BUS,2021-04,0.7938,0.72365,0.028044753195886268,2.5013591494287017,
13,BELLEVUE,BUS,2022-09,0.5161,0.7257500000000001,0.030298739847782974,-6.919429687612591,
13,BELLEVUE,BUS,2024-04,0.5947,0.6776333333333334,0.03133674385049493,-2.646520446699939,
13,BELLEVUE,BUS,2025-07,0.6466,0.7318166666666666,0.022187090158398738,-3.840822120354009,
14,OHIO VALLEY,BUS,2020-08,0.7086,0.77765,0.02810067938356967,-2.4572359642085075,
14,OHIO VALLEY,BUS,2021-06,0.7979,0.7507083333333333,0.021680550912714123,2.176682080481273,
14,OHIO VALLEY,BUS,2022-01,0.8184,0.781625,0.016213469428505885,2.2681758621842922,
14,OHIO VALLEY,BUS,2022-04,0.7401,0.7910833333333334,0.014858473758237973,-3.4312631406753153,
14,OHIO VALLEY,BUS,2022-05,0.7089,0.787175,0.020949815577404912,-3.736309740331186,
14,OHIO VALLEY,BUS,2022-06,0.7149,0.7813333333333333,0.03086405185599749,-2.152450159275638,
14,OHIO VALLEY,BUS,2022-09,0.6605,0.7669666666666667,0.035600417089827766,-2.9906016662115964,
14,OHIO VALLEY,BUS,2022-10,0.6292,0.7575916666666668,0.046889957411588766,-2.7381485024538543,
14,OHIO VALLEY,BUS,2023-10,0.7704,0.69975,0.03455794869754003,2.044392177856006,
14,OHIO VALLEY,BUS,2023-11,0.7803,0.7115166666666667,0.0323186361473413,2.128287005050236,
14,OHIO VALLEY,BUS,2024-02,0.8139,0.737425,0.03576974661256735,2.137979919967653,
14,OHIO VALLEY,BUS,2024-12,0.8266,0.7859666666666666,0.01892479534335523,2.1470949934261965,
14,OHIO VALLEY,BUS,2025-04,0.717,0.7847749999999999,0.020135952694349788,-3.3658700449280357,
14,OHIO VALLEY,BUS,2025-09,0.703,0.7681,0.029355067705593912,-2.217675007698741,
15,CHARLES,BUS,2021-06,0.727,0.7604166666666666,0.013499887766087867,-2.4753292209295505,
15,CHARLES,BUS,2021-12,0.7971,0.7563083333333332,0.017218143619361775,2.3691094445743044,
15,CHARLES,BUS,2022-07,0.3503,0.7570583333333335,0.02359084793008944,-17.242209120195508,
15,CHARLES,BUS,2022-08,0.395,0.7251500000000001,0.12014658849618964,-2.747893253835256,
15,CHARLES,BUS,2025-05,0.5682,0.6324416666666667,0.023326163941857943,-2.7540604973365266,
15,CHARLES,BUS,2025-07,0.5451,0.62775,0.030183725295716606,-2.738230592488493,
16,BRIGHTON,BUS,2021-05,0.7158,0.7643749999999999,0.018559149911958606,-2.617307378324509,
16,BRIGHTON,BUS,2021-07,0.6802,0.7547083333333333,0.024682399262092376,-3.0186827683224613,
16,BRIGHTON,BUS,2022-09,0.5465,0.7187833333333334,0.02363509845098755,-7.289300431330969,
16,BRIGHTON,BUS,2024-11,0.6392,0.7120416666666666,0.027755538622812125,-2.624401120675728,
16,BRIGHTON,BUS,2025-05,0.6104,0.6876666666666665,0.028046951976132488,-2.7549042310344167,
16,BRIGHTON,BUS,2025-07,0.5781,0.6757333333333334,0.037629541908484346,-2.594592662615434,
17,SHADELAND,BUS,2021-12,0.6335,0.6772833333333333,0.019282343941513094,-2.270643728072496,
17,SHADELAND,BUS,2022-01,0.6275,0.675875,0.0218681222954165,-2.212124083929205,
17,SHADELAND,BUS,2022-03,0.6016,0.6705416666666667,0.027908794910088,-2.4702487831800584,
