route_id,route_name,seasonal_amplitude,best_month,worst_month
15,CHARLES,0.15848861111111118,2,7
O5,THOMPSON RUN FLYER VIA 279,0.15188055555555557,2,6
P2,EAST BUSWAY SHORT,0.1481833333333333,9,7
58,GREENFIELD,0.14781073232323233,5,9
89,GARFIELD COMMONS,0.13936546296296293,3,9
71A,NEGLEY,0.13657666666666662,12,9
61D,MURRAY,0.1324926984126985,1,9
61B,BRADDOCK-SWISSVALE,0.12950166666666663,12,9
81,OAK HILL,0.1272,12,9
57,HAZELWOOD,0.12714519841269836,1,9
P76,LINCOLN HIGHWAY FLYER,0.12500357142857144,1,9
71B,HIGHLAND PARK,0.12412000000000006,7,9
71C,POINT BREEZE,0.12329785714285718,1,9
22,MCCOY,0.1211074074074074,3,9
P7,MCKEESPORT FLYER,0.12044935185185182,3,9
71D,HAMILTON,0.11964500000000004,12,9
13,BELLEVUE,0.11710674603174609,1,9
61A,NORTH BRADDOCK,0.11674166666666666,7,9
65,SQUIRREL HILL,0.11500333333333335,12,9
67,MONROEVILLE,0.11376579365079365,1,9
O12,MCKNIGHT FLYER,0.11337049663299664,3,5
41,BOWER HILL,0.10950870370370369,3,8
69,TRAFFORD,0.10921259259259256,3,9
75,ELLSWORTH,0.10897027777777771,1,9
71,EDGEWOOD TOWN CENTER,0.10695388888888892,9,6
P78,OAKMONT FLYER,0.1034198148148148,3,10
18,MANCHESTER,0.10045000000000001,10,9
61C,MCKEESPORT-HOMESTEAD,0.10039000000000003,12,9
RED,Castle Shannon via Beechview,0.10011772727272725,12,5
83,BEDFORD HILL,0.09783333333333338,12,4
60,MCKEESPORT - WALNUT,0.09589430555555553,2,9
44,VIA KNOXVILLE,0.09056138888888884,2,7
SLVR,Libary via Overbrook,0.0901583333333333,2,8
2,MOUNT ROYAL,0.08799742063492066,1,6
1,FREEPORT ROAD,0.08737222222222221,1,6
G31,BRIDGEVILLE FLYER,0.08668873015873016,1,10
51,CARRICK,0.08622265873015866,1,9
93,LAWRENCEVILLE - HAZELWOOD,0.08545999999999998,12,9
29,ROBINSON,0.08521404040404046,7,5
51L,CARRICK LIMITED,0.08466666666666672,7,9
16,BRIGHTON,0.08459202380952381,1,9
P17,LINCOLN PARK FLYER,0.08357833333333331,7,9
31,BRIDGEVILLE,0.08347523809523812,1,9
82,LINCOLN,0.08221226190476186,1,10
56,LINCOLN PLACE,0.08117833333333332,12,9
20,KENNEDY,0.08009611111111113,4,9
27,FAIRYWOOD,0.07870555555555553,2,6
28X,AIRPORT FLYER,0.07793150793650797,1,9
19L,EMSWORTH LIMITED,0.07749490740740736,3,6
24,WEST PARK,0.07705603174603172,1,9
48,ARLINGTON,0.07522902777777785,2,7
P69,TRAFFORD FLYER,0.0744896296296296,3,9
6,SPRING HILL,0.07404007936507939,1,6
21,CORAOPOLIS,0.0736377777777777,3,9
7,SPRING GARDEN,0.07232492063492069,1,9
77,PENN HILLS,0.07231944444444445,1,9
BLUE,SouthHills Village via Overbrook,0.07173657407407412,3,8
P10,ALLEGHENY VALLEY FLYER,0.07131199494949494,2,5
G3,MOON FLYER,0.07018458333333338,12,11
64,LAWRENCEVILLE - WATERFRONT,0.06881988095238092,1,10
59,MON VALLEY,0.06862138888888888,3,9
P68,BRADDOCK HILLS FLYER,0.06852888888888894,4,9
G2,WEST BUSWAY,0.06775169191919193,8,5
91,BUTLER STREET,0.06760722222222226,1,9
53L,HOMESTEAD PARK LIMITED,0.06625222222222218,3,9
39,BROOKLINE,0.06623541666666671,2,3
86,LIBERTY,0.0655278703703704,3,9
52L,HOMEVILLE LIMITED,0.06423666666666664,8,9
8,PERRYSVILLE,0.06393777777777779,1,4
36,BANKSVILLE,0.06242597222222226,2,8
P67,MONROEVILLE FLYER,0.06166333333333339,12,6
11,FINEVIEW,0.0596775,10,6
P12,HOLIDAY PARK FLYER,0.05915227272727275,3,5
P71,SWISSVALE FLYER,0.05769055555555554,3,8
P16,PENN HILLS FLYER,0.05721500000000003,10,4
12,MCKNIGHT,0.056529761904761874,1,12
43,BAILEY,0.05410166666666667,10,7
87,FRIENDSHIP,0.052658055555555514,4,9
74,HOMEWOOD-SQUIRREL HILL,0.05262351851851857,3,8
55,GLASSPORT,0.05245944444444452,4,10
54,NORTH SIDE-OAKLAND-SOUTH SIDE,0.052152222222222225,3,9
P1,EAST BUSWAY-ALL STOPS,0.052129217171717104,10,5
14,OHIO VALLEY,0.05017321428571425,1,9
88,PENN,0.04991134920634918,1,9
26,CHARTIERS,0.04861597222222225,2,6
40,MOUNT WASHINGTON,0.046851388888888915,4,8
P13,MOUNT ROYAL FLYER,0.04613369047619047,1,4
O1,ROSS FLYER,0.0460583754208755,3,5
79,EAST HILLS,0.04285398148148151,3,7
17,SHADELAND,0.04269737373737376,8,5
P3,EAST BUSWAY-OAKLAND,0.041354563492063526,1,10
4,TROY HILL,0.040079166666666645,2,7
38,GREEN TREE,0.029374999999999995,8,9
