route_id,route_name,mode,avg_otp,months,max_trips_wd
1,FREEPORT ROAD,BUS,0.6164829268292683,82,33
11,FINEVIEW,BUS,0.7557734939759037,83,25
12,MCKNIGHT,BUS,0.654610843373494,83,25
13,BELLEVUE,BUS,0.712666265060241,83,39
14,OHIO VALLEY,BUS,0.7563674698795181,83,24
15,CHARLES,BUS,0.6856385542168675,83,35
16,BRIGHTON,BUS,0.7138240963855421,83,55
17,SHADELAND,BUS,0.6683573170731708,82,33
18,MANCHESTER,BUS,0.8840963855421686,83,12
19L,EMSWORTH LIMITED,BUS,0.6602963855421686,83,7
2,MOUNT ROYAL,BUS,0.6322256097560975,82,18
20,KENNEDY,BUS,0.698530487804878,82,18
21,CORAOPOLIS,BUS,0.7360734939759036,83,30
22,MCCOY,BUS,0.7232444444444445,81,26
24,WEST PARK,BUS,0.6971098765432099,81,31
26,CHARTIERS,BUS,0.80436125,80,31
27,FAIRYWOOD,BUS,0.7843629629629629,81,30
28X,AIRPORT FLYER,BUS,0.6166469879518072,83,34
29,ROBINSON,BUS,0.6510407407407407,81,22
31,BRIDGEVILLE,BUS,0.6748740740740741,81,28
36,BANKSVILLE,BUS,0.7328187500000001,80,20
38,GREEN TREE,BUS,0.713946913580247,81,30
39,BROOKLINE,BUS,0.789404938271605,81,41
4,TROY HILL,BUS,0.7532843373493976,83,22
40,MOUNT WASHINGTON,BUS,0.7615112500000001,80,28
41,BOWER HILL,BUS,0.76378875,80,22
43,BAILEY,BUS,0.79543875,80,18
44,VIA KNOXVILLE,BUS,0.72646625,80,22
48,ARLINGTON,BUS,0.7499313253012049,83,38
51,CARRICK,BUS,0.7006710843373495,83,103
51L,CARRICK LIMITED,BUS,0.7352228915662651,83,7
52L,HOMEVILLE LIMITED,BUS,0.6749771084337349,83,8
53L,HOMESTEAD PARK LIMITED,BUS,0.6500780487804878,82,19
54,NORTH SIDE-OAKLAND-SOUTH SIDE,BUS,0.6672096385542169,83,53
55,GLASSPORT,BUS,0.7121536585365854,82,18
56,LINCOLN PLACE,BUS,0.6623096385542169,83,25
57,HAZELWOOD,BUS,0.661587951807229,83,23
58,GREENFIELD,BUS,0.6076132530120482,83,20
59,MON VALLEY,BUS,0.689755421686747,83,26
6,SPRING HILL,BUS,0.7247855421686747,83,35
60,MCKEESPORT - WALNUT,BUS,0.7833819277108435,83,16
61A,NORTH BRADDOCK,BUS,0.5899975903614457,83,60
61B,BRADDOCK-SWISSVALE,BUS,0.5842313253012048,83,61
61C,MCKEESPORT-HOMESTEAD,BUS,0.5677506024096386,83,61
61D,MURRAY,BUS,0.6678686746987952,83,60
64,LAWRENCEVILLE - WATERFRONT,BUS,0.680559756097561,82,37
65,SQUIRREL HILL,BUS,0.6150641975308642,81,8
67,MONROEVILLE,BUS,0.6035817073170732,82,27
69,TRAFFORD,BUS,0.6026573170731707,82,25
7,SPRING GARDEN,BUS,0.7074795180722891,83,6
71,EDGEWOOD TOWN CENTER,BUS,0.7087638554216867,83,6
71A,NEGLEY,BUS,0.6446518072289156,83,63
71B,HIGHLAND PARK,BUS,0.5879493975903615,83,63
71C,POINT BREEZE,BUS,0.6080518072289156,83,62
71D,HAMILTON,BUS,0.6559621951219512,82,59
74,HOMEWOOD-SQUIRREL HILL,BUS,0.6572341463414634,82,25
75,ELLSWORTH,BUS,0.6881614457831325,83,47
77,PENN HILLS,BUS,0.5577253012048192,83,25
79,EAST HILLS,BUS,0.709910975609756,82,25
8,PERRYSVILLE,BUS,0.7659469879518073,83,53
81,OAK HILL,BUS,0.6691469879518073,83,29
82,LINCOLN,BUS,0.6079463414634146,82,58
83,BEDFORD HILL,BUS,0.6541397590361445,83,27
86,LIBERTY,BUS,0.628733734939759,83,36
87,FRIENDSHIP,BUS,0.6755170731707317,82,39
88,PENN,BUS,0.6430156626506024,83,35
89,GARFIELD COMMONS,BUS,0.722351219512195,82,16
91,BUTLER STREET,BUS,0.6465373493975903,83,71
93,LAWRENCEVILLE - HAZELWOOD,BUS,0.6605530120481927,83,30
BLUE,SouthHills Village via Overbrook,RAIL,0.8507283950617285,81,44
G2,WEST BUSWAY,BUS,0.8168280487804878,82,43
G3,MOON FLYER,BUS,0.7420414634146342,82,7
G31,BRIDGEVILLE FLYER,BUS,0.7341548780487804,82,5
O1,ROSS FLYER,BUS,0.7058060240963855,83,10
O12,MCKNIGHT FLYER,BUS,0.6471686746987952,83,10
O5,THOMPSON RUN FLYER VIA 279,BUS,0.6921698795180723,83,3
P1,EAST BUSWAY-ALL STOPS,BUS,0.8454204819277108,83,95
P10,ALLEGHENY VALLEY FLYER,BUS,0.6431036144578314,83,5
P12,HOLIDAY PARK FLYER,BUS,0.6679280487804878,82,10
P13,MOUNT ROYAL FLYER,BUS,0.6792658536585365,82,3
P16,PENN HILLS FLYER,BUS,0.6379180722891566,83,11
P17,LINCOLN PARK FLYER,BUS,0.689380487804878,82,14
P3,EAST BUSWAY-OAKLAND,BUS,0.8470578313253012,83,47
P67,MONROEVILLE FLYER,BUS,0.6799807228915663,83,4
P68,BRADDOCK HILLS FLYER,BUS,0.6795807228915662,83,23
P69,TRAFFORD FLYER,BUS,0.6454650602409638,83,4
P7,MCKEESPORT FLYER,BUS,0.7169891566265061,83,12
P71,SWISSVALE FLYER,BUS,0.6818679012345679,81,7
P76,LINCOLN HIGHWAY FLYER,BUS,0.6996135802469136,81,8
P78,OAKMONT FLYER,BUS,0.5961602409638553,83,22
RED,Castle Shannon via Beechview,RAIL,0.827620987654321,81,62
SLVR,Libary via Overbrook,RAIL,0.84659375,80,56
