route_id,ib_trips_wd,ob_trips_wd,total_trips,asymmetry_index,route_name,mode,avg_otp,months
19L,7,6,13,0.07692307692307693,EMSWORTH LIMITED,BUS,0.6602963855421686,83
67,27,25,52,0.038461538461538464,MONROEVILLE,BUS,0.6035817073170732,82
29,22,21,43,0.023255813953488372,ROBINSON,BUS,0.6510407407407407,81
1,33,33,66,0.0,FREEPORT ROAD,BUS,0.6164829268292683,82
12,25,25,50,0.0,MCKNIGHT,BUS,0.654610843373494,83
13,39,39,78,0.0,BELLEVUE,BUS,0.712666265060241,83
14,24,24,48,0.0,OHIO VALLEY,BUS,0.7563674698795181,83
15,35,35,70,0.0,CHARLES,BUS,0.6856385542168675,83
16,55,55,110,0.0,BRIGHTON,BUS,0.7138240963855421,83
17,33,33,66,0.0,SHADELAND,BUS,0.6683573170731708,82
18,12,12,24,0.0,MANCHESTER,BUS,0.8840963855421686,83
2,18,18,36,0.0,MOUNT ROYAL,BUS,0.6322256097560975,82
20,18,18,36,0.0,KENNEDY,BUS,0.698530487804878,82
21,30,30,60,0.0,CORAOPOLIS,BUS,0.7360734939759036,83
22,26,26,52,0.0,MCCOY,BUS,0.7232444444444445,81
24,31,31,62,0.0,WEST PARK,BUS,0.6971098765432099,81
26,31,31,62,0.0,CHARTIERS,BUS,0.80436125,80
27,30,30,60,0.0,FAIRYWOOD,BUS,0.7843629629629629,81
28X,34,34,68,0.0,AIRPORT FLYER,BUS,0.6166469879518072,83
31,28,28,56,0.0,BRIDGEVILLE,BUS,0.6748740740740741,81
36,20,20,40,0.0,BANKSVILLE,BUS,0.7328187500000001,80
38,30,30,60,0.0,GREEN TREE,BUS,0.713946913580247,81
39,41,41,82,0.0,BROOKLINE,BUS,0.789404938271605,81
4,22,22,44,0.0,TROY HILL,BUS,0.7532843373493976,83
40,28,28,56,0.0,MOUNT WASHINGTON,BUS,0.7615112500000001,80
41,22,22,44,0.0,BOWER HILL,BUS,0.76378875,80
43,18,18,36,0.0,BAILEY,BUS,0.79543875,80
44,22,22,44,0.0,VIA KNOXVILLE,BUS,0.72646625,80
48,38,38,76,0.0,ARLINGTON,BUS,0.7499313253012049,83
51,103,103,206,0.0,CARRICK,BUS,0.7006710843373495,83
51L,7,7,14,0.0,CARRICK LIMITED,BUS,0.7352228915662651,83
52L,8,8,16,0.0,HOMEVILLE LIMITED,BUS,0.6749771084337349,83
53L,19,19,38,0.0,HOMESTEAD PARK LIMITED,BUS,0.6500780487804878,82
54,53,53,106,0.0,NORTH SIDE-OAKLAND-SOUTH SIDE,BUS,0.6672096385542169,83
55,18,18,36,0.0,GLASSPORT,BUS,0.7121536585365854,82
56,25,25,50,0.0,LINCOLN PLACE,BUS,0.6623096385542169,83
57,23,23,46,0.0,HAZELWOOD,BUS,0.661587951807229,83
58,20,20,40,0.0,GREENFIELD,BUS,0.6076132530120482,83
59,26,26,52,0.0,MON VALLEY,BUS,0.689755421686747,83
6,35,35,70,0.0,SPRING HILL,BUS,0.7247855421686747,83
61A,60,60,120,0.0,NORTH BRADDOCK,BUS,0.5899975903614457,83
61B,61,61,122,0.0,BRADDOCK-SWISSVALE,BUS,0.5842313253012048,83
61C,61,61,122,0.0,MCKEESPORT-HOMESTEAD,BUS,0.5677506024096386,83
61D,60,60,120,0.0,MURRAY,BUS,0.6678686746987952,83
64,37,37,74,0.0,LAWRENCEVILLE - WATERFRONT,BUS,0.680559756097561,82
65,8,8,16,0.0,SQUIRREL HILL,BUS,0.6150641975308642,81
69,25,25,50,0.0,TRAFFORD,BUS,0.6026573170731707,82
7,6,6,12,0.0,SPRING GARDEN,BUS,0.7074795180722891,83
71,6,6,12,0.0,EDGEWOOD TOWN CENTER,BUS,0.7087638554216867,83
71A,63,63,126,0.0,NEGLEY,BUS,0.6446518072289156,83
71B,63,63,126,0.0,HIGHLAND PARK,BUS,0.5879493975903615,83
71C,62,62,124,0.0,POINT BREEZE,BUS,0.6080518072289156,83
71D,59,59,118,0.0,HAMILTON,BUS,0.6559621951219512,82
74,25,25,50,0.0,HOMEWOOD-SQUIRREL HILL,BUS,0.6572341463414634,82
75,47,47,94,0.0,ELLSWORTH,BUS,0.6881614457831325,83
77,25,25,50,0.0,PENN HILLS,BUS,0.5577253012048192,83
79,25,25,50,0.0,EAST HILLS,BUS,0.709910975609756,82
8,53,53,106,0.0,PERRYSVILLE,BUS,0.7659469879518073,83
81,29,29,58,0.0,OAK HILL,BUS,0.6691469879518073,83
82,58,58,116,0.0,LINCOLN,BUS,0.6079463414634146,82
83,27,27,54,0.0,BEDFORD HILL,BUS,0.6541397590361445,83
86,36,36,72,0.0,LIBERTY,BUS,0.628733734939759,83
87,39,39,78,0.0,FRIENDSHIP,BUS,0.6755170731707317,82
88,35,35,70,0.0,PENN,BUS,0.6430156626506024,83
89,16,16,32,0.0,GARFIELD COMMONS,BUS,0.722351219512195,82
91,71,71,142,0.0,BUTLER STREET,BUS,0.6465373493975903,83
93,30,30,60,0.0,LAWRENCEVILLE - HAZELWOOD,BUS,0.6605530120481927,83
BLUE,44,44,88,0.0,SouthHills Village via Overbrook,RAIL,0.8507283950617285,81
G2,43,43,86,0.0,WEST BUSWAY,BUS,0.8168280487804878,82
G3,7,7,14,0.0,MOON FLYER,BUS,0.7420414634146342,82
G31,5,5,10,0.0,BRIDGEVILLE FLYER,BUS,0.7341548780487804,82
O1,10,10,20,0.0,ROSS FLYER,BUS,0.7058060240963855,83
O12,10,10,20,0.0,MCKNIGHT FLYER,BUS,0.6471686746987952,83
O5,3,3,6,0.0,THOMPSON RUN FLYER VIA 279,BUS,0.6921698795180723,83
P1,95,95,190,0.0,EAST BUSWAY-ALL STOPS,BUS,0.8454204819277108,83
P10,5,5,10,0.0,ALLEGHENY VALLEY FLYER,BUS,0.6431036144578314,83
P12,10,10,20,0.0,HOLIDAY PARK FLYER,BUS,0.6679280487804878,82
P13,3,3,6,0.0,MOUNT ROYAL FLYER,BUS,0.6792658536585365,82
P16,11,11,22,0.0,PENN HILLS FLYER,BUS,0.6379180722891566,83
P17,14,14,28,0.0,LINCOLN PARK FLYER,BUS,0.689380487804878,82
P3,47,47,94,0.0,EAST BUSWAY-OAKLAND,BUS,0.8470578313253012,83
P67,4,4,8,0.0,MONROEVILLE FLYER,BUS,0.6799807228915663,83
P68,23,23,46,0.0,BRADDOCK HILLS FLYER,BUS,0.6795807228915662,83
P69,4,4,8,0.0,TRAFFORD FLYER,BUS,0.6454650602409638,83
P7,12,12,24,0.0,MCKEESPORT FLYER,BUS,0.7169891566265061,83
P71,7,7,14,0.0,SWISSVALE FLYER,BUS,0.6818679012345679,81
P76,8,8,16,0.0,LINCOLN HIGHWAY FLYER,BUS,0.6996135802469136,81
P78,22,22,44,0.0,OAKMONT FLYER,BUS,0.5961602409638553,83
RED,62,62,124,0.0,Castle Shannon via Beechview,RAIL,0.827620987654321,81
SLVR,56,56,112,0.0,Libary via Overbrook,RAIL,0.84659375,80
