route_id,route_name,mode,avg_otp,months,stop_count,span_km,stop_density
1,FREEPORT ROAD,BUS,0.6164829268292683,82,221,27.362454504961793,8.076760802285657
11,FINEVIEW,BUS,0.7557734939759037,83,55,3.444644227353401,15.966815836379643
12,MCKNIGHT,BUS,0.654610843373494,83,108,16.35066654278593,6.605235310584364
13,BELLEVUE,BUS,0.712666265060241,83,133,9.35692555158862,14.214070558402513
14,OHIO VALLEY,BUS,0.7563674698795181,83,138,24.12865021014509,5.719341894308566
15,CHARLES,BUS,0.6856385542168675,83,95,5.509012670599699,17.24446932333131
16,BRIGHTON,BUS,0.7138240963855421,83,95,9.22508834471124,10.298004360517986
17,SHADELAND,BUS,0.6683573170731708,82,101,6.933390352884643,14.567187892136907
18,MANCHESTER,BUS,0.8840963855421686,83,43,2.140481159734372,20.088941126366276
19L,EMSWORTH LIMITED,BUS,0.6602963855421686,83,81,12.13634801782539,6.6741658924933915
2,MOUNT ROYAL,BUS,0.6322256097560975,82,187,13.848572886447071,13.503196432825787
20,KENNEDY,BUS,0.698530487804878,82,92,13.712067654834525,6.70941847107669
21,CORAOPOLIS,BUS,0.7360734939759036,83,133,20.236530514416152,6.572272846140948
22,MCCOY,BUS,0.7232444444444445,81,65,8.91323125286527,7.292529292236745
24,WEST PARK,BUS,0.6971098765432099,81,98,13.922258487647591,7.039087809420411
26,CHARTIERS,BUS,0.80436125,80,81,5.737168533918969,14.118462708758912
27,FAIRYWOOD,BUS,0.7843629629629629,81,105,6.682186660737685,15.713419174137295
28X,AIRPORT FLYER,BUS,0.6166469879518072,83,74,29.003116140598706,2.5514499766600744
29,ROBINSON,BUS,0.6510407407407407,81,131,17.067718520592095,7.675308204898583
31,BRIDGEVILLE,BUS,0.6748740740740741,81,128,14.177868183201774,9.028155597585327
36,BANKSVILLE,BUS,0.7328187500000001,80,78,12.14128048404031,6.424363567132054
38,GREEN TREE,BUS,0.713946913580247,81,131,12.261876259076415,10.683519979500034
39,BROOKLINE,BUS,0.789404938271605,81,69,6.419222994940436,10.748964485948699
4,TROY HILL,BUS,0.7532843373493976,83,96,6.669512989249653,14.393854567003457
40,MOUNT WASHINGTON,BUS,0.7615112500000001,80,77,3.5505152436795564,21.686993215159806
41,BOWER HILL,BUS,0.76378875,80,138,14.172647691300227,9.737065579123247
43,BAILEY,BUS,0.79543875,80,65,3.0808635703786256,21.097980652227246
44,VIA KNOXVILLE,BUS,0.72646625,80,133,8.098706096774043,16.422376415533574
48,ARLINGTON,BUS,0.7499313253012049,83,89,3.9666806534948136,22.43689567537715
51,CARRICK,BUS,0.7006710843373495,83,141,12.104660004294889,11.648406477337769
51L,CARRICK LIMITED,BUS,0.7352228915662651,83,50,8.460230278511208,5.910004616186259
52L,HOMEVILLE LIMITED,BUS,0.6749771084337349,83,136,15.523676314067313,8.76081137280342
53L,HOMESTEAD PARK LIMITED,BUS,0.6500780487804878,82,146,12.322998382877683,11.84776589785658
54,NORTH SIDE-OAKLAND-SOUTH SIDE,BUS,0.6672096385542169,83,211,7.796044980917041,27.065005463216334
55,GLASSPORT,BUS,0.7121536585365854,82,199,12.465259955456785,15.964368229070576
56,LINCOLN PLACE,BUS,0.6623096385542169,83,142,18.414636794317335,7.711257169287232
