route_id,cluster,route_name,mode,avg_otp,stop_count
16,1,BRIGHTON,BUS,0.7138240963855421,95
26,1,CHARTIERS,BUS,0.80436125,81
27,1,FAIRYWOOD,BUS,0.7843629629629629,105
53L,1,HOMESTEAD PARK LIMITED,BUS,0.6500780487804878,146
58,1,GREENFIELD,BUS,0.6076132530120482,102
6,1,SPRING HILL,BUS,0.7247855421686747,80
61A,1,NORTH BRADDOCK,BUS,0.5899975903614457,187
61B,1,BRADDOCK-SWISSVALE,BUS,0.5842313253012048,137
61C,1,MCKEESPORT-HOMESTEAD,BUS,0.5677506024096386,158
64,1,LAWRENCEVILLE - WATERFRONT,BUS,0.680559756097561,110
65,1,SQUIRREL HILL,BUS,0.6150641975308642,70
71B,1,HIGHLAND PARK,BUS,0.5879493975903615,107
74,1,HOMEWOOD-SQUIRREL HILL,BUS,0.6572341463414634,171
81,1,OAK HILL,BUS,0.6691469879518073,93
82,1,LINCOLN,BUS,0.6079463414634146,136
83,1,BEDFORD HILL,BUS,0.6541397590361445,106
93,1,LAWRENCEVILLE - HAZELWOOD,BUS,0.6605530120481927,173
P12,1,HOLIDAY PARK FLYER,BUS,0.6679280487804878,62
P16,1,PENN HILLS FLYER,BUS,0.6379180722891566,199
P17,1,LINCOLN PARK FLYER,BUS,0.689380487804878,177
P3,1,EAST BUSWAY-OAKLAND,BUS,0.8470578313253012,40
P67,1,MONROEVILLE FLYER,BUS,0.6799807228915663,69
P71,1,SWISSVALE FLYER,BUS,0.6818679012345679,111
40,2,MOUNT WASHINGTON,BUS,0.7615112500000001,77
55,2,GLASSPORT,BUS,0.7121536585365854,199
56,2,LINCOLN PLACE,BUS,0.6623096385542169,142
71,2,EDGEWOOD TOWN CENTER,BUS,0.7087638554216867,95
91,2,BUTLER STREET,BUS,0.6465373493975903,158
BLUE,2,SouthHills Village via Overbrook,RAIL,0.8507283950617285,45
P10,2,ALLEGHENY VALLEY FLYER,BUS,0.6431036144578314,189
RED,2,Castle Shannon via Beechview,RAIL,0.827620987654321,59
SLVR,2,Libary via Overbrook,RAIL,0.84659375,58
12,3,MCKNIGHT,BUS,0.654610843373494,108
17,3,SHADELAND,BUS,0.6683573170731708,101
19L,3,EMSWORTH LIMITED,BUS,0.6602963855421686,81
2,3,MOUNT ROYAL,BUS,0.6322256097560975,187
21,3,CORAOPOLIS,BUS,0.7360734939759036,133
29,3,ROBINSON,BUS,0.6510407407407407,131
31,3,BRIDGEVILLE,BUS,0.6748740740740741,128
36,3,BANKSVILLE,BUS,0.7328187500000001,78
38,3,GREEN TREE,BUS,0.713946913580247,131
39,3,BROOKLINE,BUS,0.789404938271605,69
4,3,TROY HILL,BUS,0.7532843373493976,96
41,3,BOWER HILL,BUS,0.76378875,138
43,3,BAILEY,BUS,0.79543875,65
48,3,ARLINGTON,BUS,0.7499313253012049,89
52L,3,HOMEVILLE LIMITED,BUS,0.6749771084337349,136
54,3,NORTH SIDE-OAKLAND-SOUTH SIDE,BUS,0.6672096385542169,211
8,3,PERRYSVILLE,BUS,0.7659469879518073,119
G2,3,WEST BUSWAY,BUS,0.8168280487804878,24
G31,3,BRIDGEVILLE FLYER,BUS,0.7341548780487804,78
O1,3,ROSS FLYER,BUS,0.7058060240963855,7
O12,3,MCKNIGHT FLYER,BUS,0.6471686746987952,64
P1,3,EAST BUSWAY-ALL STOPS,BUS,0.8454204819277108,24
P13,3,MOUNT ROYAL FLYER,BUS,0.6792658536585365,123
P2,3,EAST BUSWAY SHORT,UNKNOWN,0.8377,
P68,3,BRADDOCK HILLS FLYER,BUS,0.6795807228915662,175
P69,3,TRAFFORD FLYER,BUS,0.6454650602409638,128
P7,3,MCKEESPORT FLYER,BUS,0.7169891566265061,101
15,4,CHARLES,BUS,0.6856385542168675,95
18,4,MANCHESTER,BUS,0.8840963855421686,43
51,4,CARRICK,BUS,0.7006710843373495,141
51L,4,CARRICK LIMITED,BUS,0.7352228915662651,50
57,4,HAZELWOOD,BUS,0.661587951807229,79
67,4,MONROEVILLE,BUS,0.6035817073170732,191
69,4,TRAFFORD,BUS,0.6026573170731707,209
71A,4,NEGLEY,BUS,0.6446518072289156,72
89,4,GARFIELD COMMONS,BUS,0.722351219512195,54
O5,4,THOMPSON RUN FLYER VIA 279,BUS,0.6921698795180723,127
P76,4,LINCOLN HIGHWAY FLYER,BUS,0.6996135802469136,100
14,5,OHIO VALLEY,BUS,0.7563674698795181,138
28X,5,AIRPORT FLYER,BUS,0.6166469879518072,74
60,5,MCKEESPORT - WALNUT,BUS,0.7833819277108435,88
61D,5,MURRAY,BUS,0.6678686746987952,75
71C,5,POINT BREEZE,BUS,0.6080518072289156,100
71D,5,HAMILTON,BUS,0.6559621951219512,93
75,5,ELLSWORTH,BUS,0.6881614457831325,150
79,5,EAST HILLS,BUS,0.709910975609756,114
86,5,LIBERTY,BUS,0.628733734939759,142
87,5,FRIENDSHIP,BUS,0.6755170731707317,175
88,5,PENN,BUS,0.6430156626506024,70
G3,5,MOON FLYER,BUS,0.7420414634146342,34
P78,5,OAKMONT FLYER,BUS,0.5961602409638553,149
1,6,FREEPORT ROAD,BUS,0.6164829268292683,221
11,6,FINEVIEW,BUS,0.7557734939759037,55
13,6,BELLEVUE,BUS,0.712666265060241,133
20,6,KENNEDY,BUS,0.698530487804878,92
22,6,MCCOY,BUS,0.7232444444444445,65
24,6,WEST PARK,BUS,0.6971098765432099,98
44,6,VIA KNOXVILLE,BUS,0.72646625,133
59,6,MON VALLEY,BUS,0.689755421686747,334
7,6,SPRING GARDEN,BUS,0.7074795180722891,67
77,6,PENN HILLS,BUS,0.5577253012048192,258
