route_id,route_name,mode,baseline_otp,baseline_months,current_otp,current_months,stop_count,recovery_delta,recovery_ratio,subtype
71B,HIGHLAND PARK,BUS,0.6295285714285714,14,0.41874166666666673,12,107,-0.2107869047619047,0.6651670562249908,local
58,GREENFIELD,BUS,0.7040785714285713,14,0.49819166666666664,12,102,-0.2058869047619047,0.7075796464815548,local
65,SQUIRREL HILL,BUS,0.65545,14,0.46549999999999997,11,70,-0.18995,0.7101990998550614,local
6,SPRING HILL,BUS,0.8049714285714286,14,0.6268083333333333,12,80,-0.17816309523809526,0.7786715293059795,local
64,LAWRENCEVILLE - WATERFRONT,BUS,0.7474857142857143,14,0.5716499999999999,12,110,-0.17583571428571443,0.7647637795275589,local
P16,PENN HILLS FLYER,BUS,0.6973928571428571,14,0.5307,12,199,-0.1666928571428572,0.7609771086188354,flyer
61C,MCKEESPORT-HOMESTEAD,BUS,0.5947857142857143,14,0.447525,12,158,-0.14726071428571424,0.7524138345142308,local
RED,Castle Shannon via Beechview,RAIL,0.8656785714285714,14,0.7275,10,59,-0.13817857142857137,0.8403812038450432,rail
15,CHARLES,BUS,0.76115,14,0.6290750000000002,12,95,-0.13207499999999983,0.8264796689220261,local
P12,HOLIDAY PARK FLYER,BUS,0.6624285714285715,14,0.531275,12,62,-0.13115357142857142,0.8020109984904032,flyer
P71,SWISSVALE FLYER,BUS,0.7174785714285715,14,0.5905454545454546,11,111,-0.12693311688311693,0.8230844488771555,flyer
53L,HOMESTEAD PARK LIMITED,BUS,0.6857714285714286,14,0.5694916666666666,12,146,-0.11627976190476197,0.8304394772657833,limited
83,BEDFORD HILL,BUS,0.6686428571428572,14,0.5560333333333334,12,106,-0.11260952380952383,0.8315849446284229,local
61A,NORTH BRADDOCK,BUS,0.6147214285714285,14,0.5030916666666667,12,187,-0.11162976190476182,0.8184059368742328,local
P67,MONROEVILLE FLYER,BUS,0.7179857142857143,14,0.6083416666666667,12,69,-0.10964404761904767,0.8472893743740756,flyer
61B,BRADDOCK-SWISSVALE,BUS,0.6094285714285714,14,0.5006166666666666,12,137,-0.10881190476190483,0.821452570714174,local
74,HOMEWOOD-SQUIRREL HILL,BUS,0.6800571428571428,14,0.5732916666666666,12,171,-0.10676547619047616,0.8430051396241213,local
91,BUTLER STREET,BUS,0.6837857142857143,14,0.5833666666666667,12,158,-0.10041904761904763,0.8531425188899335,local
O12,MCKNIGHT FLYER,BUS,0.6783071428571429,14,0.5823333333333335,12,64,-0.0959738095238094,0.858509805573399,flyer
93,LAWRENCEVILLE - HAZELWOOD,BUS,0.7298428571428571,14,0.6402999999999999,12,173,-0.08954285714285726,0.8773121415568907,local
BLUE,SouthHills Village via Overbrook,RAIL,0.8617928571428571,14,0.774309090909091,11,45,-0.08748376623376619,0.8984863177866137,rail
P17,LINCOLN PARK FLYER,BUS,0.6989142857142857,14,0.6138416666666666,12,177,-0.08507261904761909,0.8782788951571143,flyer
55,GLASSPORT,BUS,0.7470285714285714,14,0.66255,12,199,-0.0844785714285714,0.8869138682781306,local
81,OAK HILL,BUS,0.6445285714285715,14,0.5616916666666668,12,93,-0.08283690476190464,0.8714767530347025,local
P3,EAST BUSWAY-OAKLAND,BUS,0.8768285714285715,14,0.7973583333333333,12,40,-0.07947023809523823,0.9093662767332484,busway
16,BRIGHTON,BUS,0.7197142857142858,14,0.6473166666666667,12,95,-0.0723976190476191,0.89940783379648,local
40,MOUNT WASHINGTON,BUS,0.7826000000000001,14,0.7132888888888889,9,77,-0.06931111111111121,0.9114348184115625,local
27,FAIRYWOOD,BUS,0.7853928571428571,14,0.72688,10,105,-0.058512857142857144,0.9254986130689827,local
52L,HOMEVILLE LIMITED,BUS,0.6968357142857143,14,0.6386416666666667,12,136,-0.05819404761904767,0.9164881385583128,limited
26,CHARTIERS,BUS,0.8059357142857142,14,0.7492599999999999,10,81,-0.056675714285714274,0.9296771277397169,local
17,SHADELAND,BUS,0.7148142857142857,14,0.6594666666666666,12,101,-0.05534761904761909,0.9225706310663442,local
SLVR,Libary via Overbrook,RAIL,0.8431785714285714,14,0.78835,10,58,-0.05482857142857145,0.9349739506120547,rail
87,FRIENDSHIP,BUS,0.6857714285714286,14,0.6314833333333334,12,175,-0.05428809523809519,0.9208364580729385,local
7,SPRING GARDEN,BUS,0.7324642857142857,14,0.6796666666666668,12,67,-0.05279761904761893,0.9279178246948496,local
19L,EMSWORTH LIMITED,BUS,0.6753357142857144,14,0.6231666666666666,12,81,-0.052169047619047726,0.9227509422121624,limited
82,LINCOLN,BUS,0.5926,13,0.5428666666666667,12,136,-0.049733333333333296,0.916076049049387,local
54,NORTH SIDE-OAKLAND-SOUTH SIDE,BUS,0.7039785714285715,14,0.6595583333333334,12,211,-0.044420238095238096,0.9369011502649904,local
75,ELLSWORTH,BUS,0.6915571428571429,14,0.6537833333333333,12,150,-0.0377738095238096,0.9453786141695414,local
11,FINEVIEW,BUS,0.7730142857142858,14,0.7353916666666667,12,55,-0.0376226190476191,0.9513299821970886,local
60,MCKEESPORT - WALNUT,BUS,0.8123285714285714,14,0.7760666666666666,12,88,-0.03626190476190483,0.9553605449354882,local
67,MONROEVILLE,BUS,0.6314142857142857,14,0.6014166666666666,12,191,-0.029997619047619106,0.952491383666297,local
56,LINCOLN PLACE,BUS,0.6598642857142857,14,0.6338,12,142,-0.02606428571428565,0.9605005358244662,local
P10,ALLEGHENY VALLEY FLYER,BUS,0.6615214285714286,14,0.6358166666666667,12,189,-0.025704761904761897,0.9611429640907144,flyer
28X,AIRPORT FLYER,BUS,0.6101642857142858,14,0.5876,12,74,-0.022564285714285814,0.9630193273474356,express
44,VIA KNOXVILLE,BUS,0.7550428571428572,14,0.7418777777777777,9,133,-0.01316507936507949,0.9825637985439698,local
18,MANCHESTER,BUS,0.8848285714285715,14,0.87485,12,43,-0.009978571428571503,0.9887225935613032,local
71A,NEGLEY,BUS,0.6337071428571429,14,0.6256166666666667,12,72,-0.008090476190476203,0.9872330992609625,local
1,FREEPORT ROAD,BUS,0.6314428571428571,14,0.6289666666666666,12,221,-0.0024761904761905207,0.9960785200938138,local
57,HAZELWOOD,BUS,0.6468999999999999,14,0.6449666666666667,12,79,-0.0019333333333332314,0.997011387643634,local
14,OHIO VALLEY,BUS,0.759942857142857,14,0.7612333333333333,12,138,0.0012904761904762863,1.0016981226658648,local
20,KENNEDY,BUS,0.7555714285714286,14,0.7594583333333333,12,92,0.003886904761904786,1.005144324699061,local
69,TRAFFORD,BUS,0.6028071428571428,14,0.6072333333333333,12,209,0.004426190476190528,1.0073426311028957,local
59,MON VALLEY,BUS,0.7007357142857142,14,0.7062499999999999,12,334,0.005514285714285694,1.0078692802462716,local
P13,MOUNT ROYAL FLYER,BUS,0.6980000000000001,14,0.706575,12,123,0.008574999999999888,1.0122851002865327,flyer
79,EAST HILLS,BUS,0.6783,14,0.6912416666666665,12,114,0.012941666666666518,1.019079561649221,local
61D,MURRAY,BUS,0.6473928571428571,14,0.6616083333333334,12,75,0.01421547619047625,1.0219580368143286,local
71C,POINT BREEZE,BUS,0.5861285714285714,14,0.604575,12,100,0.01844642857142853,1.0314716420093104,local
48,ARLINGTON,BUS,0.7430428571428571,14,0.7621666666666665,12,89,0.019123809523809432,1.0257371554547259,local
13,BELLEVUE,BUS,0.7017642857142857,14,0.7242000000000001,12,133,0.022435714285714337,1.0319704418455526,local
51,CARRICK,BUS,0.6636571428571428,14,0.688125,12,141,0.024467857142857152,1.0368682193903909,local
4,TROY HILL,BUS,0.7454571428571429,14,0.7707499999999999,12,96,0.025292857142857006,1.0339293242880685,local
