stop_id,stop_name,lat,lon,muni,avg_otp,n_routes,total_trips,tier
E70026,ALLEGHENY AVE AT ANN ST NS,40.520304,-79.842877,"Oakmont borough (Allegheny, PA)",0.5961602409638553,1,22,simple (1)
S70312,BELTZHOOVER AVE AT RENTZ WAY,40.4167369999999,-79.997185,"Pittsburgh city (Allegheny, PA)",0.667209638554217,1,26,simple (1)
E11670,BUTLER ST AT 43RD ST,40.470806,-79.960251,"Pittsburgh city (Allegheny, PA)",0.650742048192771,2,100,medium (2-4)
E32500,JANCEY ST AT WELLESLEY AVE,40.4761749999999,-79.9308269999999,"Pittsburgh city (Allegheny, PA)",0.6836285574881209,2,53,medium (2-4)
E45610,PENN AVE AT 40TH ST,40.465262,-79.957734,"Pittsburgh city (Allegheny, PA)",0.6629264323317091,4,129,medium (2-4)
W70127,GREENTREE RD AT #2080,40.391972,-80.0690989999999,"Scott township (Allegheny, PA)",0.7139469135802469,1,15,simple (1)
S70164,MCKEESPORT TRANSPORTATION CENTER AT BAY #4,40.3521649999999,-79.862171,"McKeesport city (Allegheny, PA)",0.5677506024096386,1,61,simple (1)
W25710,WINDGAP AVE AT CHARTIERS AVE,40.459235,-80.0777769999999,"Pittsburgh city (Allegheny, PA)",0.7843629629629629,1,30,simple (1)
E35880,LINCOLN AVE AT MANNING ST FS,40.46788,-79.8970099999999,"Pittsburgh city (Allegheny, PA)",0.6237807588075881,2,72,medium (2-4)
N43940,PERRYSVILLE AVE OPP DELAWARE ST,40.479917,-80.012065,"Pittsburgh city (Allegheny, PA)",0.7340061336254109,2,88,medium (2-4)
E55040,UNIVERSAL RD AT FREY RD,40.4605359999999,-79.811485,"Penn Hills township (Allegheny, PA)",0.6379180722891566,1,4,simple (1)
N35640,MT PLEASANT RD AT #415,40.4798699999999,-80.0016499999999,"Pittsburgh city (Allegheny, PA)",0.7247855421686747,1,34,simple (1)
S70040,WATERFRONT DR AT 5TH AVE FS,40.40411,-79.9200969999999,"West Homestead borough (Allegheny, PA)",0.6763127839137634,3,123,medium (2-4)
S70406,5TH AVE OPP #1681,40.3531339999999,-79.8462779999999,"McKeesport city (Allegheny, PA)",0.6499026531211956,6,154,hub (5+)
E70323,COAL HOLLOW RD AT OLD COAL HOLLOW RD #2,40.4620749999999,-79.8425419999999,"Penn Hills township (Allegheny, PA)",0.5961602409638553,1,22,simple (1)
