route_id,route_name,mode,avg_otp,months,max_wd,max_sa,max_su,weekend_ratio,service_tier
1,FREEPORT ROAD,BUS,0.6164829268292683,82,33,19,19,0.5757575757575758,balanced (0.3-0.7)
11,FINEVIEW,BUS,0.7557734939759037,83,25,16,9,0.5,balanced (0.3-0.7)
12,MCKNIGHT,BUS,0.654610843373494,83,25,27,17,0.88,weekend-heavy (>0.7)
13,BELLEVUE,BUS,0.712666265060241,83,39,37,21,0.7435897435897436,weekend-heavy (>0.7)
14,OHIO VALLEY,BUS,0.7563674698795181,83,24,17,15,0.6666666666666666,balanced (0.3-0.7)
15,CHARLES,BUS,0.6856385542168675,83,35,29,20,0.7,balanced (0.3-0.7)
16,BRIGHTON,BUS,0.7138240963855421,83,55,46,36,0.7454545454545455,weekend-heavy (>0.7)
17,SHADELAND,BUS,0.6683573170731708,82,33,18,22,0.6060606060606061,balanced (0.3-0.7)
18,MANCHESTER,BUS,0.8840963855421686,83,12,0,0,0.0,weekday-heavy (<0.3)
19L,EMSWORTH LIMITED,BUS,0.6602963855421686,83,7,0,0,0.0,weekday-heavy (<0.3)
2,MOUNT ROYAL,BUS,0.6322256097560975,82,18,8,7,0.4166666666666667,balanced (0.3-0.7)
20,KENNEDY,BUS,0.698530487804878,82,18,13,9,0.6111111111111112,balanced (0.3-0.7)
21,CORAOPOLIS,BUS,0.7360734939759036,83,30,19,19,0.6333333333333333,balanced (0.3-0.7)
22,MCCOY,BUS,0.7232444444444445,81,26,19,8,0.5192307692307693,balanced (0.3-0.7)
24,WEST PARK,BUS,0.6971098765432099,81,31,17,16,0.532258064516129,balanced (0.3-0.7)
26,CHARTIERS,BUS,0.80436125,80,31,18,14,0.5161290322580645,balanced (0.3-0.7)
27,FAIRYWOOD,BUS,0.7843629629629629,81,30,17,16,0.55,balanced (0.3-0.7)
28X,AIRPORT FLYER,BUS,0.6166469879518072,83,34,37,36,1.0735294117647058,weekend-heavy (>0.7)
