burden_rank,route_id,route_name,total_late,avg_monthly_late,total_trips,avg_otp,avg_riders,n_months,effective_otp,otp_rank
18,77,PENN HILLS,924315.6560000002,13204.509371428574,2063304.0000000002,0.5491942857142856,1381.6802438762068,70,0.5520215847979745,1
40,P78,OAKMONT FLYER,506625.0373999999,7237.500534285713,1188007.9999999998,0.5763014285714285,795.6861721921969,70,0.573550820028148,2
1,61C,MCKEESPORT-HOMESTEAD,2765662.0711999997,39509.458159999995,6436463.999999999,0.5898942857142857,4313.731928289102,70,0.5703134405474808,3
7,61B,BRADDOCK-SWISSVALE,1841644.4900000002,26309.207000000002,4404091.000000001,0.6003714285714287,2952.88804925923,70,0.5818332341452528,4
34,69,TRAFFORD,595350.1351,8628.262827536231,1428396.0,0.6015666666666667,970.2286277574557,69,0.5832037228471656,5
23,67,MONROEVILLE,813248.4476000001,11786.209385507247,2049647.0000000002,0.6039014492753624,1392.9532515268813,69,0.603225117495842,6
4,61A,NORTH BRADDOCK,2135033.7899999996,30500.482714285707,5151049.999999999,0.6062514285714287,3452.684198461993,70,0.5855148387222022,7
3,71C,POINT BREEZE,2241803.0546,32025.75792285714,5514290.0,0.6093014285714285,3697.4300006722056,70,0.5934557205732742,8
21,1,FREEPORT ROAD,836401.7103999997,12121.763918840576,2149038.9999999995,0.6140057971014492,1458.1133544464353,69,0.6108019861901064,9
5,71B,HIGHLAND PARK,2086370.8918,29805.298454285716,5104027.0,0.6190542857142857,3422.798548439139,70,0.5912304359283366,10
9,82,LINCOLN,1705591.8053999997,24718.7218173913,4361979.999999999,0.6212913043478261,2958.9821363786386,69,0.6089867891645537,11
25,28X,AIRPORT FLYER,743825.4063999999,10626.077234285713,1933663.9999999998,0.6216471428571428,1293.5422094055011,70,0.6153285129164116,12
15,86,LIBERTY,1063748.4708,15196.406725714285,2775272.0,0.62332,1858.4294809228038,70,0.6167047875667682,13
57,58,GREENFIELD,277242.42889999994,3960.606127142856,774503.9999999998,0.6279985714285714,519.6192319378343,70,0.6420387384700401,14
50,2,MOUNT ROYAL,327126.11630000005,4740.958207246377,873868.0000000001,0.6295173913043478,593.3842032258857,69,0.6256572888582714,15
22,88,PENN,825067.0265,11786.671807142857,2238011.0,0.6420528571428571,1499.5040808260062,70,0.6313391549460659,16
87,65,SQUIRREL HILL,88746.3543,1286.179047826087,246080.0,0.6428449275362318,167.51439359842007,69,0.6393597435793238,17
10,71D,HAMILTON,1481305.2373,21468.191844927536,3973117.9999999995,0.6452246376811595,2703.488903073402,69,0.6271680737143976,18
70,P10,ALLEGHENY VALLEY FLYER,157271.00880000004,2246.7286971428575,446791.00000000006,0.6452271428571429,299.501209835713,70,0.6479987090160724,19
46,29,ROBINSON,388056.0126,5543.657322857143,1093434.0,0.64818,731.9387343712189,70,0.6451033966384803,20
6,71A,NEGLEY,1928846.9006999996,27554.955724285708,5229888.999999999,0.6492614285714287,3507.2898006238065,70,0.6311877937179928,21
88,P69,TRAFFORD FLYER,87858.40239999998,1255.120034285714,238827.99999999994,0.6509071428571428,159.8454420424296,70,0.6321268762456663,22
41,12,MCKNIGHT,488887.67150000005,6984.109592857144,1401298.0000000002,0.6551242857142857,938.2838037428411,70,0.6511179838264238,23
13,91,BUTLER STREET,1268682.1283,18124.030404285713,3739988.0,0.6571557142857143,2505.541078755613,70,0.6607790911895974,24
65,P16,PENN HILLS FLYER,190234.742,2717.6391714285714,570832.0,0.65717,382.67816743298107,70,0.6667412793956891,25
58,O12,MCKNIGHT FLYER,260769.7670000001,3725.282385714287,787159.0000000003,0.6587985714285715,527.991127826625,70,0.6687203385847078,26
24,93,LAWRENCEVILLE - HAZELWOOD,758412.0791,10834.458272857142,2230079.0,0.6632642857142858,1495.098135839316,70,0.6599169450499287,27
37,31,BRIDGEVILLE,522658.53890000016,7466.550555714288,1563926.0000000005,0.6637414285714286,1047.274612809551,70,0.6658035361647545,28
47,57,HAZELWOOD,387924.1280999999,5541.7732585714275,1132449.9999999998,0.6643042857142857,758.5650360302222,70,0.6574470147909399,29
44,53L,HOMESTEAD PARK LIMITED,421878.42010000005,6114.1800014492765,1264016.0000000002,0.6649666666666667,858.5369070123324,69,0.6662396519506082,30
39,56,LINCOLN PLACE,520563.3660000001,7436.619514285716,1550107.0000000002,0.6677885714285714,1038.4270102981907,70,0.6641758497961754,31
11,54,NORTH SIDE-OAKLAND-SOUTH SIDE,1389468.7065000003,19849.552950000005,4260322.000000001,0.6682628571428572,2855.5015088327827,70,0.6738582889978739,32
8,61D,MURRAY,1763862.018,25198.028828571427,5053603.0,0.6683314285714286,3390.00304455379,70,0.6509694137034507,33
73,19L,EMSWORTH LIMITED,146349.6499,2090.709284285714,453598.99999999994,0.6687971428571429,303.98790352504636,70,0.6773589670612148,34
43,17,SHADELAND,451414.45639999997,6542.238498550724,1384228.9999999998,0.6698000000000001,939.8363229922775,69,0.6738874446352445,35
20,83,BEDFORD HILL,851507.8864,12164.398377142856,2535979.0,0.6708271428571428,1698.5920863918689,70,0.664229125556639,36
54,74,HOMEWOOD-SQUIRREL HILL,305976.5562,4434.44284347826,936046.0,0.6735217391304348,635.7348062040878,69,0.6731180345837704,37
89,P13,MOUNT ROYAL FLYER,54233.094799999984,785.98688115942,173293.99999999994,0.6735231884057972,117.8908916330466,69,0.6870457442265745,38
38,P68,BRADDOCK HILLS FLYER,521688.29730000003,7452.689961428572,1633523.0000000002,0.68025,1093.7446577128878,70,0.6806360869727577,39
80,52L,HOMEVILLE LIMITED,122105.23600000002,1744.3605142857145,389651.00000000006,0.68088,261.134212578312,70,0.686629224613821,40
28,87,FRIENDSHIP,692006.7331000001,10029.083088405798,2163619.0,0.6829521739130435,1472.2307640269833,69,0.6801623885258911,41
91,O5,THOMPSON RUN FLYER VIA 279,24355.267299999996,347.93238999999994,75572.0,0.6863357142857143,50.61251203248097,70,0.6777210170433494,42
68,20,KENNEDY,172135.0411,2494.71074057971,573376.0,0.6870014492753623,389.3682914753803,69,0.6997868046447706,43
19,59,MON VALLEY,867556.5051000002,12393.664358571432,2742643.0000000005,0.6871857142857143,1835.586025248044,70,0.6836786613861154,44
33,81,OAK HILL,595822.2272000001,8511.746102857143,1830922.0000000005,0.6882128571428572,1226.4397510150309,70,0.6745780392610936,45
36,24,WEST PARK,524462.4460000001,7492.320657142859,1670808.0000000002,0.6925514285714286,1118.483367346939,70,0.6861025048958348,46
64,P12,HOLIDAY PARK FLYER,200778.21519999998,2909.829205797101,623933.0,0.693708695652174,424.48351923229046,69,0.6782054880892661,47
63,O1,ROSS FLYER,204963.12230000005,2928.0446042857147,635831.0000000001,0.6941671428571429,426.336604017101,70,0.6776452826301329,48
14,75,ELLSWORTH,1128760.9868,16125.156954285716,3608993.0,0.6942371428571429,2418.2314986152564,70,0.6872365818387567,49
86,P67,MONROEVILLE FLYER,93341.2355,1333.4462214285713,314635.0,0.6949157142857143,211.02291212927855,70,0.7033348626185898,50
52,15,CHARLES,318060.5581,4543.722258571429,1072727.0000000002,0.6959942857142857,718.2964961953162,70,0.7035027941871511,51
84,P71,SWISSVALE FLYER,97193.75020000001,1408.605075362319,330319.0,0.6982608695652174,224.75696486877962,69,0.705757918254778,52
30,64,LAWRENCEVILLE - WATERFRONT,652555.7029,9457.329027536232,2137368.0000000005,0.7010913043478262,1450.5012914726526,69,0.694691928156499,53
79,P17,LINCOLN PARK FLYER,122142.09969999998,1770.1753579710141,386090.99999999994,0.7030159420289855,262.182754632471,69,0.6836442711692321,54
2,51,CARRICK,2459159.5963,35130.85137571429,8040347.0,0.7032728571428571,5383.786682665161,70,0.6941475789166811,55
66,P76,LINCOLN HIGHWAY FLYER,188405.56179999997,2770.670026470588,588449.0,0.7036808823529411,405.8651992615228,68,0.6798268638403668,56
42,38,GREEN TREE,485366.7582,6933.810831428571,1560443.0,0.7075457142857142,1046.5976152832675,70,0.6889557912720938,57
71,P7,MCKEESPORT FLYER,155841.296,2226.3042285714287,480654.00000000006,0.7096314285714286,322.1778497485951,70,0.6757723934472615,58
90,7,SPRING GARDEN,36840.4349,526.2919271428572,128822.00000000001,0.7103057142857143,86.29301282568365,70,0.7140206261352875,59
32,13,BELLEVUE,628804.0777999999,8982.915397142855,2148546.9999999995,0.7106328571428572,1438.984026377349,70,0.7073352001143098,60
92,71,EDGEWOOD TOWN CENTER,24186.7895,345.52556428571427,81400.0,0.7117157142857142,54.482962006937164,70,0.7028649938574938,61
56,79,EAST HILLS,278845.9561,4041.2457405797104,948449.0,0.7128260869565217,644.015672523234,69,0.7059979439063144,62
82,G31,BRIDGEVILLE FLYER,109658.6437,1589.2557057971014,398978.0,0.7196202898550724,271.2750244819243,69,0.7251511519432149,63
61,22,MCCOY,237176.9969,3388.242812857143,833018.0,0.7196514285714285,557.9156178914254,70,0.715279865621151,64
51,55,GLASSPORT,326128.10120000003,4658.972874285715,1167719.0000000002,0.7206571428571428,781.9381620553361,70,0.7207135439262358,65
45,21,CORAOPOLIS,388791.9016,5554.170022857143,1379653.0,0.7243442857142857,923.9086260116694,70,0.7181958785288765,66
60,44,VIA KNOXVILLE,252559.0744,3607.986777142857,930278.0,0.7255757142857143,623.0294681508967,70,0.7285122571962359,67
17,16,BRIGHTON,991467.5501999999,14163.822145714284,3578522.0,0.7262914285714286,2396.6957313597372,70,0.7229393726795588,68
85,89,GARFIELD COMMONS,95257.68449999999,1380.5461521739128,328603.99999999994,0.7264898550724638,223.30634443271492,69,0.710114044564278,69
74,36,BANKSVILLE,142293.1797,2062.219995652174,505185.0,0.7275811594202899,343.2359016849565,69,0.7183345117135307,70
69,51L,CARRICK LIMITED,158395.3478,2262.7906828571427,566008.9999999999,0.7333328571428571,379.4138986582775,70,0.7201540120386778,71
76,G3,MOON FLYER,128431.5601,1861.3269579710145,476395.0,0.7373434782608695,324.0087600280417,69,0.7304095129042076,72
49,6,SPRING HILL,333944.7433,4770.63919,1287891.0000000002,0.7427257142857143,862.2846171116669,70,0.7407041874661754,73
31,48,ARLINGTON,643046.1224999998,9186.373178571426,2528454.9999999995,0.7477785714285715,1693.2885692775128,70,0.7456762637658174,74
75,4,TROY HILL,136567.5982,1950.9656885714287,545966.0,0.7501614285714285,365.85717055201525,70,0.749860617327819,75
55,14,OHIO VALLEY,294641.7858,4209.168368571429,1195417.0,0.7549028571428572,800.6480313785594,70,0.7535238449846371,76
72,11,FINEVIEW,147072.6204,2101.0374342857144,608371.0000000001,0.7596914285714286,407.33400863112047,70,0.758251756904915,77
53,41,BOWER HILL,310497.8191999999,4499.968394202897,1213620.9999999998,0.761827536231884,824.250252593447,69,0.7441558615086588,78
29,8,PERRYSVILLE,687544.5940000002,9822.06562857143,2889955.0000000005,0.7676214285714286,1935.9427322470492,70,0.7620915917375876,79
78,40,MOUNT WASHINGTON,122153.9091,1745.0558442857143,530985.0,0.7685571428571428,355.68042362399507,70,0.7699484748156727,80
59,39,BROOKLINE,256018.4419,3657.406312857143,1211166.0,0.7827942857142857,811.7860068296094,70,0.788618206009746,81
77,60,MCKEESPORT - WALNUT,126118.0016,1801.685737142857,572090.0,0.7831828571428572,382.58970127181306,70,0.7795486696149208,82
83,43,BAILEY,103794.46799999998,1504.2676521739127,498595.9999999999,0.7916855072463769,338.69665450071875,69,0.7918265128480774,83
62,27,FAIRYWOOD,235556.27929999994,3365.089704285713,1113458.9999999998,0.7935442857142857,745.5392836976686,70,0.7884463825789724,84
35,G2,WEST BUSWAY,555808.0068999999,8055.1885057971,2633967.0,0.8049449275362318,1790.0915398925792,69,0.7889844455530385,85
67,26,CHARTIERS,180279.0219,2612.7394478260867,950971.9999999999,0.8129652173913043,645.6048056858075,69,0.8104265720757289,86
81,P2,EAST BUSWAY SHORT,118463.80619999988,2078.312389473682,644211.9999999998,0.8377,532.0908025993836,57,0.8161105254170988,87
16,RED,Castle Shannon via Beechview,1044235.3348999998,14917.647641428568,7162217.999999999,0.84285,4802.508199967733,70,0.8542022408561147,88
12,P1,EAST BUSWAY-ALL STOPS,1319888.6064000002,18855.55152,7928879.000000001,0.84644,5312.535580382351,70,0.8335340208369935,89
26,SLVR,Libary via Overbrook,738784.3782,10707.019973913044,4808793.0,0.8553927536231885,3270.057271608878,69,0.8463680224538673,90
48,P3,EAST BUSWAY-OAKLAND,379255.1022000001,5417.930031428573,2593626.0000000005,0.8561228571428572,1738.9812364550567,70,0.8537741747653671,91
27,BLUE,SouthHills Village via Overbrook,710438.4916,10296.210023188405,5167306.0,0.8639202898550725,3515.0975962705643,69,0.8625127887529789,92
93,18,MANCHESTER,9362.9419,133.75631285714286,82071.0,0.8854285714285713,55.06208087978275,70,0.8859165612701198,93
