current_garage,month,weighted_otp,unweighted_otp,total_riders,n_routes
Collier,2019-01,0.7187947977853698,0.7271111111111112,25598.363636363632,18
Collier,2019-02,0.7122286914608439,0.7234555555555555,27064.15,18
Collier,2019-03,0.7245443202953202,0.7308388888888889,26960.23809523809,18
Collier,2019-04,0.6744978526057577,0.6993555555555555,27350.272727272735,18
Collier,2019-05,0.6582497085979961,0.6840055555555555,27765.454545454544,18
Collier,2019-06,0.6671837333396793,0.6743166666666667,27314.15,18
Collier,2019-07,0.735411386364697,0.7303999999999999,27271.454545454544,18
Collier,2019-08,0.7241326248523072,0.7175277777777778,27314.090909090897,18
Collier,2019-09,0.716669837870747,0.7127611111111112,28415.600000000002,18
Collier,2019-10,0.711850357706959,0.70855,27609.4347826087,18
Collier,2019-11,0.7294690173930136,0.7254499999999999,25691.35,18
Collier,2019-12,0.7535489408936622,0.7435166666666667,24088.14285714286,18
Collier,2020-01,0.7720621918440944,0.7641833333333333,25586.59090909091,18
Collier,2020-02,0.7805423620710655,0.7726722222222222,25862.05,18
Collier,2020-03,0.7877102846034687,0.7810722222222223,16461.5,18
Collier,2020-04,0.7442985980821666,0.7353222222222222,7418.409090909092,18
Collier,2020-05,0.7423292829923516,0.7303166666666666,9250.25,18
Collier,2020-06,0.7421269941027443,0.7343944444444443,10675.227272727268,18
Collier,2020-07,0.7542656572223472,0.7380888888888889,9095.260869565212,18
Collier,2020-08,0.7208007627191939,0.7109166666666666,8809.333333333334,18
Collier,2020-09,0.7121362964260507,0.7038666666666668,9242.80952380952,18
Collier,2020-10,0.7269417821604484,0.7173777777777778,9117.636363636359,18
Collier,2020-11,0.7290710163905993,0.73317,5765.5,10
Collier,2020-12,0.7268114277880856,0.7318055555555555,7128.954545454545,18
Collier,2021-01,0.7341759015683335,0.7368333333333333,7272.05,18
Collier,2021-02,0.7427924844231475,0.7393388888888889,7366.7,18
Collier,2021-03,0.7604836826387151,0.7584833333333333,8167.347826086956,18
Collier,2021-04,0.7723797713374102,0.7757444444444445,8547.727272727278,18
Collier,2021-05,0.7585941662922371,0.7587555555555556,8791.15,18
Collier,2021-06,0.7649603980878226,0.7585833333333334,9118.59090909091,18
Collier,2021-07,0.7573936640689668,0.7559055555555556,9434.476190476184,18
Collier,2021-08,0.763672625247284,0.7582833333333334,9627.318181818177,18
Collier,2021-09,0.7591615330858267,0.7553333333333333,10902.38095238095,18
Collier,2021-10,0.7565261032312359,0.7554500000000001,10864.190476190484,18
Collier,2021-11,0.7649061453354908,0.7620555555555556,10123.047619047611,18
Collier,2021-12,0.7723074838270344,0.772461111111111,9577.173913043487,18
Collier,2022-01,0.7733420907531336,0.7740944444444444,8688.142857142853,18
Collier,2022-02,0.7633197036199432,0.7636499999999999,10081.65,18
Collier,2022-03,0.7460113430289153,0.7387277777777778,11925.34782608696,18
Collier,2022-04,0.7451939191967721,0.7397666666666667,11695.666666666664,18
Collier,2022-05,0.7369049334107703,0.7311166666666666,11888.809523809523,18
Collier,2022-06,0.7104142297149232,0.7108388888888889,11491.318181818171,18
Collier,2022-07,0.7167667743740873,0.719061111111111,11435.3,18
Collier,2022-08,0.7193669831548984,0.71735,11699.956521739135,18
Collier,2022-09,0.6867694334105395,0.6888944444444445,12767.285714285716,18
Collier,2022-10,0.7457243866485743,0.7408555555555556,12598.619047619046,18
Collier,2022-11,0.7464647365859257,0.7395777777777778,12033.380952380947,18
Collier,2022-12,0.7634656671657879,0.7595833333333333,10837.227272727274,18
Collier,2023-01,0.7874793158107563,0.7810611111111112,11240.909090909088,18
Collier,2023-02,0.7768759134862583,0.7725166666666667,12058.2,18
Collier,2023-03,0.752957667732195,0.7547111111111111,12282.130434782608,18
Collier,2023-04,0.7450568047809402,0.747,12533.1,18
Collier,2023-05,0.7026895077844476,0.7009333333333333,13266.545454545449,18
Collier,2023-06,0.7199915904903939,0.7182,12953.409090909097,18
Collier,2023-07,0.6952646001149645,0.693288888888889,13047.5,18
Collier,2023-08,0.7253370548148728,0.7241666666666666,13315.173913043474,18
Collier,2023-09,0.7215695798260259,0.719538888888889,14226.25,18
Collier,2023-10,0.7467116724449996,0.7369222222222223,14264.36363636363,18
Collier,2023-11,0.7368338027993105,0.7299500000000001,11438.190476190477,18
Collier,2023-12,0.7407258798693802,0.7359555555555555,10610.95,18
Collier,2024-01,0.7706124202761541,0.7575333333333334,10241.318181818182,18
Collier,2024-02,0.7774246083036205,0.7694388888888889,11111.61904761905,18
Collier,2024-03,0.7634255779311926,0.7666666666666667,11636.333333333328,18
Collier,2024-04,0.7554628146836586,0.7513833333333334,12476.454545454551,18
Collier,2024-05,0.7223183440144082,0.7155111111111112,13199.500000000002,18
Collier,2024-06,0.7341910961304082,0.7253833333333334,13128.0,18
Collier,2024-07,0.7545439425470133,0.7487333333333334,13149.090909090899,18
Collier,2024-08,0.7045670636577229,0.7018833333333334,13174.863636363641,18
Collier,2024-09,0.7004866205844907,0.7041055555555555,13902.7,18
Collier,2024-10,0.717127957043192,0.7166611111111112,13866.304347826097,18
East Liberty,2019-01,0.6832775607297229,0.6821645161290323,67270.86363636362,31
East Liberty,2019-02,0.6625617226255801,0.6690258064516129,74444.5,31
East Liberty,2019-03,0.6927885508158287,0.6888193548387097,71820.04761904763,31
East Liberty,2019-04,0.6719726598238607,0.6600677419354839,73738.13636363637,31
East Liberty,2019-05,0.6127484688541072,0.6063322580645161,70444.86363636363,31
East Liberty,2019-06,0.6187996845872052,0.6140354838709677,67165.95,31
East Liberty,2019-07,0.681942214367914,0.6606774193548388,67028.77272727272,31
East Liberty,2019-08,0.681070367462413,0.6597935483870967,70339.90909090915,31
East Liberty,2019-09,0.6458679734924725,0.6416741935483871,80860.05,31
East Liberty,2019-10,0.6663679453853759,0.6683290322580645,78663.43478260867,31
East Liberty,2019-11,0.657939460070634,0.6458387096774194,71948.3,31
