month,day_type,total_riders,avg_riders_sum,n_routes
2017-01,SAT.,340697.0,85174.25,68
2017-01,SUN.,281224.0,56244.8,62
2017-01,WEEKDAY,4634349.0,210652.22727272726,103
2017-02,SAT.,394158.0,98539.5,68
2017-02,SUN.,244972.0,61243.0,62
2017-02,WEEKDAY,4523229.0,226161.45,104
2017-03,SAT.,350433.0,87608.25,68
2017-03,SUN.,222842.0,55710.5,62
2017-03,WEEKDAY,5084270.0,221055.21739130432,103
2017-04,SAT.,503263.0,100652.6,68
2017-04,SUN.,329688.0,65937.6,62
2017-04,WEEKDAY,4532626.0,226631.3,103
2017-05,SAT.,399205.0,99801.25,68
2017-05,SUN.,336293.0,67258.6,62
2017-05,WEEKDAY,4907915.999999999,223087.09090909085,103
2017-06,SAT.,404229.0,101057.25,68
2017-06,SUN.,267801.0,66950.25,62
2017-06,WEEKDAY,4860053.999999998,220911.54545454538,103
2017-07,SAT.,477633.0,95526.6,68
2017-07,SUN.,411481.9999999999,68580.33333333331,63
2017-07,WEEKDAY,4324517.0,216225.85,103
2017-08,SAT.,426654.0,106663.5,68
2017-08,SUN.,295538.0,73884.5,62
2017-08,WEEKDAY,5110408.0,222191.65217391305,103
2017-09,SAT.,564677.0,112935.4,68
2017-09,SUN.,401139.0,80227.8,62
2017-09,WEEKDAY,4867593.0,243379.65,103
2017-10,SAT.,426525.0,106631.25,68
2017-10,SUN.,379702.0,75940.4,62
2017-10,WEEKDAY,5253958.0,238816.2727272727,102
2017-11,SAT.,369877.0,92469.25,68
2017-11,SUN.,307979.0,61595.8,62
2017-11,WEEKDAY,4816040.0,229335.2380952381,102
2017-12,SAT.,457682.0,91536.4,68
2017-12,SUN.,362286.0,60381.0,62
2017-12,WEEKDAY,4062276.0,203113.8,102
2018-01,SAT.,315358.0,78839.5,68
2018-01,SUN.,277420.0,55484.0,62
2018-01,WEEKDAY,4633957.000000001,210634.40909090912,102
2018-02,SAT.,391015.0,97753.75,68
2018-02,SUN.,251714.0,62928.5,62
2018-02,WEEKDAY,4590194.0,229509.7,102
2018-03,SAT.,483985.0,96797.0,68
2018-03,SUN.,239813.0,59953.25,62
2018-03,WEEKDAY,4877040.0,221683.63636363638,102
2018-04,SAT.,421364.0,105341.0,68
2018-04,SUN.,331728.0,66345.6,62
2018-04,WEEKDAY,4908111.000000002,233719.57142857154,102
2018-05,SAT.,421975.0,105493.75,68
2018-05,SUN.,341600.0,69076.8,62
2018-05,WEEKDAY,5066822.999999999,230310.13636363632,102
2018-06,SAT.,509540.0,101908.0,68
2018-06,SUN.,266331.0,66582.75,62
2018-06,WEEKDAY,4721085.999999999,224813.61904761902,103
2018-07,SAT.,393157.0,98289.25,68
2018-07,SUN.,392707.9999999999,65451.33333333332,63
2018-07,WEEKDAY,4664493.0,222118.7142857143,102
2018-08,SAT.,436028.0,109007.0,68
2018-08,SUN.,277641.0,69410.25,62
2018-08,WEEKDAY,5076884.0,220734.08695652173,102
2018-09,SAT.,564207.0,112841.4,68
2018-09,SUN.,462122.00000000006,77020.33333333334,62
2018-09,WEEKDAY,4705154.0,247639.68421052632,102
2018-10,SAT.,424816.0,106204.0,68
2018-10,SUN.,314423.0,78605.75,62
2018-10,WEEKDAY,5692450.0,247497.8260869565,102
2018-11,SAT.,374619.0,93654.75,68
2018-11,SUN.,292797.0,58559.4,62
2018-11,WEEKDAY,4813292.999999999,229204.42857142852,102
2018-12,SAT.,467064.0,93412.8,68
2018-12,SUN.,407340.0000000001,67890.00000000001,62
2018-12,WEEKDAY,4135343.0,206767.15,102
2019-01,SAT.,354077.0,88519.25,68
2019-01,SUN.,281516.0,56303.2,62
2019-01,WEEKDAY,4651553.0,211434.22727272724,102
2019-02,SAT.,383739.0,95934.75,69
2019-02,SUN.,250119.0,62529.75,63
2019-02,WEEKDAY,4593144.0,229657.19999999998,103
2019-03,SAT.,465806.0,93161.2,69
2019-03,SUN.,291902.0,58380.4,63
2019-03,WEEKDAY,4716163.0,224579.19047619047,103
2019-04,SAT.,420877.0,105219.25,69
2019-04,SUN.,255570.0,63892.5,63
2019-04,WEEKDAY,5077493.0,230795.13636363635,103
2019-05,SAT.,427650.0,106912.5,69
2019-05,SUN.,331013.0,66202.6,63
2019-05,WEEKDAY,5007906.0,227632.0909090909,102
2019-06,SAT.,500719.0,100143.8,68
2019-06,SUN.,329334.0,65866.8,62
2019-06,WEEKDAY,4415899.0,220794.95,101
2019-07,SAT.,411178.0,102794.5,68
2019-07,SUN.,361561.0,72312.2,63
2019-07,WEEKDAY,4892770.000000001,222398.63636363638,101
2019-08,SAT.,555309.0,111061.8,68
2019-08,SUN.,288394.0,72098.5,63
2019-08,WEEKDAY,4922444.000000001,223747.45454545456,101
2019-09,SAT.,462403.0,115600.75,68
2019-09,SUN.,478341.0,79723.5,62
2019-09,WEEKDAY,5003758.0,250187.9,102
2019-10,SAT.,443450.0,110862.5,68
2019-10,SUN.,299801.0,74950.25,63
2019-10,WEEKDAY,5595845.000000001,243297.6086956522,102
2019-11,SAT.,514485.0,102897.0,68
