route_id,route_name,mode,avg_otp,weighted_aadt,max_aadt,median_aadt,p90_aadt,avg_truck_pct,match_rate,n_segments,stop_count,span_km
G3,MOON FLYER,BUS,0.7420414634146342,15662.36451441449,46175,5693.0,25636.600000000002,6.761848371460158,0.7121740574655373,153,34,20.85468542273929
28X,AIRPORT FLYER,BUS,0.6166469879518072,15276.065359581324,46175,6475.0,23478.600000000002,6.701299887098668,0.8116343490304709,223,74,29.003116140598706
P12,HOLIDAY PARK FLYER,BUS,0.6679280487804878,15185.294376704418,37708,6985.0,19492.200000000026,6.759550505272822,0.6000308024025874,125,62,24.969203381144393
43,BAILEY,BUS,0.79543875,14914.929167177726,40608,5414.5,22791.999999999996,6.435928492579419,0.8947368421052632,42,65,3.0808635703786256
57,HAZELWOOD,BUS,0.661587951807229,14030.675369280034,36651,6226.0,22395.0,6.492272234273319,0.7648864333947207,51,79,8.74557903837226
O1,ROSS FLYER,BUS,0.7058060240963855,13627.591190765856,44185,4462.0,24854.200000000004,4.926983261316441,0.9702907711757269,117,7,7.885177660219192
G2,WEST BUSWAY,BUS,0.8168280487804878,13620.98637903702,46175,5269.5,24837.200000000004,6.75924901308632,0.4811940298507463,68,24,8.890523063033768
24,WEST PARK,BUS,0.6971098765432099,13358.305980116815,40608,5966.0,23162.9,7.147990383296392,0.7891545975075783,82,98,13.922258487647591
36,BANKSVILLE,BUS,0.7328187500000001,13358.274316628702,43654,7934.0,19271.800000000007,4.454979356492028,0.8747169811320755,82,78,12.14128048404031
65,SQUIRREL HILL,BUS,0.6150641975308642,13316.824067978569,44041,6584.0,17850.499999999996,5.614355982728528,0.9664703217036701,108,70,7.949335087701236
58,GREENFIELD,BUS,0.6076132530120482,13049.898519885253,36651,5862.0,19047.200000000004,6.023276903116905,0.9950870924519875,87,102,6.756924482527202
67,MONROEVILLE,BUS,0.6035817073170732,13027.239864312058,40605,6214.0,16668.2,6.16817343637897,0.7053824362606232,195,191,22.276841676728523
51L,CARRICK LIMITED,BUS,0.7352228915662651,12961.71733653341,40608,5418.0,21602.000000000004,5.489110187705975,0.9203216374269005,49,50,8.460230278511208
