variable,pearson_r,pearson_p,spearman_r,spearman_p,type
total_precip_mm,-0.09027346790681251,0.4507703175175828,-0.039070350750110915,0.744541453502101,raw
snow_days,0.3962370195934791,0.0005699576531380537,0.4558994760322975,0.00005711472167810167,raw
total_snow_mm,0.30526428986733495,0.009121190639079178,0.43523189130223,0.0001330442956428248,raw
mean_tmax_c,-0.39838112118191144,0.0005285174034041498,-0.3949771689497718,0.000595666883904634,raw
mean_tmin_c,-0.39912803759539195,0.0005147392265186549,-0.3985529383906112,0.0005253184939260911,raw
freeze_days,0.4378393958854034,0.00011993647531025426,0.48394737356993783,0.000016560224768652134,raw
hot_days,-0.08030425212257084,0.5024990840118438,-0.15349271105118623,0.1979974067935913,raw
mean_wind_ms,0.39363378319188613,0.0006242402806486648,0.4007363876937302,0.00048617572822362104,raw
heavy_precip_days,-0.1901728651877757,0.10958345268065386,-0.19022717982431395,0.10948022949480439,raw
total_precip_mm,-0.22494418243148512,0.06938756533092424,-0.2236301012420416,0.07107440161694052,detrended
snow_days,0.45622664455195155,0.00011815007870344872,0.47786365516242335,0.000049573605934095875,detrended
total_snow_mm,0.27827381391223716,0.023672649353782087,0.3296696419081792,0.006869748145432419,detrended
mean_tmax_c,-0.5627572830351115,8.73505517956065e-7,-0.5701075044358628,5.830406058249135e-7,detrended
mean_tmin_c,-0.5735601258190816,4.805626085992391e-7,-0.5797515916918903,3.3789318252294683e-7,detrended
freeze_days,0.5723172790633884,5.153231651849844e-7,0.5650222387175122,7.719985268943266e-7,detrended
hot_days,-0.21112495769711592,0.0888200267603921,-0.29924142823913324,0.014654246006068112,detrended
mean_wind_ms,0.551184675191645,1.6190913047156788e-6,0.5864314789687926,2.2917129064007686e-7,detrended
heavy_precip_days,-0.3175201002910041,0.009380630791479423,-0.27033383945662065,0.028142695196080623,detrended
