route_id,change_month,old_pick,new_pick,trips_before,trips_after,trip_delta,otp_before,otp_after,otp_delta,n_before,n_after,event_type,is_covid
1,2019-04,1811,1903,48,48,0,0.6717333333333334,0.5911333333333334,-0.0806,3,3,neutral,false
1,2019-07,1903,1906,48,48,0,0.5911333333333334,0.6296666666666666,0.0385333333333332,3,3,neutral,false
1,2019-09,1906,1909,48,48,0,0.6118333333333332,0.6125666666666667,0.0007333333333334746,3,3,neutral,false
1,2019-12,1909,1911,48,48,0,0.6125666666666667,0.649,0.03643333333333332,3,3,neutral,false
1,2020-03,1911,2003,48,144,96,0.649,0.6845333333333334,0.03553333333333342,3,3,increase,true
1,2020-04,2003,2003EMERG,144,126,-18,0.6739333333333334,0.6415666666666667,-0.032366666666666655,3,3,cut,true
1,2020-09,2003EMERG,2009,126,48,-78,0.5723333333333334,0.6214,0.04906666666666659,3,2,cut,false
1,2020-11,2009,2011,48,69,21,0.6103999999999999,0.6577,0.04730000000000001,3,2,increase,false
11,2019-04,1811,1903,50,50,0,0.7694333333333333,0.7632333333333333,-0.006199999999999983,3,3,neutral,false
11,2019-07,1903,1906,50,50,0,0.7632333333333333,0.7934000000000001,0.030166666666666786,3,3,neutral,false
11,2019-09,1906,1909,50,50,0,0.7717333333333333,0.775,0.003266666666666751,3,3,neutral,false
11,2019-12,1909,1911,50,50,0,0.775,0.7665333333333333,-0.008466666666666733,3,3,neutral,false
11,2020-03,1911,2003,50,150,100,0.7665333333333333,0.7658999999999999,-0.0006333333333333746,3,3,increase,true
11,2020-04,2003,2003EMERG,150,108,-42,0.7707666666666667,0.7525666666666666,-0.018200000000000105,3,3,cut,true
11,2020-09,2003EMERG,2009,108,50,-58,0.7553333333333333,0.7995666666666666,0.04423333333333335,3,3,cut,false
11,2020-12,2009,2011,50,50,0,0.7995666666666666,0.8134666666666667,0.013900000000000023,3,3,neutral,false
12,2019-04,1811,1903,45,45,0,0.6012,0.5738,-0.02739999999999998,3,3,neutral,false
12,2019-07,1903,1906,45,45,0,0.5738,0.6477,0.07390000000000008,3,3,neutral,false
12,2019-09,1906,1909,45,45,0,0.6230666666666667,0.6665,0.043433333333333324,3,3,neutral,false
12,2019-12,1909,1911,45,45,0,0.6665,0.6579,-0.008599999999999941,3,3,neutral,false
12,2020-03,1911,2003,45,135,90,0.6579,0.6664666666666667,0.008566666666666611,3,3,increase,true
12,2020-04,2003,2003EMERG,135,117,-18,0.6673999999999999,0.6540666666666667,-0.013333333333333197,3,3,cut,true
12,2020-09,2003EMERG,2009,117,45,-72,0.6687,0.7188,0.05010000000000003,3,3,cut,false
12,2020-11,2009,2011,45,71,26,0.7085333333333335,0.6695666666666668,-0.038966666666666705,3,3,increase,false
13,2019-04,1811,1903,84,84,0,0.7132,0.6234333333333334,-0.08976666666666655,3,3,neutral,false
13,2019-07,1903,1906,84,84,0,0.6234333333333334,0.6997333333333332,0.07629999999999981,3,3,neutral,false
13,2019-09,1906,1909,84,84,0,0.6688999999999999,0.7183999999999999,0.04949999999999999,3,3,neutral,false
13,2019-12,1909,1911,84,84,0,0.7183999999999999,0.7531333333333334,0.034733333333333505,3,3,neutral,false
13,2020-03,1911,2003,84,252,168,0.7531333333333334,0.7374333333333333,-0.01570000000000016,3,3,increase,true
13,2020-04,2003,2003EMERG,252,132,-120,0.7582333333333334,0.711,-0.04723333333333346,3,3,cut,true
13,2020-09,2003EMERG,2009,132,84,-48,0.7005,0.7098333333333334,0.009333333333333416,3,3,cut,false
13,2020-12,2009,2011,84,84,0,0.7098333333333334,0.7414000000000001,0.03156666666666663,3,3,neutral,false
14,2019-04,1811,1903,74,74,0,0.7615666666666666,0.7067333333333332,-0.0548333333333334,3,3,neutral,false
14,2019-07,1903,1906,74,74,0,0.7067333333333332,0.7618666666666667,0.05513333333333348,3,3,neutral,false
14,2019-09,1906,1909,74,74,0,0.7328333333333332,0.7665666666666665,0.03373333333333328,3,3,neutral,false
14,2019-12,1909,1911,74,74,0,0.7665666666666665,0.806,0.03943333333333354,3,3,neutral,false
14,2020-03,1911,2003,74,222,148,0.806,0.7894666666666668,-0.01653333333333329,3,3,increase,true
14,2020-04,2003,2003EMERG,222,114,-108,0.8079000000000001,0.7686666666666667,-0.03923333333333334,3,3,cut,true
