stop_id,route_name,avg_ons,avg_offs,lat,lon,stop_name,avg_daily_usage,low_usage,nearest_neighbor_m,candidate
E49410,P12,0.0,0.0,40.4416,-79.8814,ROSS AVE AT MILL ST,0.0,true,103.1692763034237,true
N24180,19L,0.09545454545454546,3.60681818181818,40.4902,-80.0507,GRANT AVE AT DAVIS AVE,3.7022727272727254,true,87.56696864326436,true
P03695,44,3.481818,85.27272500000001,40.4403,-80.0006,WOOD ST BTW FORBES AVE & FIFTH AVE,88.75454300000001,false,148.90646960510023,false
E46460,74,36.78182,2.540909,40.4592,-79.9201,PENN AVE AT SHADY AVE FS (GIANT EAGLE),39.322729,false,141.45757165244402,false
W10340,21,0.045454545,2.065909,40.4869,-80.0763,ISLAND AVE AT #1470,2.111363545,true,11.119492664034915,true
W16160,31,15.929545000000001,1.47727275,40.4362,-80.052,NOBLESTOWN RD AT BARTOW ST,17.406817750000002,false,8.463364633586975,false
E58260,P12,0.0,0.0,40.4319,-79.7305,WILLIAM PENN HWY OPP JADENS II,0.0,true,20.25323434852077,true
N71182,91,0.0,0.0,40.4969,-79.8825,FOX CHAPEL RD AT PARK ENTRANCE (BASEBALL FIELD),0.0,true,146.76236559644332,true
E52620,75,7.5,21.052275,40.4733,-79.9306,STANTON AVE AT CHISLETT ST,28.552275,false,25.376078680452057,false
N52620,4,5.5045455,0.975,40.4569,-79.991,TROY HILL RD AT VINIAL ST,6.4795454999999995,false,8.460758467507295,false
W25400,G31,0.0,0.0,40.3762,-80.0978,WASHINGTON PIKE OPP STEEN RD,0.0,true,13.97853244050109,true
X02540,41,0.0,1.2340909090909098,40.3612,-80.1003,BOWER HILL RD OPP COOKS SCHOOL RD,1.2340909090909098,true,13.979682750352097,true
E19590,61C,10.9454545,8.504545499999999,40.4375,-79.9817,FORBES AVE AT MILTENBERGER ST,19.45,false,93.09521094029415,false
E41810,71A,31.988635000000002,0.7659091,40.4756,-79.9245,NEGLEY AVE AT HAMPTON ST,32.754544100000004,false,33.35847799368492,false
E70589,61B,2.05909090909091,0.334090909090909,40.4023,-79.8674,7TH ST AT BRADDOCK AVE,2.393181818181819,true,76.20867287499047,true
E41220,93,5.3545455,9.990909,40.4198,-79.9284,MURRAY AVE AT HAZELWOOD AVE,15.3454545,false,50.79257183893099,false
S47020,60,4.6386363636363654,3.55,40.3509,-79.8649,WALNUT ST AT 5TH AVE,8.188636363636366,false,34.41799842337819,false
N45580,O5,0.0,1.83409090909091,40.5598,-80.0106,REMINGTON DR AT HAZLETT RD,1.83409090909091,true,47.48288705456583,true
N70099,O12,0.47954545000000004,0.05,40.5395,-80.012,MCKNIGHT RD AT JAREDS JEWELERS DRVWY,0.5295454500000001,true,88.95594131622975,true
N22440,75,0.843182,0.07045454500000001,40.4898,-79.8725,FREEPORT RD OPP #1372,0.913636545,true,123.47825372439898,true
S14340,Y46,5.54318181818182,5.295454545454545,40.287,-79.8947,DESIDERIO BLVD AT WASHINGTON AVE,10.838636363636365,false,13.98533244654161,false
P01600,6,0.2818182,10.788635,40.4439,-79.9921,EAST BUSWAY AT PENN STATION A,11.0704532,false,11.119492664825003,false
E34990,54,0.79545455,3.2977274999999997,40.4555,-79.9762,LIBERTY AVE AT 27TH ST,4.093182049999999,true,37.40506651407819,true
E01730,71C,63.572725,149.5,40.4433,-79.9565,FIFTH AVE AT THACKERAY AVE,213.072725,false,37.40645645393934,false
P02550,86,131.42275,51.25682,40.4425,-79.9994,LIBERTY AVE AT WOOD ST,182.67957,false,123.47984837042175,false
W23186,38,0.0,1.218182,40.3929,-80.0761,SWALLOW HILL RD AT HOPE ST,1.218182,true,13.977267638507296,true
E04150,59,2.10681818181818,1.15681818181818,40.413,-79.8448,ARDMORE BLVD AT AVE B (PARK AND RIDE),3.26363636363636,true,47.81753198055547,true
W25940,24,0.30454545,0.045454545,40.4611,-80.0497,W CARSON ST AT SAGINAW ST,0.349999995,true,155.06152098263942,true
E00980,71D,105.46591000000001,7.5613635,40.449,-79.9325,FIFTH AVE AT BELLEFONTE ST,113.0272735,false,25.38525966617616,false
N36100,P13,0.13636365,0.0,40.5428,-79.9724,MT ROYAL BLVD AT ROYAL COURT DR,0.13636365,true,13.965835797622125,true
S23620,Y1,6.193182,0.045454545,40.342,-79.9662,HWY RT 51 AT CLOVERLEAF TOWERS,6.238636545,false,52.052764674242816,false
E19310,67,19.81591,3.881818,40.4372,-79.9628,FORBES AVE AT CRAFT AVE FS,23.697727999999998,false,122.78320445403492,false
S44810,55,21.4181818181818,20.42045454545455,40.2926,-79.8833,ST CLAIR AVE AT MILLER AVE,41.838636363636354,false,13.984906218880454,false
W06810,21,6.65909090909091,0.5886363636363635,40.5143,-80.1533,FERREE ST AT 4TH AVE,7.247727272727274,false,75.25752032636473,false
N31610,1,1.0045454500000002,0.9340909,40.4943,-79.9309,MAIN ST AT #1102,1.9386363500000001,true,35.60506283941695,true
