route_name,n_candidates,n_stops_csv,route_name_right,mode,avg_otp,stop_count,projected_stops,est_otp_gain
P2,8,22,EAST BUSWAY SHORT,UNKNOWN,0.8377,0,-8,
59,174,334,MON VALLEY,BUS,0.689755421686747,334,160,0.10247795124348777
P10,167,206,ALLEGHENY VALLEY FLYER,BUS,0.6431036144578314,189,22,0.09835527504403711
P16,159,216,PENN HILLS FLYER,BUS,0.6379180722891566,199,40,0.09364364510180778
2,148,204,MOUNT ROYAL,BUS,0.6322256097560977,187,39,0.08716515393124247
O5,148,151,THOMPSON RUN FLYER VIA 279,BUS,0.6921698795180723,127,-21,0.08716515393124247
77,134,272,PENN HILLS,BUS,0.5577253012048193,258,124,0.07891980153234116
P69,124,146,TRAFFORD FLYER,BUS,0.6454650602409638,128,4,0.0730302641045545
69,119,232,TRAFFORD,BUS,0.6026573170731707,209,90,0.07008549539066117
74,114,173,HOMEWOOD-SQUIRREL HILL,BUS,0.6572341463414634,171,57,0.06714072667676785
55,113,196,GLASSPORT,BUS,0.7121536585365853,199,86,0.06655177293398919
P13,112,125,MOUNT ROYAL FLYER,BUS,0.6792658536585365,123,11,0.06596281919121051
38,111,158,GREEN TREE,BUS,0.713946913580247,131,20,0.06537386544843185
1,106,225,FREEPORT ROAD,BUS,0.6164829268292683,221,115,0.062429096734538524
52L,97,140,HOMEVILLE LIMITED,BUS,0.6749771084337349,136,39,0.05712851304953054
71,93,96,EDGEWOOD TOWN CENTER,BUS,0.7087638554216867,95,2,0.05477269807841587
29,90,150,ROBINSON,BUS,0.6510407407407407,131,41,0.053005836850079875
P68,81,164,BRADDOCK HILLS FLYER,BUS,0.6795807228915662,175,94,0.04770525316507189
60,80,98,MCKEESPORT - WALNUT,BUS,0.7833819277108434,88,8,0.04711629942229323
79,77,120,EAST HILLS,BUS,0.7099109756097561,114,37,0.04534943819395723
P12,75,109,HOLIDAY PARK FLYER,BUS,0.6679280487804878,62,-13,0.0441715307083999
P17,74,103,LINCOLN PARK FLYER,BUS,0.689380487804878,177,103,0.043582576965621234
4,74,106,TROY HILL,BUS,0.7532843373493976,96,22,0.043582576965621234
53L,70,152,HOMESTEAD PARK LIMITED,BUS,0.6500780487804878,146,76,0.041226761994506575
P71,68,104,SWISSVALE FLYER,BUS,0.6818679012345679,111,43,0.04004885450894924
20,68,95,KENNEDY,BUS,0.698530487804878,92,24,0.04004885450894924
56,67,142,LINCOLN PLACE,BUS,0.6623096385542169,142,75,0.03945990076617058
67,67,205,MONROEVILLE,BUS,0.6035817073170732,191,124,0.03945990076617058
7,67,74,SPRING GARDEN,BUS,0.7074795180722891,67,0,0.03945990076617058
87,67,179,FRIENDSHIP,BUS,0.6755170731707317,175,108,0.03945990076617058
44,66,138,VIA KNOXVILLE,BUS,0.72646625,133,67,0.03887094702339191
P78,65,151,OAKMONT FLYER,BUS,0.5961602409638554,149,84,0.03828199328061325
41,63,145,BOWER HILL,BUS,0.76378875,138,75,0.03710408579505591
36,63,96,BANKSVILLE,BUS,0.73281875,78,15,0.03710408579505591
21,62,132,CORAOPOLIS,BUS,0.7360734939759036,133,71,0.03651513205227725
P76,60,111,LINCOLN HIGHWAY FLYER,BUS,0.6996135802469136,100,40,0.03533722456671992
14,59,139,OHIO VALLEY,BUS,0.756367469879518,138,79,0.03474827082394125
P7,58,112,MCKEESPORT FLYER,BUS,0.716989156626506,101,43,0.034159317081162585
24,55,102,WEST PARK,BUS,0.6971098765432099,98,43,0.032392455852826595
86,47,150,LIBERTY,BUS,0.628733734939759,142,95,0.02768082591059727
G31,47,81,BRIDGEVILLE FLYER,BUS,0.7341548780487804,78,31,0.02768082591059727
12,47,113,MCKNIGHT,BUS,0.654610843373494,108,61,0.02768082591059727
61A,45,201,NORTH BRADDOCK,BUS,0.5899975903614458,187,142,0.026502918425039938
P67,44,76,MONROEVILLE FLYER,BUS,0.6799807228915663,69,25,0.025913964682261273
31,44,133,BRIDGEVILLE,BUS,0.6748740740740741,128,84,0.025913964682261273
91,42,167,BUTLER STREET,BUS,0.6465373493975903,158,116,0.024736057196703944
18,41,45,MANCHESTER,BUS,0.8840963855421687,43,2,0.02414710345392528
19L,40,86,EMSWORTH LIMITED,BUS,0.6602963855421686,81,41,0.023558149711146614
58,38,117,GREENFIELD,BUS,0.6076132530120482,102,64,0.02238024222558928
