stop_id,avg_ons,avg_offs,stop_name,lat,lon,shelter,mode,stop_type,avg_daily_usage,has_shelter
N12380,1.852272727272729,5.127272727272726,BUTLER ST AT CENTER ST,40.4953,-79.9455,No Shelter,Bus,Bus Stop,6.979545454545455,false
W03210,7.8159089999999996,2.75,CHARTIERS AVE AT ALLENDALE ST,40.4539,-80.0596,City of Pittsburgh,Bus,Bus Stop with Non-PAAC Shelter,10.565909,true
E46270,11.656818000000001,1.2045453999999998,PENN AVE AT MURTLAND ST FS,40.4508,-79.906,No Shelter,Bus,Bus Stop,12.861363400000002,false
E58060,2.309091,1.175,WINTERBURN AVE AT BLANTON ST,40.4243,-79.9398,No Shelter,Bus,Bus Stop,3.4840910000000003,false
N37160,0.0,0.6318182,MT TROY RD AT #2768,40.4752,-79.9869,No Shelter,Bus,Bus Stop,0.6318182,false
E55211,6.1386365000000005,12.940909999999999,UPLAND ST AT BRUSHTON AVE,40.4606,-79.8885,No Shelter,Bus,Bus Stop,19.0795465,false
E70297,0.475,1.493182,BRYN MAWR RD AT ANDOVER TERR,40.4502,-79.957,No Shelter,Bus,Bus Stop,1.968182,false
W70089,2.3227275,5.7636365000000005,BROADWAY AVE AT 15TH ST,40.4753,-80.0815,No Shelter,Bus,Bus Stop,8.086364,false
E48646,0.9181819999999999,2.475,ROBERTS ST AT WYLIE AVE,40.4435,-79.9841,No Shelter,Bus,Bus Stop,3.393182,false
S70564,2.8727275,0.42272725,MOUNTAINVIEW DR AT POOL CITY DR,40.3449,-79.9422,No Shelter,Bus,Bus Stop,3.2954547499999998,false
W70149,0.306818181818182,0.3045454545454545,CORAOPOLIS RD AT HERBST RD,40.501,-80.1147,No Shelter,Bus,Bus Stop,0.6113636363636366,false
W70158,1.07727275,2.2068184,W CARSON ST AT CORLISS TUNNEL NS,40.453,-80.0396,No Shelter,Bus,Bus Stop,3.28409115,false
E20560,11.093181999999999,27.79091,FRANKSTOWN AVE AT MURTLAND ST,40.4585,-79.9013,No Shelter,Bus,Bus Stop,38.884091999999995,false
S27460,0.05,1.1636364000000001,KENNYWOOD BLVD AT #4000,40.3931,-79.8704,No Shelter,Bus,Bus Stop,1.2136364000000002,false
N70102,7.4704545,1.8454545,PARKER ST AT KOEHLER ST FS,40.4943,-79.9588,No Shelter,Bus,Bus Stop,9.315909,false
X13570,13.284089999999999,0.220454545,PIONEER AVE AT METZ WAY,40.4001,-80.0202,No Shelter,Bus,Bus Stop,13.504544545,false
W02770,30.256819999999998,66.104545,BROADWAY AVE OPP DALE ST,40.4719,-80.0725,No Shelter,Bus,Bus Stop,96.361365,false
N35490,0.5181818,38.120455,MT PLEASANT RD AT BEECH ST,40.4812,-80.0022,No Shelter,Bus,Bus Stop,38.6386368,false
X04150,0.7840909,0.0,CEDAR BLVD AT #1163,40.3692,-80.0607,No Shelter,Bus,Bus Stop,0.7840909,false
N45030,5.78181825,14.202274000000001,PITTSBURGH ST OPP ROSA ST,40.5412,-79.7864,No Shelter,Bus,Bus Stop,19.98409225,false
E32329,0.3795454545454545,0.9386363636363635,JAMES ST AT TURTLE CREEK-MONROEVILLE RD,40.4245,-79.7906,No Shelter,Bus,Bus Stop,1.318181818181818,false
E33880,0.120454545,4.868182,LAKETON RD AT COLLINS RD,40.4534,-79.859,No Shelter,Bus,Bus Stop,4.988636545,false
E55045,4.3977275,0.0,UNIVERSAL RD AT GREENWAY DR,40.4623,-79.8148,No Shelter,Bus,Bus Stop,4.3977275,false
E34950,42.488637,37.8568185,LIBERTY AVE AT 25TH ST,40.4535,-79.9791,No Shelter,Bus,Bus Stop,80.3454555,false
E35470,39.59091,38.2477295,LIBERTY AVE OPP 17TH ST,40.4491,-79.9854,No Shelter,Bus,Bus Stop,77.8386395,false
E70255,11.6954545,2.75,ROBINSON BLVD AT FRANKSTOWN RD FS,40.4607,-79.8665,No Shelter,Bus,Bus Stop,14.4454545,false
N31530,13.8159095,11.2613635,MAIN ST AT 8TH ST,40.4947,-79.9344,No Shelter,Bus,Bus Stop,25.077272999999998,false
N08240,1.50681818181818,2.313636363636365,BEAVER ST AT CAMP MEETING RD,40.5638,-80.2054,No Shelter,Bus,Bus Stop,3.820454545454545,false
E40770,0.554545445,0.52272725,MT CARMEL RD AT ABER RD,40.4671,-79.8695,No Shelter,Bus,Bus Stop,1.077272695,false
E38810,0.7727273,0.35681820000000003,MARK DR AT #7915,40.47,-79.8681,No Shelter,Bus,Bus Stop,1.1295455,false
N41325,1.5659091,47.088635,PENFORT ST AT #174,40.4744,-80.0024,No Shelter,Bus,Bus Stop,48.654544099999995,false
E70762,0.7931817999999999,3.3704545,LARMIER AVE AT WINSLOW ST,40.4657,-79.9135,No Shelter,Bus,Bus Stop,4.1636363,false
E04860,11.368179999999999,12.875,BAUM BLVD OPP FAIRMOUNT ST FS,40.458,-79.935,No Shelter,Bus,Bus Stop,24.24318,false
S08620,0.415909090909091,2.895454545454545,BROWNSVILLE RD AT HOLLOW HAVEN DR FS,40.3435,-79.9852,Lamar,Bus,Bus Stop with Non-PAAC Shelter,3.311363636363636,true
W19490,16.849999,15.43863865,PARK MANOR BLVD AT ROBINSON LN,40.4529,-80.1652,Lamar,Bus,Bus Stop with Non-PAAC Shelter,32.28863765,true
N71325,4.304545454545455,0.02272727272727275,CENTER AVE AT LOCUST AVE,40.5133,-80.0955,No Shelter,Bus,Bus Stop,4.327272727272727,false
E20510,2.97954535,4.7931815,FRANKSTOWN AVE AT LASCHALL ST,40.4583,-79.9063,No Shelter,Bus,Bus Stop,7.77272685,false
E29150,17.229545,1.6545455,HIGHLAND AVE AT VINTAGE SENIOR CITIZEN CTR,40.4654,-79.9231,No Shelter,Bus,Bus Stop,18.884090500000003,false
E23500,1.9954545,14.720455,FRIENDSHIP AVE AT GRAHAM ST,40.4618,-79.9365,No Shelter,Bus,Bus Stop,16.7159095,false
S08490,59.390910000000005,10.37500015,BROWNSVILLE RD AT E MEYERS AVE,40.3997,-79.989,No Shelter,Bus,Bus Stop,69.76591015000001,false
S06270,11.093181999999999,12.863636,BELTZHOOVER AVE AT CLIMAX ST,40.4201,-79.9974,No Shelter,Bus,Bus Stop,23.956818,false
E57940,6.0045455,7.15,WILNER DR AT BRACEY DR,40.454,-79.8671,No Shelter,Bus,Bus Stop,13.154545500000001,false
E70142,1.5159091,2.0022725,GREENFIELD AVE AT #322,40.4253,-79.9481,No Shelter,Bus,Bus Stop,3.5181816,false
W21620,12.268182,51.638639999999995,STEUBEN ST AT LORENZ AVE,40.4426,-80.0422,No Shelter,Bus,Bus Stop,63.90682199999999,false
E01870,1216.84999,2048.563643,FIFTH AVE AT ATWOOD STATION,40.4419,-79.9584,PAAC,Bus,Bus Stop with PAAC Shelter,3265.413633,true
N13340,17.761364999999998,2.4522725,CAMBRONNE ST AT BRIGHTON RD,40.4876,-80.0411,No Shelter,Bus,Bus Stop,20.213637499999997,false
E59650,8.4863638,2.74090895,WOODSTOCK AVE AT ORMOND ST,40.4181,-79.8825,No Shelter,Bus,Bus Stop,11.22727275,false
S70167,1.2272727272727249,0.484090909090909,WALNUT ST AT 13TH AVE,40.3425,-79.8622,No Shelter,Bus,Bus Stop,1.7113636363636338,false
S70313,0.0,0.0,HWY RT 885 AT SPARTZ DR,40.3281,-79.9317,No Shelter,Bus,Bus Stop,0.0,false
S21430,1.8454545,0.0,GREENSPRINGS AVE AT HIGH ST,40.3878,-79.8808,No Shelter,Bus,Bus Stop,1.8454545,false
N42210,1.4931818,0.86818185,PERRY HWY AT CONNIE DR,40.4965,-80.02,No Shelter,Bus,Bus Stop,2.36136365,false
W05915,16.95,19.570454545454552,CRAFTON-INGRAM SHOPPING CTR AT TERMINUS,40.4408,-80.0688,No Shelter,Bus,Bus Stop,36.520454545454555,false
E23440,22.1954545,20.965907,FRIENDSHIP AVE AT EDMOND ST,40.4629,-79.9477,No Shelter,Bus,Bus Stop,43.1613615,false
E01150,278.97727135,132.3636365,FIFTH AVE AT CRAIG ST NS,40.4468,-79.9496,No Shelter,Bus,Bus Stop,411.34090785,false
N26415,0.45227275,2.0704545,HILL ST AT LOCUST PL,40.5422,-80.1786,No Shelter,Bus,Bus Stop,2.52272725,false
S23880,0.04772727272727275,0.125,HWY RT 51 AT JEFFERSON VETERINARY CLINIC,40.3016,-79.9303,No Shelter,Bus,Bus Stop,0.17272727272727276,false
S50310,0.15,1.8318180000000002,WORTON BLVD AT CONLIN ST,40.3629,-79.8707,No Shelter,Bus,Bus Stop,1.981818,false
E42940,4.1795455,3.4499998,OAKWOOD ST OPP HAMILTON AVE,40.4515,-79.8847,No Shelter,Bus,Bus Stop,7.6295453,false
E55250,0.047727275,0.2931818,UPLAND ST AT #7310,40.4614,-79.8922,No Shelter,Bus,Bus Stop,0.340909075,false
S02660,28.147727272727266,8.240909090909092,8TH AVE AT DICKSON ST,40.409,-79.9052,No Shelter,Bus,Bus Stop,36.38863636363636,false
E70345,0.04545455,0.0,MILLTOWN RD AT NEWFIELD DR,40.501,-79.7924,No Shelter,Bus,Bus Stop,0.04545455,false
E70001,6.8454545,2.9545455,BUTLER ST AT 38TH ST,40.467,-79.9643,No Shelter,Bus,Bus Stop,9.8,false
W19456,0.2431818,7.3159089999999996,ORCHARD SPRING RD AT GREENTREE RD FS,40.3989,-80.0658,No Shelter,Bus,Bus Stop,7.5590908,false
W13250,1.1,0.025,MCCOY RD AT GREENWOOD DR,40.478,-80.0941,No Shelter,Bus,Bus Stop,1.125,false
E70846,6.956818,2.1613634999999998,HAZELWOOD AVE AT SABINA ST,40.4159,-79.9386,No Shelter,Bus,Bus Stop,9.1181815,false
S70331,1.720454545454545,4.761363636363635,9TH ST AT HEMLOCK WAY,40.3211,-79.8918,No Shelter,Bus,Bus Stop,6.48181818181818,false
W26145,0.906818181818182,306.3477272727275,WEST BUSWAY AT CARNEGIE STATION,40.4061,-80.0902,PAAC,Busway,Busway Station,307.25454545454573,true
E18040,1.0931818,3.16818165,ELECTRIC AVE OPP NORTH AVE,40.4056,-79.8394,No Shelter,Bus,Bus Stop,4.26136345,false
X00390,8.5136365,1.5431819999999998,BAILEY AVE AT RUTH ST,40.427,-80.0053,No Shelter,Bus,Bus Stop,10.0568185,false
E49390,14.872727,10.763635944999999,ROSS AVE AT CENTER ST,40.442,-79.8825,No Shelter,Bus,Bus Stop,25.636362945,false
N14815,0.07045454500000001,0.0,CHARTERWOOD DR AT MCINTYRE RD,40.5518,-80.0008,No Shelter,Bus,Bus Stop,0.07045454500000001,false
E28300,12.86363636363634,0.5045454545454545,HAYMAKER RD OPP CLOVER DR,40.4424,-79.7602,No Shelter,Bus,Bus Stop,13.368181818181794,false
E44890,1.275,5.1954545,PARK HILL DR AT EAST HILLS DR,40.4566,-79.8719,No Shelter,Bus,Bus Stop,6.470454500000001,false
E29220,0.075,17.220455,HIGHLAND AVE OPP BRYANT CT,40.4744,-79.9188,No Shelter,Bus,Bus Stop,17.295455,false
S70490,0.9613636363636364,0.025,CHURCHVIEW AVE OPP REVO RD,40.3862,-79.9429,No Shelter,Bus,Bus Stop,0.9863636363636364,false
W00660,4.76590909090909,0.3136363636363635,5TH AVE AT WOOD ST FS,40.5195,-80.1695,No Shelter,Bus,Bus Stop,5.079545454545453,false
N43670,66.92727500000001,4.4022725000000005,PERRYSVILLE AVE AT PERRY ACADEMY,40.4893,-80.0183,No Shelter,Bus,Bus Stop,71.3295475,false
N22100,0.5477272727272731,0.8522727272727271,FREEPORT RD OPP 1ST ST FS,40.5733,-79.7774,No Shelter,Bus,Bus Stop,1.4000000000000001,false
N70104,1.3909091,7.420454275,MCKNIGHT RD AT ROSS PARK MALL DR FS (SELF STO,40.5425,-80.0133,No Shelter,Bus,Bus Stop,8.811363374999999,false
S30257,0.0,0.025,LONG RUN RD AT OLD LONG RUN RD FS,40.3221,-79.8258,No Shelter,Bus,Bus Stop,0.025,false
E51260,3.381818,2.0931819999999997,SHADY AVE AT AYLESBORO AVE,40.4402,-79.9195,No Shelter,Bus,Bus Stop,5.475,false
E10440,1.8727272727272748,0.615909090909091,BRINTON RD OPP MCKELVEY RD,40.4254,-79.8691,No Shelter,Bus,Bus Stop,2.488636363636366,false
X03320,24.943179999999998,0.147727275,BROOKLINE BLVD OPP BREINING ST,40.3924,-80.0108,No Shelter,Bus,Bus Stop,25.090907275,false
N71281,44.45909,7.6795455,CALIFORNIA AVE AT DAVIS AVE,40.4802,-80.0412,No Shelter,Bus,Bus Stop,52.13863550000001,false
E70992,7.6818185,11.1522725,WYLIE AVE AT FULLERTON ST,40.4419,-79.9891,No Shelter,Bus,Bus Stop,18.834091,false
E30175,0.095454545,2.325,HULTON RD AT 3RD ST,40.526,-79.8425,No Shelter,Bus,Bus Stop,2.420454545,false
E40110,2.75,0.49545454545454554,MONROEVILLE BLVD OPP JAMISON LN,40.4274,-79.7882,No Shelter,Bus,Bus Stop,3.2454545454545456,false
W24770,13.129545454545452,1.636363636363636,WASHINGTON PIKE OPP GREAT SOUTHERN SHPG CTR,40.3683,-80.1029,No Shelter,Bus,Bus Stop,14.765909090909089,false
S50370,5.68181818181818,4.825,YOUNG DR AT YESTER SQ,40.3497,-79.8406,No Shelter,Bus,Bus Stop,10.50681818181818,false
E05210,10.556818250000001,35.172725,BEACON ST AT MURRAY AVE NS,40.4347,-79.9234,No Shelter,Bus,Bus Stop,45.72954325,false
S21450,9.5795455,0.26136365,GREENSPRINGS AVE AT MUNICIPAL BLDG,40.3841,-79.8784,Lamar,Bus,Bus Stop with Non-PAAC Shelter,9.84090915,true
S06290,23.906817500000002,35.597727,BELTZHOOVER AVE AT WARRINGTON AVE,40.4215,-79.9974,No Shelter,Bus,Bus Stop,59.5045445,false
W02820,0.66136365,14.529544999999999,CAROTHERS AVE AT HILL ST,40.4003,-80.0883,No Shelter,Bus,Bus Stop,15.190908649999999,false
E51560,0.0,0.0,SHADY AVE OPP HOBART ST,40.4343,-79.9187,No Shelter,Bus,Bus Stop,0.0,false
W21480,8.738636,1.5568181,STEUBEN ST AT DEXTER ST,40.4423,-80.0506,No Shelter,Bus,Bus Stop,10.2954541,false
E45660,4.1886365,14.70909,PENN AVE AT FIFTH AVE,40.4542,-79.9128,No Shelter,Bus,Bus Stop,18.8977265,false
P03440,709.9385924999999,1262.1091,STANWIX ST AT PENN AVE (GATEWAY #2),40.4427,-80.0044,No Shelter,Bus,Bus Stop,1972.0476924999998,false
E27450,1.5272725,22.461365,HAWKINS AVE AT MIDDLE ST,40.4055,-79.8618,No Shelter,Bus,Bus Stop,23.9886375,false
E37300,29.438634999999998,0.170454545,LONG RD AT PENTLAND DR,40.4543,-79.8376,PAAC,Bus,Bus Stop with PAAC Shelter,29.609089544999996,true
X07000,5.581818,1.4840909999999998,GRANDVIEW AVE AT #1209 (DUQUESNE INCLINE),40.4382,-80.0189,No Shelter,Bus,Bus Stop,7.0659089999999996,false
E70953,0.42045455,1.9613635,BRERETON ST AT #3035,40.4566,-79.9685,No Shelter,Bus,Bus Stop,2.38181805,false
N71282,4.05681818181818,1.736363636363635,GRANT AVE AT BLACK ST,40.48,-79.9735,No Shelter,Bus,Bus Stop,5.793181818181814,false
E70982,0.40454545,0.047727275,BLAIR ST AT BEEHIVE ST,40.4181,-79.9506,No Shelter,Bus,Bus Stop,0.452272725,false
E18850,0.17045455,11.3727275,EUCLID AVE AT BUNKERHILL ST,40.479,-79.9178,No Shelter,Bus,Bus Stop,11.54318205,false
E55350,0.44090910000000005,0.145454545,VERONA BLVD AT #7281,40.471,-79.8883,No Shelter,Bus,Bus Stop,0.586363645,false
E00910,103.656814,8.1136364,FIFTH AVE AT AIKEN AVE,40.4485,-79.9341,No Shelter,Bus,Bus Stop,111.7704504,false
S70186,1.152272727272725,0.981818181818182,KENNEDY AVE AT 4TH ST,40.3713,-79.8486,No Shelter,Bus,Bus Stop,2.134090909090907,false
S70384,0.3,0.025,HWY RT 885 OPP SUNSET DR,40.3067,-79.9093,No Shelter,Bus,Bus Stop,0.325,false
E32750,3.709091,2.4431819999999997,JOHNSTON AVE AT BROADVIEW DR FS,40.4072,-79.9268,No Shelter,Bus,Bus Stop,6.152272999999999,false
E70961,1.0136363636363634,1.172727272727273,6TH ST AT MARGARETTA ST,40.4043,-79.8669,No Shelter,Bus,Bus Stop,2.1863636363636365,false
E45640,13.65,56.036365,PENN AVE AT 45TH ST,40.4662,-79.9518,City of Pittsburgh,Bus,Bus Stop with Non-PAAC Shelter,69.68636500000001,true
N14825,5.1113635,9.3636363,CHATEAU ST AT N FRANKLIN ST,40.4554,-80.0288,No Shelter,Bus,Bus Stop,14.474999799999999,false
N52210,0.0,0.0,THOMPSON RUN RD AT HORIZON DR,40.5355,-79.9906,No Shelter,Bus,Bus Stop,0.0,false
N71338,6.8886363636363654,7.4068181818181795,HARMAR GARAGE TERMINAL - NO ST,40.5408,-79.8312,No Shelter,Bus,Bus Stop,14.295454545454545,false
E46810,16.634090775,33.095453,PENN AVE OPP SHAW AVE FS,40.4052,-79.8289,PAAC,Bus,Bus Stop with PAAC Shelter,49.729543774999996,true
W25150,0.0,0.22499999999999998,WASHINGTON PIKE AT WINSTEIN ST,40.3741,-80.0992,No Shelter,Bus,Bus Stop,0.22499999999999998,false
S16540,106.77954535,241.08865915,E CARSON ST OPP STATION SQUARE STATION,40.4319,-80.0033,City of Pittsburgh,Bus,Bus Stop with Non-PAAC Shelter,347.86820450000005,true
N04340,0.1136363636363635,3.611363636363635,9TH AVE AT PENN ST,40.6099,-79.7402,No Shelter,Bus,Bus Stop,3.7249999999999983,false
S46940,0.9772727272727275,0.459090909090909,WALNUT ST AT 30TH AVE FS,40.3319,-79.8451,No Shelter,Bus,Bus Stop,1.4363636363636365,false
E18410,12.879545,47.675,ELLSWORTH AVE AT AIKEN AVE,40.4527,-79.9368,No Shelter,Bus,Bus Stop,60.554545,false
N70011,0.8863635,1.481818,NORTH HILLS VILLAGE AT BEST BUY,40.5237,-80.0066,No Shelter,Bus,Bus Stop,2.3681815,false
E05990,1.8318183499999998,5.2954545,BEECHWOOD BLVD AT LORETTA ST FS,40.422,-79.9278,No Shelter,Bus,Bus Stop,7.12727285,false
E70359,0.0,0.09090909,MILLTOWN RD OPP NEWFIELD DR,40.501,-79.7921,No Shelter,Bus,Bus Stop,0.09090909,false
E60095,25.4318181818182,9.363636363636365,YOST BLVD AT ARDMORE BLVD FS,40.4155,-79.848,No Shelter,Bus,Bus Stop,34.79545454545457,false
E32240,5.225,3.584091,IOWA ST OPP CLARISSA ST,40.4524,-79.9567,No Shelter,Bus,Bus Stop,8.809090999999999,false
E70739,1.840909,1.8522725,STRANAHAN ST AT OAKDENE ST,40.4619,-79.8907,No Shelter,Bus,Bus Stop,3.6931814999999997,false
S24420,58.8068181818182,3.679545454545456,HWY RT 51 OPP GRACE ST,40.344,-79.9713,No Shelter,Bus,Bus Stop,62.486363636363656,false
E35600,11.7909095,15.527274000000002,LIBERTY AVE AT 36TH ST,40.4618,-79.9639,No Shelter,Bus,Bus Stop,27.318183500000004,false
E08330,0.0,0.0,BLVD OF ALLIES AT VAN BRAAM ST,40.4357,-79.9827,No Shelter,Bus,Bus Stop,0.0,false
E70381,0.19318182,2.1227271,LEECHBURG RD OPP CLOVERLEAF RD,40.487,-79.8089,No Shelter,Bus,Bus Stop,2.31590892,false
S46150,4.129545454545455,1.01818181818182,VERSAILLES AVE AT EVANS ST,40.3459,-79.8493,No Shelter,Bus,Bus Stop,5.147727272727275,false
E70002,3.9113635,5.465909,16TH ST AT PENN AVE,40.4488,-79.9874,No Shelter,Bus,Bus Stop,9.3772725,false
E08070,0.220454545,5.822727499999999,BLUFF ST AT STEVENSON ST,40.4352,-79.9866,No Shelter,Bus,Bus Stop,6.043182044999999,false
E46190,18.19772955,33.27727,PENN AVE AT MAIN ST,40.4657,-79.9551,No Shelter,Bus,Bus Stop,51.47499955,false
N44700,2.536363636363635,0.318181818181818,PITTSBURGH ST AT MURRAYHILL AVE FS,40.541,-79.7956,No Shelter,Bus,Bus Stop,2.8545454545454527,false
X18890,9.288636499999999,6.95,VIRGINIA AVE OPP SHOP-N-SAVE,40.4299,-80.008,No Shelter,Bus,Bus Stop,16.2386365,false
N41760,2.3386362999999997,20.62272955,PENNSYLVANIA AVE AT MANHATTAN ST,40.4541,-80.0263,No Shelter,Bus,Bus Stop,22.96136585,false
W23184,1.8113635000000001,0.6681817999999999,SWALLOW HILL RD AT GREENTREE RD FS,40.3908,-80.074,No Shelter,Bus,Bus Stop,2.4795453,false
E55080,0.0,0.0,UNIVERSAL RD AT MAIN ST,40.4677,-79.7934,No Shelter,Bus,Bus Stop,0.0,false
E55050,0.025,3.0045455,UNIVERSAL RD AT WEBSTER DR,40.4622,-79.8147,No Shelter,Bus,Bus Stop,3.0295455,false
S13873,2.515909,6.368182,CURRY HOLLOW RD AT GREEN DR,40.3399,-79.9675,No Shelter,Bus,Bus Stop,8.884091,false
E70975,0.21136365000000001,23.15682,MOREWOOD AVE AT FORBES AVE FS,40.4451,-79.9427,No Shelter,Bus,Bus Stop,23.36818365,false
E15510,3.679545454545455,0.859090909090909,COREY AVE AT MARGARETTA ST,40.4049,-79.8677,No Shelter,Bus,Bus Stop,4.538636363636364,false
E53170,24.770455,2.1977275,STANTON AVE AT WOODBINE ST,40.4818,-79.9395,City of Pittsburgh,Bus,Bus Stop with Non-PAAC Shelter,26.968182499999998,true
S70412,12.177275,0.21590910000000002,MIFFLIN ST AT WHITAKER ST,40.3987,-79.8855,No Shelter,Bus,Bus Stop,12.3931841,false
E27490,11.120455,5.1477275,RANKIN BLVD AT HAWKINS AVE,40.412,-79.881,No Shelter,Bus,Bus Stop,16.2681825,false
N06430,0.0,0.0,BABCOCK BLVD AT EVERGREEN & PEOPLES PLANK RD,40.5062,-79.9904,No Shelter,Bus,Bus Stop,0.0,false
E70839,11.2863635,14.75682,MELLON TERRACE AT N NEGLEY AVE,40.4796,-79.922,No Shelter,Bus,Bus Stop,26.043183499999998,false
S17050,0.91363635,1.1227274999999999,ELIZA ST AT CORBIN ST FS,40.3875,-79.8749,No Shelter,Bus,Bus Stop,2.03636385,false
W02890,3.2227275,0.0,CAROTHERS AVE OPP FINLEY AVE,40.3965,-80.0878,No Shelter,Bus,Bus Stop,3.2227275,false
X13590,7.3727275,0.045454545,PIONEER AVE AT ROSSMORE AVE,40.3979,-80.0228,No Shelter,Bus,Bus Stop,7.418182045,false
S70588,0.411363645,0.38409092499999997,HWY RT 51 OPP STEWART AVE,40.3787,-79.9928,No Shelter,Bus,Bus Stop,0.79545457,false
E70116,1.1522727272727276,7.995454545454545,FRANKSTOWN RD AT EAST HILLS DR NS,40.4611,-79.8705,No Shelter,Bus,Bus Stop,9.147727272727273,false
X02170,8.6954545,0.075,BOWER HILL RD AT LONGRIDGE DR,40.3819,-80.058,No Shelter,Bus,Bus Stop,8.7704545,false
E10040,0.15,0.147727275,BRINTON RD AT ARDMORE BLVD,40.4354,-79.8717,No Shelter,Bus,Bus Stop,0.29772727499999996,false
E53040,0.2409091,14.965910000000001,STANTON AVE OPP MCCABE ST,40.4814,-79.9377,No Shelter,Bus,Bus Stop,15.2068191,false
E03240,2.5249998000000002,16.4204545,AIRBRAKE AVE AT MILLER ST,40.3954,-79.8065,No Shelter,Bus,Bus Stop,18.9454543,false
E58370,0.7363636499999999,5.022727,WM PENN HWY AT HOME DEPOT,40.4303,-79.8063,No Shelter,Bus,Bus Stop,5.759090649999999,false
S70608,0.047727275,0.047727275,CAMP HOLLOW RD AT LEBANON MANOR DR,40.3425,-79.9178,No Shelter,Bus,Bus Stop,0.09545455,false
N38370,58.145453,80.870454,NORTH AVE AT BRIGHTON RD,40.4541,-80.0144,No Shelter,Bus,Bus Stop,139.015907,false
S70505,0.9886363636363635,0.0,CUSTER AVE AT EDWARD DR,40.3955,-79.9684,No Shelter,Bus,Bus Stop,0.9886363636363635,false
N41310,18.3068185,1.3749998,PENFORT ST AT ESSEN ST,40.4733,-80.003,No Shelter,Bus,Bus Stop,19.6818183,false
N10450,57.661364999999996,20.406819499999997,BRIGHTON RD AT JACKSONIA ST,40.457,-80.0157,City of Pittsburgh,Bus,Bus Stop with Non-PAAC Shelter,78.0681845,true
N71234,11.78182,0.87954545,LOWRIE ST AT DEHAVEN ST FS,40.4619,-79.9843,No Shelter,Bus,Bus Stop,12.66136545,false
N10953,0.025,3.043182,BROAD ST AT THORN ST,40.5391,-80.1816,No Shelter,Bus,Bus Stop,3.0681819999999997,false
