stop_id,stop_name,mode,stop_type,avg_daily_usage,avg_ons,avg_offs,lat,lon
P00930,7TH ST AT PENN AVE,Bus,Bus Stop,2841.3614,1122.28865,1719.07275,40.4433,-80.0003
P00590,FIFTH AVE AT WOOD ST,Bus,Bus Stop,2431.372758,1960.061398,471.31136,40.4408,-80.0007
P03690,WOOD ST AT SIXTH AVE,Bus,Bus Stop,2307.5137059999997,583.045476,1724.46823,40.4418,-79.9996
E01730,FIFTH AVE AT THACKERAY AVE,Bus,Bus Stop,2289.581807,897.2454465000001,1392.3363605,40.4433,-79.9565
P03695,WOOD ST BTW FORBES AVE & FIFTH AVE,Bus,Bus Stop,2232.2749965000003,441.3727465,1790.90225,40.4403,-80.0006
P03440,STANWIX ST AT PENN AVE (GATEWAY #2),Bus,Bus Stop,1972.0476924999998,709.9385925,1262.1091,40.4427,-80.0044
E01360,FIFTH AVE AT OAKLAND AVE,Bus,Bus Stop,1969.9658920000002,1396.89091,573.074982,40.4421,-79.9579
E02050,FIFTH AVE OPP THACKERAY AVE,Bus,Bus Stop,1870.1204599999999,1370.51137,499.60909,40.443,-79.9567
P70027,LIBERTY AVE AT 6TH ST NS (SHELTER),Bus,Bus Stop,1614.6590700000002,486.1591,1128.49997,40.4421,-80.0014
P02310,LIBERTY AVE AT 7TH ST (CLARK BLDG),Bus,Bus Stop,1559.88865675,1311.738655,248.15000175,40.4425,-79.9998
P03315,STANWIX ST AT FOURTH AVE (PPG PLACE),Bus,Bus Stop,1550.0682,347.7591,1202.3091,40.4403,-80.0044
P00750,SIXTH AVE AT WOOD ST,Bus,Bus Stop,1476.6068050000001,405.145455,1071.46135,40.4421,-79.9993
P00710,SIXTH AVE AT SMITHFIELD ST,Bus,Bus Stop,1447.42276,301.64090999999996,1145.78185,40.4414,-79.9976
P02860,PENN AVE AT 7TH ST,Bus,Bus Stop,1435.2977203500002,917.9840750000001,517.3136453500001,40.4433,-80.0001
E01010,FIFTH AVE AT BIGELOW BLVD (PITT),Bus,Bus Stop,1425.2363850000002,1080.1000250000002,345.13635999999997,40.4442,-79.9549
P02550,LIBERTY AVE AT WOOD ST,Bus,Bus Stop,1393.15686045,994.60459545,398.55226500000003,40.4425,-79.9994
E01335,FIFTH AVE AT MEYRAN AVE,Bus,Bus Stop,1326.363652,861.404555,464.959097,40.4411,-79.9592
E19660,FORBES AVE AT MURRAY AVE,Bus,Bus Stop,1288.5840500000002,390.40000000000003,898.1840500000001,40.438,-79.9232
P02280,LIBERTY AVE AT SIXTH AVE,Bus,Bus Stop,1276.34315,522.6590858,753.6840642,40.4422,-80.0003
P03360,STANWIX ST AT FORBES AVE,Bus,Bus Stop,1264.404525,962.7727,301.631825,40.441,-80.004
P03145,SMITHFIELD ST AT FORBES AVE,Bus,Bus Stop,1256.2863555,1197.759085,58.5272705,40.4396,-79.9991
P70024,STANWIX ST AT PENN AVE FS,Bus,Bus Stop,1138.66595045,961.74095,176.92500045,40.4427,-80.0043
E19210,FORBES AVE AT BOUQUET ST FS,Bus,Bus Stop,1123.8000001,788.8250041,334.974996,40.4422,-79.9561
E19130,FORBES AVE AT ATWOOD ST,Bus,Bus Stop,1051.02950165,677.04541215,373.9840895,40.441,-79.9577
P02600,LIBERTY AVE OPP 9TH ST,Bus,Bus Stop,1044.73864574,546.67273254,498.0659132,40.4428,-79.9981
E17303,EAST BUSWAY AT EAST LIBERTY STATION A,Busway,Busway Station,1028.0772849999998,298.899994,729.177291,40.4595,-79.9225
P02650,LIBERTY AVE AT WYNDHAM GRAND HOTEL,Bus,Bus Stop,979.131759375,936.143122275,42.9886371,40.4415,-80.0056
P00860,SEVENTH AVE AT WILLIAM PENN PL,Bus,Bus Stop,951.429478,621.1386,330.290878,40.4426,-79.9961
P00940,7TH ST AT PENN AVE FS,Bus,Bus Stop,914.4000455,9.6045455,904.7955000000001,40.4429,-80.0002
P02320,LIBERTY AVE AT TITO WAY,Bus,Bus Stop,889.5568145,697.7704534999999,191.786361,40.4428,-79.9986
P70019,SIXTH AVE AT CENTRE AVE,Bus,Bus Stop,822.5841085000001,28.1613635,794.4227450000001,40.4398,-79.9942
P00600,FIFTH AVE AT SMITHFIELD ST,Bus,Bus Stop,818.6818152999999,659.4795418,159.2022735,40.4401,-79.9988
