rank,ntd_id,agency_name,upt_2019,upt_2024,pct_change
1,30071,City of Alexandria ,4208694,5662883,34.5520249274478
2,30006,Greater Richmond Transit Company,9766993,12059643,23.47344776432214
3,90033,City of Tucson,15203313,18600533,22.34526119405685
4,20002,Capital District Transportation Authority,15555220,18491586,18.877045776273174
5,22930,New York City Economic Development Corporation,6557602,7529313,14.818084415614122
6,30068,"Fairfax County, VA",8298785,8842512,6.551886812346627
7,40007,City of Raleigh,6003172,6389427,6.434181795890573
8,30075,Delaware Transit Corporation,8212256,8380928,2.053905772055815
9,70005,Kansas City Area Transportation Authority,12409231,12586497,1.4285010892294616
10,40087,City of Durham,6813073,6894510,1.195304967376689
11,2,Spokane Transit Authority,10568157,10661102,0.8794816352557973
12,60007,Fort Worth Transportation Authority,6207907,6183252,-0.3971547898510722
13,50010,METRO Regional Transit Authority ,5418121,5341634,-1.4116886647603477
14,40037,"Board of County Commissioners, Palm Beach County",10043609,9739425,-3.028632436806331
15,50012,Southwest Ohio Regional Transit Authority,14003193,13578716,-3.0312872214215716
16,19,Intercity Transit,4736809,4589073,-3.1188929087071062
17,40041,Hillsborough Area Regional Transit Authority,13134237,12678579,-3.4692384491006214
18,90157,Access Services  ,4586125,4422707,-3.563313254653983
19,40094,Alternativa de Transporte Integrado ,6715404,6469028,-3.6688187337649376
20,40004,Metropolitan Transit Authority,9512355,9132287,-3.995519511204113
21,90036,Orange County Transportation Authority,40014797,38040396,-4.934177224490231
22,90027,City of Fresno,10868022,10285617,-5.3588868333170465
23,40029,Broward County Board of County Commissioners,27122493,25476701,-6.067996773010504
24,20188,MTA Bus Company,135080070,126616665,-6.265472767374196
25,90009,San Mateo County Transit District,11466113,10719864,-6.508299717611365
26,50060,Champaign-Urbana Mass Transit District,11379024,10568157,-7.1259802246660175
27,30051,"Montgomery County, Maryland",20724094,19234872,-7.1859450164624805
28,20076,Westchester County,26823191,24845995,-7.371218435569429
29,20206,County of Nassau,24145334,22131986,-8.33845578611586
30,30091,Town of Blacksburg,4692326,4299565,-8.370283735614278
31,40077,South Florida Regional Transportation Authority,5454612,4995365,-8.419425616340813
32,90026,San Diego Metropolitan Transit System,86551000,79155323,-8.544877586625226
33,80001,Utah Transit Authority,44578161,40502990,-9.141631033186856
34,90211,Anaheim Transportation Network,9127436,8277649,-9.310248792760639
35,20072,Suffolk County ,4427505,3960816,-10.540676972696811
36,30010,Lehigh and Northampton Transportation Authority,4723610,4208491,-10.905197507838285
37,10050,Greater Bridgeport Transit Authority,5277554,4686794,-11.19382198647328
38,50051,Greater Lafayette Public Transportation Corporation,5099775,4489941,-11.958056973101755
39,40,Central Puget Sound Regional Transit Authority,47805583,41949168,-12.25048337973412
