route_id,total_boardings,dt_boardings,n_stops,dt_share,dt_tercile,subtype,service_type,recovery_2024,baseline_2019
O5,44.07954848954546,38.38636665,151,0.8708430091815542,High,flyer,Commuter/Express,36.3379290673556,111.47988738314821
40,445.02954268,375.59544943500003,83,0.8439786877364076,High,local,Local,64.94949093657229,612.4614295125164
P13,173.62272820090908,135.40454649999998,125,0.7798780027423334,High,flyer,Commuter/Express,21.475517871559042,344.3393382583599
43,430.59318384,325.872729345,66,0.7567995536735851,High,local,Local,39.93107447053416,691.4566033000815
4,456.0909154540909,309.2340951,106,0.6780097665223652,High,local,Local,46.22207220880104,671.1006054332141
38,1576.2295429204544,1053.4068300000001,158,0.6683080105504412,High,local,Local,19.34751680037339,3203.1839301399086
11,399.09319999999997,257.536380695,62,0.6453038555780956,High,local,Local,66.56817730625309,549.9855268523746
36,389.9613435809091,249.91361500000002,96,0.6408676632024887,High,local,Local,43.14540675866679,725.8728339293557
12,937.1136187740909,587.7749861,113,0.6272184869844415,High,local,Local,73.40881376312656,1247.931109228936
81,1059.17954749,660.206820945,99,0.6233190798571695,High,local,Local,74.82675072532997,1690.5309335591958
17,1100.245471895,683.6068325,101,0.6213221048959143,High,local,Local,69.39101034752585,1320.893869596586
7,81.48409089045454,46.684088595,74,0.5729227397009446,High,local,Local,49.24414821900748,145.06857236965942
6,1132.677278015,645.84547545,87,0.5701937241840276,High,local,Local,79.22569259963872,1210.3698326432025
83,1821.41592755,992.6113722,112,0.5449668893228407,High,local,Local,65.38246831633126,2492.5457125603866
8,2694.1772910977274,1463.4318305000002,124,0.5431831956031865,High,local,Local,52.84683910179905,3179.04494949495
O12,1258.6772353427273,672.0294994999999,55,0.5339172590318693,High,flyer,Commuter/Express,28.555088954731115,1414.3187409812417
P1,5036.391071545455,2669.9979,25,0.5301410994640435,High,busway,Commuter/Express,46.29464865748942,10346.670458466657
G2,3073.6295645454547,1621.550026,30,0.5275684632607325,High,busway,Commuter/Express,33.69505829827209,3882.7318644519733
15,992.34999649,520.9909064,91,0.5250072134254802,High,local,Local,63.47254061583048,1085.8862656063748
51,5264.338669888182,2691.00688135,143,0.5111766263714106,High,local,Local,67.33727836748989,8101.682011104836
56,1006.0022927686364,513.318202425,142,0.510255499530014,High,local,Local,56.00661195897701,1712.9547556308435
G31,549.565908993182,279.7409103,81,0.5090215854409385,High,flyer,Commuter/Express,32.51942615530548,683.6585866428258
16,3188.1704696818183,1614.7000085,94,0.5064660198866807,High,local,Local,55.81464462778699,3830.6486189535085
13,1786.9499837445455,886.597722,135,0.4961513920731785,High,local,Local,63.691908685871034,2116.346808927789
51L,523.2227322,258.67273185,55,0.4943835883474636,High,limited,Limited,53.4448568697296,672.8499466716859
2,629.6931646563636,310.7454369,204,0.493487073294785,High,local,Local,42.715544128803266,1017.979705439488
48,1832.00227525,891.2454722,90,0.4864870989739236,High,local,Local,55.692349680395445,3005.2496259175587
39,1326.52270017,633.1840619,75,0.4773262167461247,High,local,Local,47.21293511379665,1592.704196467783
19L,564.6954569831819,262.047729665,86,0.46405142174325037,High,limited,Limited,38.73645516111969,655.3390339732731
29,694.1908919636363,321.013615,150,0.46242844542652917,High,local,Local,74.29249148442423,1016.1913239538244
31,1149.0113355804547,529.8795205,133,0.4611612645512473,High,local,Local,58.64591843374302,1686.783499592196
O1,1061.06591,489.113605,9,0.4609643947565896,Medium,flyer,Commuter/Express,22.45513577784599,1236.5044035071217
Y1,439.4090960213636,202.27955085,54,0.46034447780335747,Medium,local,Local,14.923324812538334,709.7021974402409
87,1576.229566795,722.5500245,179,0.4584040546639313,Medium,local,Local,43.66846509587741,2811.6391767049386
P71,356.30000446454545,161.4636395,104,0.453167660614124,Medium,flyer,Commuter/Express,27.293133025613162,582.4750415647154
Y45,228.27272787727273,103.44545534999999,98,0.4531660716194526,Medium,local,Local,25.274428252997197,276.6199792960661
P12,994.5613752345453,450.0477315,109,0.4525087568314889,Medium,flyer,Commuter/Express,23.614802602919962,1179.5733562331386
44,825.5840870613637,370.01136729999996,138,0.4481813216834664,Medium,local,Local,52.1322213742288,990.7158471359562
21,915.3363915795455,403.954574,132,0.4413181620616196,Medium,local,Local,62.43393395289331,1398.7416549030684
91,2035.6886610154545,878.22048,167,0.4314119820080546,Medium,local,Local,47.46680287414748,4478.398851088525
22,644.600001715909,277.449999,65,0.4304219644142648,Medium,local,Local,55.66483900200724,953.4311045234958
20,416.88866211772734,178.947751,95,0.42924590486815883,Medium,local,Local,45.69629889214744,699.3419544827153
26,872.2545308513636,373.7045285,85,0.4284351817986498,Medium,local,Local,67.96784000809575,966.9715697346131
27,984.449956845,418.56131799999997,106,0.4251727729679831,Medium,local,Local,71.26965042327838,1095.34659404605
P16,688.7272729972727,286.84317699999997,216,0.41648296538582963,Medium,flyer,Commuter/Express,36.91858592217772,837.0108201581029
G3,736.6886118836363,306.74090112,28,0.4163779596588243,Medium,flyer,Commuter/Express,20.868819885051046,959.6682876905701
88,858.97501357,354.39774600000004,73,0.4125821361521121,Medium,local,Local,35.784176737928185,3095.54477068825
65,281.81818088,115.874999285,68,0.41116935367040897,Medium,local,Local,26.278576512694524,475.479661522053
P10,609.138639104091,250.06136557,206,0.41051634146503213,Medium,flyer,Commuter/Express,29.757886379701652,689.8674399272227
57,839.4272456631818,344.256794,79,0.4101091497548702,Medium,local,Local,61.58985172256935,1235.2305265386783
41,1128.07043483,461.0408865,145,0.40869867010518607,Medium,local,Local,39.546323031095525,1628.3966261998867
Y47,743.9886249359091,294.16817975,111,0.39539338356865483,Medium,local,Local,47.2191452275132,1133.368663341489
52L,386.5772773786364,151.90454905,140,0.39294743364136175,Medium,limited,Limited,55.840359232500006,451.62019653052266
82,2830.28633525,1107.5226912,138,0.3913111819840562,Medium,local,Local,87.98150537596493,3898.166232197753
Y49,878.6749990454546,343.0727285,106,0.39044325703211746,Medium,local,Local,52.23272453834837,1301.7214952318216
P67,451.56363567181813,172.0636365,76,0.3810396207923401,Medium,flyer,Commuter/Express,23.90494859313316,533.9052716607065
Y46,1256.9909061245455,462.9704505,141,0.36831646772003607,Medium,local,Local,49.77040958630881,1810.7164541376499
P76,827.5250192550001,298.0545644,111,0.3601758949455462,Medium,flyer,Commuter/Express,28.077493580608763,982.9968520609822
24,1182.4772749786364,412.83863399999996,102,0.34913029005775914,Medium,local,Local,68.46762676896549,1689.7790717736377
53L,1007.8409099695455,332.1613635,152,0.32957717851524515,Medium,limited,Limited,49.430381144415705,1446.110660957401
P17,287.693182215,88.07045500000001,103,0.3061263194418798,Medium,flyer,Commuter/Express,102.06083361109621,394.52044827153526
1,1564.390916022273,466.879556795,225,0.29844174624979275,Medium,local,Local,86.43485972568479,1723.8140394629515
P69,176.87272898818182,52.043183695,146,0.29424085890865287,Medium,flyer,Commuter/Express,70.52105666182389,252.28930610452343
P7,444.54772772136363,123.41136425,112,0.27761105625840143,Low,flyer,Commuter/Express,42.37711271157263,694.273052732292
28X,1616.1886455709093,444.38407525,78,0.2749580480396358,Low,express,Commuter/Express,62.65260317058763,2035.1017425810903
58,673.42500007,184.32500270000003,117,0.27371274110827504,Low,local,Local,33.869955983865545,1141.5669631093535
77,1533.9794967113637,398.03632999999996,272,0.2594795633535741,Low,local,Local,48.05277622697486,2335.444296223101
P78,921.9045503354545,235.575001,151,0.2555307931979304,Low,flyer,Commuter/Express,53.11317275684147,1376.7036804379193
71D,3312.597734695,781.7659315,136,0.2359978464369684,Low,local,Local,42.851877647112374,4528.53961195809
86,993.90684944,234.22047815,150,0.23565636787991506,Low,local,Local,60.35700814830045,2860.6244384842207
61B,3279.6250378268182,721.89547895,148,0.22011524812249586,Low,local,Local,78.6754060931024,4469.539959376371
P68,889.5454441545454,194.061354,164,0.2181578864522684,Low,flyer,Commuter/Express,81.11167806789048,1385.079724261246
71A,4262.59772687,896.3590701,120,0.21028469668851232,Low,local,Local,47.04012816289202,5696.167240730283
71B,3746.9544913199998,783.1749672,121,0.20901640759562531,Low,local,Local,79.88899605890556,5086.311321287408
61C,4621.174995260454,965.2227270000001,167,0.208869546812217,Low,local,Local,78.46626622258201,6282.824910596651
61A,3239.461331254091,656.3136333,201,0.20259961956265168,Low,local,Local,83.56468765015299,4994.393919787942
71C,4000.720436015,777.3727234,138,0.1943081841965239,Low,local,Local,50.84372388084234,5805.021576792773
61D,4344.872823290909,776.15002975,111,0.17863584535533672,Low,local,Local,46.80736568938145,5669.544344845975
54,4180.49775272,642.5909215,222,0.15371158161295614,Low,local,Local,68.13842328102393,4122.768242988896
69,1152.0863678222727,170.04999602499998,232,0.14760177776119027,Low,local,Local,63.88464678689189,1585.9564488048193
67,1567.0954565986362,204.18408935,205,0.1302946087235677,Low,local,Local,63.84321461340566,2153.4915953008344
18,72.599998895,5.1500000749999995,45,0.07093664123119818,Low,local,Local,44.11235685208729,95.89266970951753
14,1132.131826085909,23.545455,139,0.02079744995898853,Low,local,Local,38.937020495892966,1373.915843214756
79,437.252274055,7.2613635,120,0.016606805569378526,Low,local,Local,46.644646433787706,975.8251278311063
55,916.0363687504546,12.9977275,196,0.014189095480706643,Low,local,Local,72.17873335527005,1085.176079114123
75,3003.5840455513635,37.05909,158,0.012338289669266476,Low,local,Local,73.22872298200282,3504.8004140786757
93,2225.37499312,26.152275000000003,166,0.011751850847993142,Low,local,Local,69.26570392063672,2133.355926501036
71,46.86363633681818,0.45,96,0.009602327842546434,Low,local,Local,68.41874611965466,74.46710819373862
74,615.4204650595454,4.759091,173,0.007733072379287112,Low,local,Local,68.33052558302427,963.8443189660578
59,1798.5409231831818,10.884091,334,0.006051622656845964,Low,local,Local,89.55709240990689,2097.41094563649
64,1579.813631340909,9.009091,113,0.005702628981845975,Low,local,Local,80.57156365006611,1865.0560496267026
89,227.168179595,0.8840908999999999,60,0.0038917902215714144,Low,local,Local,44.72874854403237,389.939108476065
P3,3042.9841081727272,11.7522725,43,0.0038620880301136664,Low,busway,Commuter/Express,57.750512554536975,3030.416666666668
60,155.77727501272727,0.49545455,98,0.0031805316273475735,Low,local,Local,67.66982818603897,578.4464254344689
