rank,ntd_id,agency_name,city,state,vrh_2019,vrh_2024,vrh_pct_change,upt_2019,upt_2024,upt_pct_change
1,90019,Sacramento Regional Transit District,Sacramento,CA,824189.0,1060204.0,28.636028872018432,19989131.0,16361582.0,-18.147607317196528
2,60007,Fort Worth Transportation Authority (FWTA),Fort Worth,TX,710333.0,881348.0,24.075328050365112,6016606.0,6112770.0,1.598309744729836
3,40228,Mecklenburg County (MCTS) - Services for Adults,Charlotte,NC,291143.0,355147.0,21.98369873223811,410864.0,391165.0,-4.794530550255073
4,10055,Connecticut Department of Transportation - CTTRANSIT New Haven Division - New Haven,Hartford,CT,339820.0,400719.0,17.920958154316992,7567553.0,5988941.0,-20.86027015602005
5,20100,MTA Long Island Rail Road (MTA LIRR),New York,NY,2207645.0,2600595.0,17.7995103379393,114241364.0,97220517.0,-14.899022914327247
6,70005,Kansas City Area Transportation Authority (KCATA),Kansas City,MO,765585.0,892952.0,16.636558971244213,12409231.0,12587935.0,1.44008923679477
7,40007,City of Raleigh - Transit,Raleigh,NC,539335.0,618864.0,14.745751712757377,5764895.0,4677637.0,-18.859979236395457
8,20002,Capital District Transportation Authority (CDTA),Albany,NY,853993.0,976054.0,14.292974298384179,15683929.0,16580413.0,5.715940183100803
9,30085,"Prince George's County, Maryland - Department of Public Works and Transportation - Office of Transportation",Upper Marlboro,MD,269547.0,307491.0,14.07695132945275,2644941.0,2287654.0,-13.508316442597396
10,2,Spokane Transit Authority (STA),Spokane,WA,632275.0,718595.0,13.652287374955518,10568157.0,10661102.0,0.8794816352557973
11,50012,Southwest Ohio Regional Transit Authority (SORTA),Cincinnati,OH,838364.0,945494.0,12.77845899871655,14003193.0,13578716.0,-3.0312872214215716
12,40046,Sarasota County - Sarasota County Breeze Transit,Sarasota,FL,315631.0,354622.0,12.353349322468326,2624145.0,2341949.0,-10.753826484435884
13,12,Municipality of Anchorage - Public Transportation,Anchorage,AK,277621.0,309256.0,11.395031355697155,3750404.0,3440532.0,-8.262363201404435
14,20206,County of Nassau (NICE) - Nassau County Department of Public Works,Mineola,NY,954228.0,1047986.0,9.825534358664806,24145334.0,22132047.0,-8.33820314931241
15,40,Central Puget Sound Regional Transit Authority (ST),Seattle,WA,1004085.0,1101781.0,9.729853548255377,47805583.0,41949168.0,-12.25048337973412
16,90001,Regional Transportation Commission of Washoe County (RTC),Reno,NV,435123.0,476160.0,9.431126371164016,7863626.0,6196535.0,-21.200029095992104
17,80005,"City of Colorado Springs (MMT) - Public Works, Transit Division",Colorado Springs,CO,287521.0,314057.0,9.229238907766737,3411436.0,3011152.0,-11.733592539915742
18,18,Ben Franklin Transit (BFT),Richland,WA,400455.0,434503.0,8.502328601216117,3126689.0,3526576.0,12.789471546418591
19,25,Salem Area Mass Transit District (SAMTD or SKT),Salem,OR,269199.0,292034.0,8.482572372111338,3272941.0,3524645.0,7.690453326228612
20,90147,City of Los Angeles (LADOT) - City of Los Angeles Department of Transportation,Los Angeles,CA,833048.0,902659.0,8.356181156427962,19292677.0,15785230.0,-18.180198631843574
21,80001,Utah Transit Authority (UTA),Salt Lake City,UT,2236481.0,2419374.0,8.17771311269803,44578161.0,40502990.0,-9.141631033186856
22,30068,"Fairfax County, VA - Transportation",Fairfax,VA,759778.0,819203.0,7.821363608843636,8334449.0,8721363.0,4.642346482652902
23,90027,City of Fresno (FAX) - Department of Transportation,Fresno,CA,506983.0,542661.0,7.037316833108802,10770493.0,9760432.0,-9.3780386840231
