month,total_rides,max_riders,rides_per_rider,n_weeks,system_otp
2024-05,2075,134,9.140969162995594,3,0.6548924731182796
2024-06,26002,1167,7.9009419629292,5,0.6715376344086021
2024-07,57559,1672,9.397387755102041,4,0.6861698924731183
2024-08,72733,2078,9.423814459704587,4,0.6644182795698925
2024-09,109903,2395,9.63216476774759,5,0.6550150537634409
2024-10,97417,2562,9.765136327185244,4,0.6446225806451613
2024-11,93780,2618,9.168051617948969,4,0.6765315217391304
2024-12,152199,2663,11.933432648580837,5,0.6940172043010753
2025-01,102767,2793,9.777090666920369,4,0.6933537634408602
2025-02,99600,2847,8.943965517241379,4,0.7081510869565217
2025-03,129020,2876,9.164003125221962,5,0.696625
2025-04,126595,2930,11.096064510474188,4,0.6731282608695652
2025-05,105180,2992,9.008221993833505,4,0.6500263736263736
2025-06,127585,3058,8.5,5,0.649593670886076
2025-07,93307,3146,7.599527610359994,4,0.6381623376623377
2025-08,135806,3293,8.396562384073203,5,0.6600846153846154
2025-09,94619,3354,7.212913553895411,4,0.6554170454545455
2025-10,107638,3440,7.986199732898056,4,0.6541478260869565
2025-11,145603,3447,8.741774735830933,5,0.6651369565217391
2025-12,106143,3380,8.386110452713913,4,
2026-01,108028,3411,8.574331296134615,4,
2026-02,119306,3373,8.989978147841157,4,
2026-03,61508,3375,9.209163048360534,2,
