route_id,mode,stop_count,walkshed_area_km2,population_served,population_per_stop
RED,RAIL,59,27.69851520475932,58425,990
69,BUS,209,23.36177868777525,55088,264
SLVR,RAIL,58,33.56842879522865,52516,905
54,BUS,211,16.268992561827666,49357,234
61A,BUS,187,15.595924999258889,48749,261
61C,BUS,158,17.301901557171597,48421,306
67,BUS,191,21.53577341592285,46573,244
BLUE,RAIL,45,26.032239004261076,46259,1028
61B,BUS,137,13.622210872400167,43859,320
75,BUS,150,13.801441183896175,43412,289
93,BUS,173,13.828649302404859,43215,250
71B,BUS,107,9.20276804789213,42340,396
77,BUS,258,25.747732314197115,39922,155
28X,BUS,74,12.590148757737335,37495,507
71C,BUS,100,8.161082888420257,35232,352
64,BUS,110,9.911274562643417,35173,320
58,BUS,102,9.078178926432772,34310,336
59,BUS,334,30.254783016931167,32704,98
82,BUS,136,9.828415276787526,32026,235
87,BUS,175,12.36436504154235,32004,183
P69,BUS,128,17.405216315168417,31362,245
P68,BUS,175,19.185272664232635,30752,176
86,BUS,142,10.77784158980448,30691,216
51,BUS,141,15.458438733414017,30600,217
P16,BUS,199,26.382278529036533,30559,154
61D,BUS,75,8.102061383258073,30485,406
71D,BUS,93,7.42817107544687,29763,320
74,BUS,171,11.142508031347575,29683,174
41,BUS,138,14.197630969816439,29532,214
P78,BUS,149,16.824061965030708,29413,197
83,BUS,106,8.368328384679382,29355,277
65,BUS,70,8.285795511332834,29135,416
71A,BUS,72,5.725463772449376,28795,400
P3,BUS,40,6.708950185450903,27615,690
P17,BUS,177,14.022575883069338,27427,155
P71,BUS,111,9.978824673445818,26453,238
P7,BUS,101,13.302313207430473,26361,261
Y46,BUS,137,19.26710120768158,26029,190
P10,BUS,189,22.663216997607552,25683,136
P76,BUS,100,17.01018678275217,25570,256
2,BUS,187,20.421142406386405,25322,135
81,BUS,93,6.614215490547649,24973,269
53L,BUS,146,15.757417988567004,24702,169
13,BUS,133,11.317672148093452,23869,179
1,BUS,221,23.66646947166205,23773,108
52L,BUS,136,13.365940406000691,23732,174
38,BUS,131,14.841987598034896,22639,173
16,BUS,95,9.091941040873484,21692,228
56,BUS,142,16.998199792843042,21616,152
44,BUS,133,11.366520721630689,21581,162
P67,BUS,69,10.947121996605713,21205,307
88,BUS,70,7.63519649306438,21084,301
12,BUS,108,16.713645137561635,20970,194
91,BUS,158,15.188706777024494,20553,130
Y49,BUS,103,13.43068217396966,20280,197
Y47,BUS,104,14.34541553160262,20129,194
P12,BUS,62,12.140781964204974,20016,323
36,BUS,78,10.353289804544925,19999,256
Y45,BUS,91,12.88764850359129,19563,215
51L,BUS,50,7.217551724160341,18753,375
17,BUS,101,9.369169419707678,18668,185
14,BUS,138,16.505015393757155,18403,133
48,BUS,89,7.845610060980633,17973,202
8,BUS,119,9.991229552532996,17886,150
31,BUS,128,13.528871343327783,17690,138
P1,BUS,24,6.138319108695194,17386,724
57,BUS,79,9.085739410438913,16766,212
Y1,BUS,47,9.582313883307144,16695,355
55,BUS,199,26.265347064158274,16664,84
19L,BUS,81,7.748226818957475,16457,203
39,BUS,69,7.434548340412814,16376,237
29,BUS,131,15.771536830111328,16178,123
G31,BUS,78,10.989825530565403,15756,202
89,BUS,54,4.285452398259553,15712,291
21,BUS,133,18.618623179375817,15708,118
71,BUS,95,6.381328869536487,15352,162
15,BUS,95,7.737905790093949,15154,160
P13,BUS,123,13.153036372991737,14811,120
27,BUS,105,8.77231959017128,14790,141
24,BUS,98,14.330317504344924,14026,143
O5,BUS,127,13.266411188052777,12991,102
20,BUS,92,13.619010372640934,12868,140
26,BUS,81,7.085743289776474,12724,157
O12,BUS,64,12.523201781317159,12717,199
79,BUS,114,8.4566605214824,12591,110
43,BUS,65,5.077954215701412,12218,188
40,BUS,77,5.968671910962705,11552,150
60,BUS,88,7.867370716805686,11488,131
11,BUS,55,5.283674182020517,11234,204
4,BUS,96,8.454442068758619,10844,113
53,BUS,110,10.08715248547755,10681,97
G2,BUS,24,5.833183194741545,10534,439
22,BUS,65,9.1841267091448,10415,160
6,BUS,80,6.003785888453662,10237,128
7,BUS,67,6.985424176146879,9712,145
G3,BUS,34,7.675689639116003,9707,286
MI,INCLINE,2,2.272662128364463,4694,2347
18,BUS,43,3.2284782253381947,4169,97
O1,BUS,7,1.7783440132752444,3015,431
DQI,INCLINE,2,2.353438508750823,2686,1343
