route_id,mode,population_served,trips_7d
RED,RAIL,58425,24721
69,BUS,55088,26440
SLVR,RAIL,52516,16699
54,BUS,49357,51362
61A,BUS,48749,70070
61C,BUS,48421,60830
67,BUS,46573,28360
BLUE,RAIL,46259,11680
61B,BUS,43859,51646
75,BUS,43412,35941
93,BUS,43215,29583
71B,BUS,42340,41785
77,BUS,39922,32262
28X,BUS,37495,17982
71C,BUS,35232,39600
64,BUS,35173,26429
58,BUS,34310,12342
59,BUS,32704,53784
82,BUS,32026,50048
87,BUS,32004,30410
P69,BUS,31362,2560
P68,BUS,30752,24735
86,BUS,30691,35074
51,BUS,30600,70880
P16,BUS,30559,6200
61D,BUS,30485,27360
71D,BUS,29763,35340
74,BUS,29683,25308
41,BUS,29532,19320
P78,BUS,29413,16390
83,BUS,29355,19080
65,BUS,29135,2650
71A,BUS,28795,28872
P3,BUS,27615,9270
P17,BUS,27427,8505
P71,BUS,26453,3285
P7,BUS,26361,5800
P10,BUS,25683,4725
P76,BUS,25570,3750
2,BUS,25322,19530
81,BUS,24973,17763
53L,BUS,24702,13110
13,BUS,23869,33649
1,BUS,23773,44863
52L,BUS,23732,5090
38,BUS,22639,14872
16,BUS,21692,33915
56,BUS,21616,22436
44,BUS,21581,16255
P67,BUS,21205,1380
88,BUS,21084,16240
12,BUS,20970,17746
91,BUS,20553,58373
P12,BUS,20016,2730
36,BUS,19999,9048
51L,BUS,18753,1750
17,BUS,18668,20705
14,BUS,18403,20976
48,BUS,17973,22161
8,BUS,17886,37961
31,BUS,17690,21632
P1,BUS,17386,14064
57,BUS,16766,12474
55,BUS,16664,23420
19L,BUS,16457,2625
39,BUS,16376,14035
29,BUS,16178,17098
G31,BUS,15756,1950
89,BUS,15712,5940
21,BUS,15708,22757
71,BUS,15352,2850
15,BUS,15154,20740
P13,BUS,14811,1845
27,BUS,14790,19215
24,BUS,14026,18424
O5,BUS,12991,1905
20,BUS,12868,10304
26,BUS,12724,15147
O12,BUS,12717,2360
79,BUS,12591,18504
43,BUS,12218,8060
40,BUS,11552,12659
60,BUS,11488,8129
11,BUS,11234,8250
4,BUS,10844,12288
G2,BUS,10534,6744
22,BUS,10415,10205
6,BUS,10237,18572
7,BUS,9712,2010
G3,BUS,9707,990
18,BUS,4169,2465
O1,BUS,3015,350
