year,upt,vrh,productivity
1991,85108033.0,2170267.0,39.21546657623232
1992,75752634.0,1973297.0,38.3888659436466
1993,77577155.0,2064192.0,37.582334879701115
1994,74127172.0,1957430.0,37.869641315398255
1995,73549183.0,1970652.0,37.32225831856665
1996,72921993.0,1996535.0,36.52427480610157
1997,72439474.0,1932452.0,37.48578179432141
1998,73730223.0,1977271.0,37.28888098798799
1999,74618454.0,2223000.0,33.56655600539811
2000,75130612.0,2350320.0,31.9661203580789
2001,74827040.0,2396401.0,31.224757459206536
2002,73807448.0,2437082.0,30.28517218542503
2003,68242432.0,2303841.0,29.62115527937909
2004,66021099.0,2296323.0,28.750789414206974
2005,67179046.0,2281880.0,29.440218591687557
2006,68498788.0,2212695.0,30.957175751741655
2007,68525198.0,2190548.0,31.282217052536627
2008,67684550.0,2587521.0,26.158067895874083
2009,68677215.0,2603568.0,26.37811457200273
2010,66145567.0,2587194.0,25.56652767438391
2011,63837165.0,2505436.0,25.479463454664177
2012,65854009.0,2354962.0,27.963936997709517
2013,63553898.0,2288220.0,27.774382707956402
2014,63650308.0,2306924.0,27.590986092302998
2015,65202493.0,2358763.0,27.6426639725992
2016,63823513.0,2404917.0,26.53875913389111
2017,63230618.0,2405478.0,26.286092826456944
2018,63463854.0,2425606.0,26.164123109853787
2019,64007925.0,2382972.0,26.86054431189288
2020,51787150.0,2173774.0,23.82361275827202
2021,22468100.0,2088408.0,10.758482059061256
2022,32328532.0,2050337.0,15.767423599144921
2023,37908532.0,2025498.0,18.715660050022265
2024,37876514.0,2070196.0,18.29610046584961
