geoid,area_label,population,pop_density,boardings,rail_served,expected_boardings,boardings_resid
42003980600,Chateau,12,12.222846945510549,527.6999999999999,false,-0.7391807901666649,3.3068697355485286
42003980700,South Shore,47,75.73682259857873,824.05,false,1.1056355619374818,2.5930970618639306
42003020100,Central Business District,4310,3018.437681867874,36201.6,true,142.22770324468414,2.4027127340674346
42003452000,"Findlay township (Allegheny, PA)",6375,76.30989252239424,306.65,false,1.123889250970056,2.160925052469688
42003980500,Squirrel Hill South,19,11.791033105497476,25.3,false,-0.7497044597788782,2.0215026370941303
42003488600,"West Mifflin borough (Allegheny, PA)",5041,398.9791326236396,763.5500000000001,false,13.115931866769746,1.7336963391563263
42003459201,"Robinson township (Allegheny, PA)",7371,311.85332003842257,557.45,false,9.646040143746596,1.7197961958105519
42003419000,"Harmar township (Allegheny, PA)",3108,204.6202434599045,237.95,false,5.571123908162023,1.5606673783307827
42003551900,"McKeesport city (Allegheny, PA)",1395,770.4126208498508,888.6,false,28.987322763629038,1.4722570800984562
42003521500,"Monroeville municipality (Allegheny, PA)",4157,396.4868045338175,387.84999999999997,false,13.01500737951429,1.4431887725197408
42003475301,"Bethel Park municipality (Allegheny, PA)",4605,1359.3016525034618,0.0,true,56.45150792897786,-1.7593014320954916
42003525100,,1977,1456.0178758046948,0.0,false,61.15592449207882,-1.7934825304288369
42003479000,,1962,1500.0068807655082,0.0,false,63.3108470319858,-1.8082842296713215
42003552300,,1586,1908.587560967098,0.0,false,83.73821710896895,-1.928079322210614
42003476200,,3322,1934.5615061859962,0.0,false,85.06000299229427,-1.9348013568468954
42003476100,"Castle Shannon borough (Allegheny, PA)",4961,2049.1540888699255,0.0,true,90.92186794647404,-1.9634188410784392
42003110600,Highland Park,2346,3679.480543923211,0.7,false,178.68313254300543,-2.024058388967663
42003473401,"Mount Lebanon township (Allegheny, PA)",3830,2507.113853735109,0.0,true,114.80456021826046,-2.063725661624855
42003552000,,1801,2816.408039820663,0.0,false,131.30490664567785,-2.1215759506850698
42003459202,,633,3241.3499992319075,0.0,false,154.4030400359828,-2.191459510333224
