year,mode,mode_name,upt,vrh,productivity
2002,DR,Paratransit,1905884,0.0,
2003,DR,Paratransit,1843408,0.0,
2004,DR,Paratransit,1825366,0.0,
2005,DR,Paratransit,1735809,0.0,
2006,DR,Paratransit,1754817,0.0,
2007,DR,Paratransit,1694948,725702.0,2.335597807364455
2008,DR,Paratransit,1707261,711502.0,2.3995167968607256
2009,DR,Paratransit,1679479,699148.0,2.4021795099177856
2010,DR,Paratransit,1668968,700538.0,2.382408948550971
2011,DR,Paratransit,1737664,688238.0,2.5248010136028527
2012,DR,Paratransit,1752741,689821.0,2.540863499371576
2013,DR,Paratransit,1676617,664422.0,2.5234218614073587
2014,DR,Paratransit,1540176,649796.0,2.3702454308736898
2015,DR,Paratransit,1517110,642024.0,2.363011351600563
2016,DR,Paratransit,1494399,625313.0,2.3898415673430744
2017,DR,Paratransit,1486493,619594.0,2.399140404845754
2018,DR,Paratransit,1428714,596534.0,2.3950252626002877
2019,DR,Paratransit,1379961,571682.0,2.413861202556666
2020,DR,Paratransit,724719,381559.0,1.8993628770386755
2021,DR,Paratransit,772937,435809.0,1.7735682374618238
2022,DR,Paratransit,873755,483208.0,1.8082378603003262
2023,DR,Paratransit,953016,504928.0,1.8874294948982826
2024,DR,Paratransit,902635,472405.0,1.9107227908256688
2002,IP,Incline,1166806,0.0,
2003,IP,Incline,1100878,0.0,
2004,IP,Incline,1039652,0.0,
2005,IP,Incline,1019824,0.0,
2006,IP,Incline,1087035,0.0,
2007,IP,Incline,1084601,13718.0,79.06407639597609
2008,IP,Incline,1142578,14668.0,77.89596400327243
2009,IP,Incline,1158747,14656.0,79.06297762008734
2010,IP,Incline,1127122,13931.0,80.90747254324887
2011,IP,Incline,1131963,14058.0,80.52091335894153
2012,IP,Incline,1253355,13930.0,89.97523330940416
2013,IP,Incline,753909,8269.0,91.1729350586528
2014,IP,Incline,756011,8418.0,89.80886196246139
2015,IP,Incline,574198,6218.0,92.34448375683499
2016,IP,Incline,571059,6038.0,94.57750910897649
2017,IP,Incline,617322,6087.0,101.41646131099064
2018,IP,Incline,592720,6325.0,93.7106719367589
2019,IP,Incline,371968,3986.0,93.31861515303562
2020,IP,Incline,175256,4958.0,35.34812424364663
2021,IP,Incline,310326,5725.0,54.20541484716157
2022,IP,Incline,189534,3310.0,57.26102719033233
2023,IP,Incline,299086,8196.0,36.49170326988775
2024,IP,Incline,256286,7277.0,35.21863405249416
2002,LR,Light Rail,7526179,103245.0,72.89630490580657
2003,LR,Light Rail,6812069,105627.0,64.49173980137654
2004,LR,Light Rail,6876373,124189.0,55.37022602645967
2005,LR,Light Rail,7316528,110458.0,66.23809954914991
2006,LR,Light Rail,7466749,114389.0,65.27506141324778
2007,LR,Light Rail,6921152,108259.0,63.931423715349304
2008,LR,Light Rail,7303281,100290.0,72.82162728088544
2009,LR,Light Rail,7149450,96511.0,74.07912051475998
2010,LR,Light Rail,7012931,148045.0,47.37026579756155
2011,LR,Light Rail,6751023,120795.0,55.88826524276667
2012,LR,Light Rail,7739265,151673.0,51.02599012348935
2013,LR,Light Rail,8103770,158890.0,51.00239159166719
2014,LR,Light Rail,8019023,163318.0,49.100668634198314
2015,LR,Light Rail,8133253,169997.0,47.84350900310005
2016,LR,Light Rail,7783104,170502.0,45.64816834993138
2017,LR,Light Rail,7751500,168919.0,45.88885797334817
2018,LR,Light Rail,7328010,169537.0,43.22366209146086
2019,LR,Light Rail,7423997,166537.0,44.57866420074818
2020,LR,Light Rail,2434303,123947.0,19.639870267130306
2021,LR,Light Rail,2018734,120930.0,16.69340941040271
2022,LR,Light Rail,2535290,108545.0,23.35704085863006
2023,LR,Light Rail,3491820,113192.0,30.848646547459186
2024,LR,Light Rail,3236727,125906.0,25.7074881260623
2002,MB,Motor Bus,63246570,2226123.0,28.411085101766613
2003,MB,Motor Bus,58202726,2163312.0,26.904452986901564
2004,MB,Motor Bus,58089241,2237312.0,25.96385349919904
2005,MB,Motor Bus,59596300,2092338.0,28.483113149022767
2006,MB,Motor Bus,60115303,2050867.0,29.31214115786153
2007,MB,Motor Bus,59319931,1970805.0,30.099340624770083
2008,MB,Motor Bus,58370722,1782325.0,32.74976337087793
2009,MB,Motor Bus,57632643,1756143.0,32.81773921599778
2010,MB,Motor Bus,55290371,1757508.0,31.4595273535028
2011,MB,Motor Bus,53926472,1393528.0,38.69780298637702
2012,MB,Motor Bus,54713327,1467593.0,37.280994798966745
2013,MB,Motor Bus,53304305,1463565.0,36.420866172667424
2014,MB,Motor Bus,54483087,1498797.0,36.35121167176075
2015,MB,Motor Bus,53782835,1572972.0,34.19185783345158
2016,MB,Motor Bus,53760422,1603710.0,33.522533375735016
2017,MB,Motor Bus,53136626,1619364.0,32.8132686659701
2018,MB,Motor Bus,54872268,1637124.0,33.51747821179092
2019,MB,Motor Bus,54973536,1630325.0,33.71937251774953
2020,MB,Motor Bus,26809606,1526296.0,17.565142017013738
2021,MB,Motor Bus,24257315,1515487.0,16.00628378864352
2022,MB,Motor Bus,31556605,1411512.0,22.35659703920335
2023,MB,Motor Bus,34483607,1442338.0,23.908131797123836
2024,MB,Motor Bus,32545258,1465134.0,22.213161390016204
