route_id,near_side_count,far_side_count,total_signalized,near_side_fraction,mean_otp
58,29,10,39,0.7435897435897436,0.6076132530120482
P3,12,1,13,0.9230769230769231,0.8470578313253012
52L,27,6,33,0.8181818181818182,0.6749771084337349
57,26,8,34,0.7647058823529411,0.661587951807229
21,38,9,47,0.8085106382978723,0.7360734939759036
G31,25,9,34,0.7352941176470589,0.7341548780487804
P13,18,3,21,0.8571428571428571,0.6792658536585365
64,57,3,60,0.95,0.680559756097561
P71,13,1,14,0.9285714285714286,0.6818679012345679
Y46,44,9,53,0.8301886792452831,
59,59,12,71,0.8309859154929577,0.689755421686747
61D,37,6,43,0.8604651162790697,0.6678686746987952
71D,41,1,42,0.9761904761904762,0.6559621951219512
26,9,1,10,0.9,0.80436125
36,24,5,29,0.8275862068965517,0.7328187500000001
O1,4,0,4,1.0,0.7058060240963855
P76,30,8,38,0.7894736842105263,0.6996135802469136
P78,28,3,31,0.9032258064516129,0.5961602409638553
31,34,7,41,0.8292682926829268,0.6748740740740741
8,23,4,27,0.8518518518518519,0.7659469879518073
13,28,7,35,0.8,0.712666265060241
88,42,5,47,0.8936170212765957,0.6430156626506024
74,42,9,51,0.8235294117647058,0.6572341463414634
91,59,7,66,0.8939393939393939,0.6465373493975903
51,51,4,55,0.9272727272727272,0.7006710843373495
Y1,17,3,20,0.85,
53,18,5,23,0.782608695652174,0.71645
P12,19,2,21,0.9047619047619048,0.6679280487804878
18,9,3,12,0.75,0.8840963855421686
28X,38,5,43,0.8837209302325582,0.6166469879518072
61C,84,12,96,0.875,0.5677506024096386
83,30,5,35,0.8571428571428571,0.6541397590361445
75,50,7,57,0.8771929824561403,0.6881614457831325
53L,34,8,42,0.8095238095238095,0.6500780487804878
O12,34,8,42,0.8095238095238095,0.6471686746987952
P17,26,4,30,0.8666666666666667,0.689380487804878
19L,16,3,19,0.8421052631578947,0.6602963855421686
29,34,4,38,0.8947368421052632,0.6510407407407407
G3,7,4,11,0.6363636363636364,0.7420414634146342
12,33,10,43,0.7674418604651163,0.654610843373494
4,7,2,9,0.7777777777777778,0.7532843373493976
1,61,15,76,0.8026315789473685,0.6164829268292683
14,20,4,24,0.8333333333333334,0.7563674698795181
89,17,4,21,0.8095238095238095,0.722351219512195
G2,8,1,9,0.8888888888888888,0.8168280487804878
48,32,1,33,0.9696969696969697,0.7499313253012049
Y45,4,3,7,0.5714285714285714,
P67,19,4,23,0.8260869565217391,0.6799807228915663
79,10,3,13,0.7692307692307693,0.709910975609756
69,63,18,81,0.7777777777777778,0.6026573170731707
81,27,2,29,0.9310344827586207,0.6691469879518073
71A,40,2,42,0.9523809523809523,0.6446518072289156
22,8,3,11,0.7272727272727273,0.7232444444444445
P7,34,3,37,0.918918918918919,0.7169891566265061
15,28,4,32,0.875,0.6856385542168675
86,69,3,72,0.9583333333333334,0.628733734939759
82,58,7,65,0.8923076923076924,0.6079463414634146
P16,23,4,27,0.8518518518518519,0.6379180722891566
54,75,11,86,0.872093023255814,0.6672096385542169
61A,56,8,64,0.875,0.5899975903614457
67,55,12,67,0.8208955223880597,0.6035817073170732
71B,50,4,54,0.9259259259259259,0.5879493975903615
56,48,13,61,0.7868852459016393,0.6623096385542169
65,19,6,25,0.76,0.6150641975308642
77,73,14,87,0.8390804597701149,0.5577253012048192
O5,12,2,14,0.8571428571428571,0.6921698795180723
11,12,1,13,0.9230769230769231,0.7557734939759037
7,6,1,7,0.8571428571428571,0.7074795180722891
40,11,3,14,0.7857142857142857,0.7615112500000001
41,38,10,48,0.7916666666666666,0.76378875
P1,5,0,5,1.0,0.8454204819277108
87,58,4,62,0.9354838709677419,0.6755170731707317
71,11,0,11,1.0,0.7087638554216867
51L,17,1,18,0.9444444444444444,0.7352228915662651
55,34,6,40,0.85,0.7121536585365854
Y47,18,4,22,0.8181818181818182,
60,17,5,22,0.7727272727272727,0.7833819277108435
43,11,1,12,0.9166666666666666,0.79543875
61B,57,5,62,0.9193548387096774,0.5842313253012048
71C,54,5,59,0.9152542372881356,0.6080518072289156
93,57,9,66,0.8636363636363636,0.6605530120481927
20,13,5,18,0.7222222222222222,0.698530487804878
24,16,5,21,0.7619047619047619,0.6971098765432099
27,9,1,10,0.9,0.7843629629629629
38,39,6,45,0.8666666666666667,0.713946913580247
P10,47,12,59,0.7966101694915254,0.6431036144578314
P69,26,9,35,0.7428571428571429,0.6454650602409638
2,29,6,35,0.8285714285714286,0.6322256097560975
17,26,4,30,0.8666666666666667,0.6683573170731708
6,9,1,10,0.9,0.7247855421686747
16,36,6,42,0.8571428571428571,0.7138240963855421
39,18,2,20,0.9,0.789404938271605
44,12,4,16,0.75,0.72646625
Y49,16,2,18,0.8888888888888888,
P68,24,4,28,0.8571428571428571,0.6795807228915662
