stop_id,stop_code,stop_name,classification,auth_class,auth_has_signal,heur_has_signal
10005,10005,KEEPORT DR + YOUNGRIDGE,mid_block,none,0,0
10016,10016,BROWNSVILLE RD + NOBLES LN,near_side,nearside,1,1
10018,10018,BROWNSVILLE RD + THE BOULEVARD,mid_block,none,0,0
10019,10019,BROWNSVILLE RD + E MEYERS AVE,mid_block,none,0,0
10022,10022,BROWNSVILLE RD + CRAILO AVE,near_side,nearside,1,1
10023,10023,BROWNSVILLE RD + AGNEW RD,mid_block,none,0,0
10025,10025,BROWNSVILLE RD + WOODFORD AVE,mid_block,none,0,0
10026,10026,BROWNSVILLE RD + PARKFIELD ST,near_side,nearside,1,1
10027,10027,BROWNSVILLE RD + OVERBROOK BLVD,mid_block,none,0,0
10028,10028,BROWNSVILLE RD + #2336,mid_block,none,0,0
10029,10029,BROWNSVILLE RD + BISCAYNE DR,near_side,nearside,1,1
10030,10030,BROWNSVILLE RD + CLIFTON BLVD,mid_block,none,0,0
10032,10032,BROWNSVILLE RD + CHURCHVIEW AVE,mid_block,none,0,0
10033,10033,BROWNSVILLE RD + MAYTIDE ST,near_side,nearside,1,1
10035,10035,LEBANON CHURCH RD + OTT DR FS,mid_block,none,0,0
10038,10038,LEBANON CHURCH RD + REGIS AVE,near_side,nearside,1,1
1007,1007,CENTER AVE + COLUMBIA AVE FS,mid_block,none,0,0
10075,10075,HWY RT 885 + HAMPTON RD,mid_block,none,0,0
10078,10078,HWY RT 885 + LEWIS RUN,near_side,nearside,1,1
1008,1008,CENTER AVE + BRONX AVE,mid_block,none,0,0
1009,1009,CENTER AVE + CHALFONTE AVE,mid_block,none,0,0
1010,1010,CENTER AVE + WAVERLY AVE,mid_block,none,0,0
1011,1011,CENTER AVE + PERRY HWY,near_side,nearside,1,1
10115,10115,LEBANON CHURCH RD + BOMBARDIER,near_side,nearside,1,1
10120,10120,MIFFLIN RD + SLATE,mid_block,none,0,0
10127,10127,E CARSON ST + 27TH ST,near_side,nearside,1,1
10128,10128,E CARSON ST + 26TH,near_side,nearside,1,1
10129,10129,SOUTH CAMPUS DRVWY + LIBRARY ENTRANCE,mid_block,none,0,0
1013,1013,CENTER AVE + PERRY HWY FS (STEPS),mid_block,none,0,0
10130,10130,HWY RT 885 + GORDENS,mid_block,none,0,0
10131,10131,HWY RT 885 + HUSTON,mid_block,none,0,0
10144,10144,HWY RT 51 + PRIMANTI BROTHERS,mid_block,none,0,0
10147,10147,FOURTH AVE + PPG ENTRANCE,mid_block,none,0,0
1015,1015,CENTER AVE + WAVERLY AVE,mid_block,none,0,0
10157,10157,BALDWIN ST + HOLY ANGEL SCHOOL,mid_block,none,0,0
10158,10158,BALDWIN ST + RAMP ST BRIDGE,mid_block,none,0,0
10159,10159,MIFFLIN RD + HAYS SCHOOL,mid_block,none,0,0
1016,1016,CENTER AVE + CHALFONTE AVE,mid_block,none,0,0
10160,10160,MIFFLIN RD + #669,mid_block,none,0,0
1018,1018,CENTER AVE + COLUMBIA AVE FS,mid_block,none,0,0
1019,1019,CENTER AVE + CORNELL AVE,mid_block,none,0,0
10197,10197,HWY RT 885 + SPARTZ DR,mid_block,none,0,0
10214,10214,HWY RT 885 + HUSTON,mid_block,none,0,0
10215,10215,HWY RT 885 + GORDENS,mid_block,none,0,0
10222,10222,HWY RT 51 + PRIMANTI BROTHERS,mid_block,none,0,0
10246,10246,WALNUT ST + LINDEN,mid_block,none,0,0
10248,10248,WALNUT ST + #4913,mid_block,none,0,0
10249,10249,WALNUT ST + LARCH FS,mid_block,none,0,0
10251,10251,WALNUT ST + GRANT,mid_block,none,0,0
10252,10252,OLYMPIA DRIVEWAY AT LIFE SPAN,mid_block,none,0,0
10254,10254,WALNUT ST + #3800,mid_block,none,0,0
10255,10255,WALNUT ST + EDEN PARK FS,far_side,farside,1,1
10258,10258,WALNUT ST + 33RD FS,mid_block,none,0,0
10259,10259,WALNUT ST + 31ST FS,mid_block,none,0,0
10260,10260,WALNUT ST + 30TH FS,mid_block,none,0,0
10262,10262,WALNUT ST + 28TH,near_side,nearside,1,1
10263,10263,WALNUT ST + 27TH FS,mid_block,none,0,0
10265,10265,WALNUT ST + 25TH FS,mid_block,none,0,0
10267,10267,WALNUT ST + SUNOCO STATION,mid_block,none,0,0
10271,10271,WALNUT ST + 12TH,mid_block,none,0,0
10364,10364,WALNUT ST + 9TH,near_side,nearside,1,1
10370,10370,WALNUT ST + 13TH,mid_block,none,0,0
10371,10371,WALNUT ST + 14TH,mid_block,none,0,0
10372,10372,WALNUT ST + 15TH FS,mid_block,none,0,0
10373,10373,WALNUT ST + SUNOCO STATION,mid_block,none,0,0
10375,10375,WALNUT ST + 25TH,mid_block,none,0,0
10377,10377,WALNUT ST + 28TH,near_side,nearside,1,1
10378,10378,WALNUT ST + #2906,mid_block,none,0,0
10380,10380,WALNUT ST + 33RD,mid_block,none,0,0
10382,10382,WALNUT ST + EDEN PARK,far_side,nearside,1,1
10383,10383,WALNUT ST + #3800,mid_block,none,0,0
10384,10384,WALNUT ST + LONG RUN,mid_block,none,0,0
10386,10386,WALNUT ST + GRANT,mid_block,none,0,0
10388,10388,WALNUT ST + LARCH,mid_block,none,0,0
10389,10389,WALNUT ST + WORTHINGTON,mid_block,none,0,0
10390,10390,WALNUT ST + CENTER,near_side,nearside,1,1
10391,10391,WALNUT ST + LINDEN,mid_block,none,0,0
1043,1043,BABCOCK BLVD + THOMPSON,near_side,nearside,1,1
1044,1044,THOMPSON RUN RD + RADCLIFFE,mid_block,none,0,0
1045,1045,THOMPSON RUN RD + WOODBRIDGE DR,mid_block,none,0,0
1046,1046,THOMPSON RUN RD + #218,mid_block,none,0,0
10464,10464,WALNUT ST + 5TH,near_side,nearside,1,1
1047,1047,THOMPSON RUN RD + MILLER,mid_block,none,0,0
1048,1048,THOMPSON RUN RD + LOIRE VALLEY,mid_block,none,0,0
1050,1050,THOMPSON RUN RD + SIEBERT,mid_block,none,0,0
10518,10518,LONG RUN RD + SUNSET,mid_block,none,0,0
1052,1052,THOMPSON RUN RD + ABARD,mid_block,none,0,0
1053,1053,THOMPSON RUN RD + HODIL,mid_block,none,0,0
1055,1055,THOMPSON RUN RD + CHERRINGTON,mid_block,none,0,0
10550,10550,EDEN PARK BLVD + MCKEESPORT HIGH SCHOOL DRVWY,mid_block,none,0,0
10552,10552,EDEN PARK BLVD + MAYFAIR,mid_block,none,0,0
1056,1056,THOMPSON RUN RD + BERKLEY MEADOWS,mid_block,none,0,0
1057,1057,THOMPSON RUN RD + WHITE OAK,mid_block,none,0,0
10579,10579,VERSAILLES AVE + CRAIG,mid_block,none,0,0
1058,1058,THOMPSON RUN RD + SUTTER,mid_block,none,0,0
10582,10582,VERSAILLES AVE + HAMILTON,mid_block,none,0,0
10583,10583,VERSAILLES AVE + MAPLE,mid_block,none,0,0
10584,10584,VERSAILLES AVE + PACKER,mid_block,none,0,0
10585,10585,VERSAILLES AVE + EVANS,near_side,nearside,1,1
10588,10588,EVANS AVE + COLFAX,mid_block,none,0,0
1059,1059,AMITY DR + SUTTER,mid_block,none,0,0
10592,10592,MCKEESPORT TRANSPORTATION CENTER + BAY #4,mid_block,none,0,0
10593,10593,LONG RUN RD + COOLSPRINGS,near_side,nearside,1,1
1060,1060,AMITY DR + BLAZE,mid_block,none,0,0
1061,1061,AMITY DR + #212,mid_block,none,0,0
1062,1062,AMITY DR + LINGAY,mid_block,none,0,0
10628,10628,EDEN PARK BLVD + VICTORY DR,mid_block,none,0,0
10629,10629,EDEN PARK BLVD + ONEIL,near_side,nearside,1,1
1063,1063,AMITY DR + CARRIAGE HILL,mid_block,none,0,0
1066,1066,MCINTYRE DR + CHARTERWOOD,mid_block,none,0,0
10666,10666,MCCLEARY ST + FORD,mid_block,none,0,0
10667,10667,MCCLEARY ST + VERSAILLES,mid_block,none,0,0
10668,10668,EVANS AVE + LAMONT,mid_block,none,0,0
1068,1068,LAURELWOOD DR + FENWICK,mid_block,none,0,0
1069,1069,LAURELWOOD DR + #126,mid_block,none,0,0
1070,1070,LAURELWOOD DR + ENNERDALE,mid_block,none,0,0
10700,10700,LINCOLN HWY + LINCOLN SQ SR CITIZEN HOME,mid_block,none,0,0
1071,1071,REMINGTON DR + #210,mid_block,none,0,0
1072,1072,REMINGTON DR + WALDWICK,mid_block,none,0,0
1073,1073,REMINGTON DR + BALMORAL #1,mid_block,none,0,0
1074,1074,REMINGTON DR + REGENCY,mid_block,none,0,0
10748,10748,LINCOLN HWY + LINCOLN SQ SR CITIZEN HOME,mid_block,none,0,0
1075,1075,REMINGTON DR + BALMORAL #2,mid_block,none,0,0
1077,1077,REMINGTON DR + HAZLETT,mid_block,none,0,0
1078,1078,REMINGTON DR + PEEBLES,near_side,nearside,1,1
10815,10815,W 5TH AVE + RAMP #1,near_side,nearside,1,1
10828,10828,WALNUT ST + 9TH,near_side,nearside,1,1
1083,1083,HEMLOCK DR + SAMPLE FS,mid_block,none,0,0
10831,10831,WALNUT ST + 7TH,mid_block,none,0,0
1085,1085,HEMLOCK DR + #4424,mid_block,none,0,0
10881,10881,DUQUESNE BLVD + CENTER,near_side,nearside,1,1
10884,10884,2ND ST + KENNEDY,mid_block,none,0,0
10885,10885,2ND ST + GRANT,mid_block,none,0,0
10886,10886,GRANT AVE + 1ST,mid_block,none,0,0
10888,10888,DUQUESNE BLVD + OAKMONT,mid_block,none,0,0
10889,10889,DUQUESNE BLVD + FAIRMONT,mid_block,none,0,0
10890,10890,DUQUESNE BLVD + COMMONWEALTH,near_side,nearside,1,1
10892,10892,KENNYWOOD BLVD + HOFFMAN,near_side,nearside,1,1
10894,10894,KENNYWOOD BLVD + GLEN,near_side,nearside,1,1
1090,1090,REMINGTON DR + HAZLETT,mid_block,none,0,0
10902,10902,8TH AVE + GRANT,near_side,nearside,1,1
10903,10903,8TH AVE + ANDREW,mid_block,none,0,0
10905,10905,8TH AVE + HEISEL,mid_block,none,0,0
10906,10906,8TH AVE + DICKSON,near_side,nearside,1,1
10907,10907,8TH AVE + MCCLURE,near_side,nearside,1,1
10908,10908,8TH AVE + ANN,near_side,nearside,1,1
10909,10909,8TH AVE + AMITY,near_side,nearside,1,1
