stop_id,stop_name,stop_lat,stop_lon,classification,signal_dist_m,shape_id
10,STEEL PLAZA STATION,40.439562,-79.995332,mid_block,NaN,shp-RED-51
100,WILLOW STATION,40.365469,-80.026193,mid_block,NaN,shp-SLVR-01
10005,KEEPORT DR + YOUNGRIDGE,40.340754,-79.981175,mid_block,NaN,shp-Y47-52
10016,BROWNSVILLE RD + NOBLES LN,40.403958,-79.99023,near_side,16.121788088363182,shp-51-58
10018,BROWNSVILLE RD + THE BOULEVARD,40.401127,-79.989317,mid_block,NaN,shp-51-58
10019,BROWNSVILLE RD + E MEYERS AVE,40.399887,-79.989153,mid_block,NaN,shp-51-58
10022,BROWNSVILLE RD + CRAILO AVE,40.39672,-79.987743,near_side,7.587101144937177,shp-51-58
10023,BROWNSVILLE RD + AGNEW RD,40.39514,-79.98683,mid_block,NaN,shp-51-58
10025,BROWNSVILLE RD + WOODFORD AVE,40.393302,-79.986562,mid_block,NaN,shp-51-58
10026,BROWNSVILLE RD + PARKFIELD ST,40.391477,-79.986685,near_side,17.967344575193454,shp-51-58
10027,BROWNSVILLE RD + OVERBROOK BLVD,40.389384,-79.985526,mid_block,NaN,shp-51-58
10028,BROWNSVILLE RD + #2336,40.38819,-79.984822,mid_block,NaN,shp-51-58
10029,BROWNSVILLE RD + BISCAYNE DR,40.387436,-79.984055,near_side,30.3403369662931,shp-51-58
10030,BROWNSVILLE RD + CLIFTON BLVD,40.38683,-79.981846,mid_block,NaN,shp-51-58
10032,BROWNSVILLE RD + CHURCHVIEW AVE,40.385858,-79.979016,mid_block,NaN,shp-51-58
10033,BROWNSVILLE RD + MAYTIDE ST,40.384581,-79.978009,near_side,21.18178578155664,shp-51-58
10035,LEBANON CHURCH RD + OTT DR FS,40.342936,-79.964138,mid_block,NaN,shp-51-58
10038,LEBANON CHURCH RD + REGIS AVE,40.347555,-79.952147,near_side,41.423733621052236,shp-51-58
1007,CENTER AVE + COLUMBIA AVE FS,40.520193,-80.041974,mid_block,NaN,shp-13-54
10075,HWY RT 885 + HAMPTON RD,40.327536,-79.931088,mid_block,NaN,shp-55-53
