route_id,ns_overall,total,ns_first_half,n_first,ns_second_half,n_second,mean_otp
21,0.8378378378378378,37,0.8333333333333334,18,0.8421052631578947,19,0.7360734939759036
38,0.7878787878787878,33,0.8823529411764706,17,0.6875,16,0.713946913580247
O12,0.8181818181818182,22,0.8888888888888888,9,0.7692307692307693,13,0.6471686746987952
71D,0.918918918918919,37,0.875,16,0.9523809523809523,21,0.6559621951219512
31,0.7714285714285715,35,0.7777777777777778,18,0.7647058823529411,17,0.6748740740740741
83,0.8571428571428571,7,0.75,4,1.0,3,0.6541397590361445
60,0.5294117647058824,17,0.7142857142857143,7,0.4,10,0.7833819277108435
88,1.0,16,1.0,8,1.0,8,0.6430156626506024
1,0.7777777777777778,45,0.8181818181818182,22,0.7391304347826086,23,0.6164829268292683
71C,0.9166666666666666,24,1.0,11,0.8461538461538461,13,0.6080518072289156
2,0.9090909090909091,11,1.0,5,0.8333333333333334,6,0.6322256097560975
24,0.7777777777777778,9,0.75,4,0.8,5,0.6971098765432099
G31,0.3333333333333333,6,0.3333333333333333,3,0.3333333333333333,3,0.7341548780487804
18,0.875,8,1.0,4,0.75,4,0.8840963855421686
64,0.9166666666666666,24,0.8181818181818182,11,1.0,13,0.680559756097561
61B,0.9444444444444444,18,1.0,9,0.8888888888888888,9,0.5842313253012048
69,0.6666666666666666,18,0.7,10,0.625,8,0.6026573170731707
29,0.9375,16,1.0,7,0.8888888888888888,9,0.6510407407407407
36,0.7391304347826086,23,0.7777777777777778,9,0.7142857142857143,14,0.7328187500000001
28X,0.8333333333333334,12,1.0,5,0.7142857142857143,7,0.6166469879518072
82,0.9069767441860465,43,0.9130434782608695,23,0.9,20,0.6079463414634146
57,0.7586206896551724,29,0.8461538461538461,13,0.6875,16,0.661587951807229
74,0.9,30,0.8,15,1.0,15,0.6572341463414634
40,0.7142857142857143,7,0.5,4,1.0,3,0.7615112500000001
54,0.7368421052631579,19,0.8571428571428571,7,0.6666666666666666,12,0.6672096385542169
14,0.7037037037037037,27,0.7272727272727273,11,0.6875,16,0.7563674698795181
71B,0.8571428571428571,28,0.8666666666666667,15,0.8461538461538461,13,0.5879493975903615
41,0.775,40,0.7894736842105263,19,0.7619047619047619,21,0.76378875
55,0.9285714285714286,14,1.0,8,0.8333333333333334,6,0.7121536585365854
93,0.5625,16,0.3333333333333333,6,0.7,10,0.6605530120481927
79,0.6666666666666666,12,0.4,5,0.8571428571428571,7,0.709910975609756
8,0.75,20,0.5555555555555556,9,0.9090909090909091,11,0.7659469879518073
89,0.875,8,1.0,6,0.5,2,0.722351219512195
P12,0.75,12,0.8333333333333334,6,0.6666666666666666,6,0.6679280487804878
59,0.7647058823529411,17,1.0,9,0.5,8,0.689755421686747
51,0.9056603773584906,53,0.8620689655172413,29,0.9583333333333334,24,0.7006710843373495
O5,0.875,8,1.0,4,0.75,4,0.6921698795180723
48,1.0,18,1.0,8,1.0,10,0.7499313253012049
6,1.0,5,1.0,4,1.0,1,0.7247855421686747
16,0.8947368421052632,38,0.8421052631578947,19,0.9473684210526315,19,0.7138240963855421
71A,0.86,50,0.8,25,0.92,25,0.6446518072289156
86,0.9565217391304348,46,0.9545454545454546,22,0.9583333333333334,24,0.628733734939759
77,0.8666666666666667,45,0.8333333333333334,24,0.9047619047619048,21,0.5577253012048192
67,0.6666666666666666,33,0.6,15,0.7222222222222222,18,0.6035817073170732
39,1.0,9,1.0,6,1.0,3,0.789404938271605
12,0.5151515151515151,33,0.7333333333333333,15,0.3333333333333333,18,0.654610843373494
P68,0.8636363636363636,22,0.8333333333333334,12,0.9,10,0.6795807228915662
P10,0.9130434782608695,23,1.0,11,0.8333333333333334,12,0.6431036144578314
P78,0.875,8,1.0,4,0.75,4,0.5961602409638553
61C,0.8169014084507042,71,0.8717948717948718,39,0.75,32,0.5677506024096386
87,0.7692307692307693,13,0.7142857142857143,7,0.8333333333333334,6,0.6755170731707317
27,1.0,6,1.0,2,1.0,4,0.7843629629629629
56,0.7241379310344828,29,0.6666666666666666,15,0.7857142857142857,14,0.6623096385542169
RED,0.5,6,0.5,2,0.5,4,0.827620987654321
P16,0.6,5,0.5,2,0.6666666666666666,3,0.6379180722891566
20,0.8333333333333334,6,1.0,2,0.75,4,0.698530487804878
91,0.8867924528301887,53,0.9166666666666666,24,0.8620689655172413,29,0.6465373493975903
65,0.6666666666666666,6,0.6666666666666666,6,,,0.6150641975308642
81,1.0,9,1.0,6,1.0,3,0.6691469879518073
53,0.9285714285714286,14,0.8333333333333334,6,1.0,8,0.71645
61A,0.8888888888888888,18,0.8,10,1.0,8,0.5899975903614457
75,0.92,25,1.0,12,0.8461538461538461,13,0.6881614457831325
P76,0.9285714285714286,14,1.0,5,0.8888888888888888,9,0.6996135802469136
13,0.7,10,0.6666666666666666,6,0.75,4,0.712666265060241
