outcome,demographic,weighting,spearman_r,spearman_p,n
signalized_share,median_household_income,per_stop,0.04373215601989367,0.459733690004246,288
signalized_share,median_household_income,per_rider,-0.010106716888483814,0.8644005978254087,288
signalized_share,zero_vehicle_share,per_stop,0.10497448869731393,0.0742832377555645,290
signalized_share,zero_vehicle_share,per_rider,0.12124103271607484,0.03907836224652817,290
signalized_share,black_share,per_stop,-0.03956452578576386,0.5014063226307592,291
signalized_share,black_share,per_rider,0.0076290523450525845,0.8968958532222464,291
nearside_share,median_household_income,per_stop,-0.043578335418515336,0.5452365637781729,195
nearside_share,median_household_income,per_rider,-0.05108526153817249,0.48046818864848306,193
nearside_share,zero_vehicle_share,per_stop,0.06195290355843028,0.38712225414771056,197
nearside_share,zero_vehicle_share,per_rider,0.01663004266946866,0.8175099366916263,195
nearside_share,black_share,per_stop,0.03572054350220763,0.6173499623628117,198
nearside_share,black_share,per_rider,0.043121781155090334,0.548424482474502,196
